
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,90.299,90.299,90.299,0.000,90.299,90.299,90.299,90.299,1,µm^2,Surface,,,,,,28,
Area,136.716,136.716,136.716,0.000,136.716,136.716,136.716,136.716,1,µm^2,Surface,,,,,,29,
Area,148.039,148.039,148.039,0.000,148.039,148.039,148.039,148.039,1,µm^2,Surface,,,,,,30,
Area,169.379,169.379,169.379,0.000,169.379,169.379,169.379,169.379,1,µm^2,Surface,,,,,,31,
Area,179.916,179.916,179.916,0.000,179.916,179.916,179.916,179.916,1,µm^2,Surface,,,,,,32,
Area,196.846,196.846,196.846,0.000,196.846,196.846,196.846,196.846,1,µm^2,Surface,,,,,,33,
Area,213.856,213.856,213.856,0.000,213.856,213.856,213.856,213.856,1,µm^2,Surface,,,,,,34,
Area,239.498,239.498,239.498,0.000,239.498,239.498,239.498,239.498,1,µm^2,Surface,,,,,,35,
Area,235.697,235.697,235.697,0.000,235.697,235.697,235.697,235.697,1,µm^2,Surface,,,,,,36,
Area,248.989,248.989,248.989,0.000,248.989,248.989,248.989,248.989,1,µm^2,Surface,,,,,,37,
Area,261.736,261.736,261.736,0.000,261.736,261.736,261.736,261.736,1,µm^2,Surface,,,,,,38,
Area,268.924,268.924,268.924,0.000,268.924,268.924,268.924,268.924,1,µm^2,Surface,,,,,,39,
Area,270.019,270.019,270.019,0.000,270.019,270.019,270.019,270.019,1,µm^2,Surface,,,,,,40,
Area,272.087,272.087,272.087,0.000,272.087,272.087,272.087,272.087,1,µm^2,Surface,,,,,,41,
Area,241.342,241.342,241.342,0.000,241.342,241.342,241.342,241.342,1,µm^2,Surface,,,,,,42,
Area,218.761,218.761,218.761,0.000,218.761,218.761,218.761,218.761,1,µm^2,Surface,,,,,,43,
Area,206.483,206.483,206.483,0.000,206.483,206.483,206.483,206.483,1,µm^2,Surface,,,,,,44,
Area,189.942,189.942,189.942,0.000,189.942,189.942,189.942,189.942,1,µm^2,Surface,,,,,,45,
Area,169.797,169.797,169.797,0.000,169.797,169.797,169.797,169.797,1,µm^2,Surface,,,,,,46,
Area,178.429,178.429,178.429,0.000,178.429,178.429,178.429,178.429,1,µm^2,Surface,,,,,,47,
Area,21.247,21.247,21.247,0.000,21.247,21.247,21.247,21.247,1,µm^2,Surface,,,,,,48,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,29,
