
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,122.241,122.241,122.241,0.000,122.241,122.241,122.241,122.241,1,µm^2,Surface,,,,,,28,
Area,153.566,153.566,153.566,0.000,153.566,153.566,153.566,153.566,1,µm^2,Surface,,,,,,29,
Area,193.779,193.779,193.779,0.000,193.779,193.779,193.779,193.779,1,µm^2,Surface,,,,,,30,
Area,197.889,197.889,197.889,0.000,197.889,197.889,197.889,197.889,1,µm^2,Surface,,,,,,31,
Area,204.852,204.852,204.852,0.000,204.852,204.852,204.852,204.852,1,µm^2,Surface,,,,,,32,
Area,207.193,207.193,207.193,0.000,207.193,207.193,207.193,207.193,1,µm^2,Surface,,,,,,33,
Area,222.551,222.551,222.551,0.000,222.551,222.551,222.551,222.551,1,µm^2,Surface,,,,,,34,
Area,242.075,242.075,242.075,0.000,242.075,242.075,242.075,242.075,1,µm^2,Surface,,,,,,35,
Area,242.845,242.845,242.845,0.000,242.845,242.845,242.845,242.845,1,µm^2,Surface,,,,,,36,
Area,244.800,244.800,244.800,0.000,244.800,244.800,244.800,244.800,1,µm^2,Surface,,,,,,37,
Area,247.219,247.219,247.219,0.000,247.219,247.219,247.219,247.219,1,µm^2,Surface,,,,,,38,
Area,238.605,238.605,238.605,0.000,238.605,238.605,238.605,238.605,1,µm^2,Surface,,,,,,39,
Area,249.936,249.936,249.936,0.000,249.936,249.936,249.936,249.936,1,µm^2,Surface,,,,,,40,
Area,241.996,241.996,241.996,0.000,241.996,241.996,241.996,241.996,1,µm^2,Surface,,,,,,41,
Area,245.540,245.540,245.540,0.000,245.540,245.540,245.540,245.540,1,µm^2,Surface,,,,,,42,
Area,241.710,241.710,241.710,0.000,241.710,241.710,241.710,241.710,1,µm^2,Surface,,,,,,43,
Area,233.196,233.196,233.196,0.000,233.196,233.196,233.196,233.196,1,µm^2,Surface,,,,,,44,
Area,233.475,233.475,233.475,0.000,233.475,233.475,233.475,233.475,1,µm^2,Surface,,,,,,45,
Area,235.871,235.871,235.871,0.000,235.871,235.871,235.871,235.871,1,µm^2,Surface,,,,,,46,
Area,188.769,188.769,188.769,0.000,188.769,188.769,188.769,188.769,1,µm^2,Surface,,,,,,47,
Class Duration,60.029,60.029,60.029,0.000,60.029,60.029,60.029,60.029,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,60.029,60.029,60.029,0.000,60.029,60.029,60.029,60.029,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,60.046,60.046,60.046,0.000,60.046,60.046,60.046,60.046,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,60.046,60.046,60.046,0.000,60.046,60.046,60.046,60.046,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,60.027,60.027,60.027,0.000,60.027,60.027,60.027,60.027,1,s,Surface,,Set 1::Class A,,,,32,
Class Duration,60.027,60.027,60.027,0.000,60.027,60.027,60.027,60.027,1,s,Surface,,Set 1::Class A,,,,33,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,300.070,300.070,300.070,0.000,300.070,300.070,300.070,300.070,1,s,Surface,,Set 1::Class A,,,,35,
Class Duration,300.070,300.070,300.070,0.000,300.070,300.070,300.070,300.070,1,s,Surface,,Set 1::Class A,,,,36,
Class Duration,300.070,300.070,300.070,0.000,300.070,300.070,300.070,300.070,1,s,Surface,,Set 1::Class A,,,,37,
Class Duration,300.070,300.070,300.070,0.000,300.070,300.070,300.070,300.070,1,s,Surface,,Set 1::Class A,,,,38,
Class Duration,300.070,300.070,300.070,0.000,300.070,300.070,300.070,300.070,1,s,Surface,,Set 1::Class A,,,,39,
Class Duration,300.070,300.070,300.070,0.000,300.070,300.070,300.070,300.070,1,s,Surface,,Set 1::Class A,,,,40,
Class Duration,120.066,120.066,120.066,0.000,120.066,120.066,120.066,120.066,1,s,Surface,,Set 1::Class B,,,,41,
Class Duration,120.066,120.066,120.066,0.000,120.066,120.066,120.066,120.066,1,s,Surface,,Set 1::Class B,,,,42,
Class Duration,120.066,120.066,120.066,0.000,120.066,120.066,120.066,120.066,1,s,Surface,,Set 1::Class B,,,,43,
Class Duration,180.033,180.033,180.033,0.000,180.033,180.033,180.033,180.033,1,s,Surface,,Set 1::Class A,,,,44,
Class Duration,180.033,180.033,180.033,0.000,180.033,180.033,180.033,180.033,1,s,Surface,,Set 1::Class A,,,,45,
Class Duration,180.033,180.033,180.033,0.000,180.033,180.033,180.033,180.033,1,s,Surface,,Set 1::Class A,,,,46,
Class Duration,180.033,180.033,180.033,0.000,180.033,180.033,180.033,180.033,1,s,Surface,,Set 1::Class A,,,,47,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,28,
Displacement Delta Length,0.377,0.377,0.377,0.000,0.377,0.377,0.377,0.377,1,µm,Surface,,,,,,29,
Displacement Delta Length,1.444,1.444,1.444,0.000,1.444,1.444,1.444,1.444,1,µm,Surface,,,,,,30,
Displacement Delta Length,1.306,1.306,1.306,0.000,1.306,1.306,1.306,1.306,1,µm,Surface,,,,,,31,
Displacement Delta Length,0.672,0.672,0.672,0.000,0.672,0.672,0.672,0.672,1,µm,Surface,,,,,,32,
Displacement Delta Length,0.559,0.559,0.559,0.000,0.559,0.559,0.559,0.559,1,µm,Surface,,,,,,33,
Displacement Delta Length,0.962,0.962,0.962,0.000,0.962,0.962,0.962,0.962,1,µm,Surface,,,,,,34,
Displacement Delta Length,0.362,0.362,0.362,0.000,0.362,0.362,0.362,0.362,1,µm,Surface,,,,,,35,
Displacement Delta Length,0.369,0.369,0.369,0.000,0.369,0.369,0.369,0.369,1,µm,Surface,,,,,,36,
Displacement Delta Length,0.399,0.399,0.399,0.000,0.399,0.399,0.399,0.399,1,µm,Surface,,,,,,37,
Displacement Delta Length,0.351,0.351,0.351,0.000,0.351,0.351,0.351,0.351,1,µm,Surface,,,,,,38,
Displacement Delta Length,0.182,0.182,0.182,0.000,0.182,0.182,0.182,0.182,1,µm,Surface,,,,,,39,
Displacement Delta Length,0.668,0.668,0.668,0.000,0.668,0.668,0.668,0.668,1,µm,Surface,,,,,,40,
Displacement Delta Length,2.323,2.323,2.323,0.000,2.323,2.323,2.323,2.323,1,µm,Surface,,,,,,41,
Displacement Delta Length,0.829,0.829,0.829,0.000,0.829,0.829,0.829,0.829,1,µm,Surface,,,,,,42,
Displacement Delta Length,0.949,0.949,0.949,0.000,0.949,0.949,0.949,0.949,1,µm,Surface,,,,,,43,
Displacement Delta Length,0.470,0.470,0.470,0.000,0.470,0.470,0.470,0.470,1,µm,Surface,,,,,,44,
Displacement Delta Length,0.264,0.264,0.264,0.000,0.264,0.264,0.264,0.264,1,µm,Surface,,,,,,45,
Displacement Delta Length,0.477,0.477,0.477,0.000,0.477,0.477,0.477,0.477,1,µm,Surface,,,,,,46,
Displacement Delta Length,0.552,0.552,0.552,0.000,0.552,0.552,0.552,0.552,1,µm,Surface,,,,,,47,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,-0.362,-0.362,-0.362,0.000,-0.362,-0.362,-0.362,-0.362,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,-1.269,-1.269,-1.269,0.000,-1.269,-1.269,-1.269,-1.269,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,0.942,0.942,0.942,0.000,0.942,0.942,0.942,0.942,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta X,0.614,0.614,0.614,0.000,0.614,0.614,0.614,0.614,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,0.522,0.522,0.522,0.000,0.522,0.522,0.522,0.522,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,-0.399,-0.399,-0.399,0.000,-0.399,-0.399,-0.399,-0.399,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta X,-0.071,-0.071,-0.071,0.000,-0.071,-0.071,-0.071,-0.071,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta X,-0.305,-0.305,-0.305,0.000,-0.305,-0.305,-0.305,-0.305,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta X,-0.144,-0.144,-0.144,0.000,-0.144,-0.144,-0.144,-0.144,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta X,-0.129,-0.129,-0.129,0.000,-0.129,-0.129,-0.129,-0.129,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta X,0.130,0.130,0.130,0.000,0.130,0.130,0.130,0.130,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta X,-0.457,-0.457,-0.457,0.000,-0.457,-0.457,-0.457,-0.457,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta X,-1.591,-1.591,-1.591,0.000,-1.591,-1.591,-1.591,-1.591,1,µm,Surface,,,Displacement Delta,,,41,
Displacement Delta X,0.123,0.123,0.123,0.000,0.123,0.123,0.123,0.123,1,µm,Surface,,,Displacement Delta,,,42,
Displacement Delta X,-0.144,-0.144,-0.144,0.000,-0.144,-0.144,-0.144,-0.144,1,µm,Surface,,,Displacement Delta,,,43,
Displacement Delta X,-0.240,-0.240,-0.240,0.000,-0.240,-0.240,-0.240,-0.240,1,µm,Surface,,,Displacement Delta,,,44,
Displacement Delta X,0.171,0.171,0.171,0.000,0.171,0.171,0.171,0.171,1,µm,Surface,,,Displacement Delta,,,45,
Displacement Delta X,-0.384,-0.384,-0.384,0.000,-0.384,-0.384,-0.384,-0.384,1,µm,Surface,,,Displacement Delta,,,46,
Displacement Delta X,0.234,0.234,0.234,0.000,0.234,0.234,0.234,0.234,1,µm,Surface,,,Displacement Delta,,,47,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta Y,-0.090,-0.090,-0.090,0.000,-0.090,-0.090,-0.090,-0.090,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,-0.016,-0.016,-0.016,0.000,-0.016,-0.016,-0.016,-0.016,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,0.903,0.903,0.903,0.000,0.903,0.903,0.903,0.903,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Y,0.203,0.203,0.203,0.000,0.203,0.203,0.203,0.203,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Y,0.137,0.137,0.137,0.000,0.137,0.137,0.137,0.137,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Y,0.255,0.255,0.255,0.000,0.255,0.255,0.255,0.255,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,-0.256,-0.256,-0.256,0.000,-0.256,-0.256,-0.256,-0.256,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Y,-0.156,-0.156,-0.156,0.000,-0.156,-0.156,-0.156,-0.156,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta Y,-0.124,-0.124,-0.124,0.000,-0.124,-0.124,-0.124,-0.124,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta Y,-0.315,-0.315,-0.315,0.000,-0.315,-0.315,-0.315,-0.315,1,µm,Surface,,,Displacement Delta,,,38,
