
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,18.682,18.682,18.682,0.000,18.682,18.682,18.682,18.682,1,µm^2,Surface,,,,,,10,
Area,125.388,125.388,125.388,0.000,125.388,125.388,125.388,125.388,1,µm^2,Surface,,,,,,11,
Area,153.547,153.547,153.547,0.000,153.547,153.547,153.547,153.547,1,µm^2,Surface,,,,,,12,
Area,167.743,167.743,167.743,0.000,167.743,167.743,167.743,167.743,1,µm^2,Surface,,,,,,13,
Area,164.300,164.300,164.300,0.000,164.300,164.300,164.300,164.300,1,µm^2,Surface,,,,,,14,
Area,148.071,148.071,148.071,0.000,148.071,148.071,148.071,148.071,1,µm^2,Surface,,,,,,15,
Area,135.330,135.330,135.330,0.000,135.330,135.330,135.330,135.330,1,µm^2,Surface,,,,,,16,
Area,142.934,142.934,142.934,0.000,142.934,142.934,142.934,142.934,1,µm^2,Surface,,,,,,17,
Area,154.510,154.510,154.510,0.000,154.510,154.510,154.510,154.510,1,µm^2,Surface,,,,,,18,
Area,206.724,206.724,206.724,0.000,206.724,206.724,206.724,206.724,1,µm^2,Surface,,,,,,19,
Area,212.646,212.646,212.646,0.000,212.646,212.646,212.646,212.646,1,µm^2,Surface,,,,,,20,
Area,218.148,218.148,218.148,0.000,218.148,218.148,218.148,218.148,1,µm^2,Surface,,,,,,21,
Area,210.940,210.940,210.940,0.000,210.940,210.940,210.940,210.940,1,µm^2,Surface,,,,,,22,
Area,216.576,216.576,216.576,0.000,216.576,216.576,216.576,216.576,1,µm^2,Surface,,,,,,23,
Area,269.695,269.695,269.695,0.000,269.695,269.695,269.695,269.695,1,µm^2,Surface,,,,,,24,
Area,251.561,251.561,251.561,0.000,251.561,251.561,251.561,251.561,1,µm^2,Surface,,,,,,25,
Area,192.528,192.528,192.528,0.000,192.528,192.528,192.528,192.528,1,µm^2,Surface,,,,,,26,
Area,176.904,176.904,176.904,0.000,176.904,176.904,176.904,176.904,1,µm^2,Surface,,,,,,27,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,10,
Class Duration,179.913,179.913,179.913,0.000,179.913,179.913,179.913,179.913,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,179.913,179.913,179.913,0.000,179.913,179.913,179.913,179.913,1,s,Surface,,Set 1::Class B,,,,12,
Class Duration,179.913,179.913,179.913,0.000,179.913,179.913,179.913,179.913,1,s,Surface,,Set 1::Class B,,,,13,
Class Duration,179.913,179.913,179.913,0.000,179.913,179.913,179.913,179.913,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,179.995,179.995,179.995,0.000,179.995,179.995,179.995,179.995,1,s,Surface,,Set 1::Class A,,,,15,
Class Duration,179.995,179.995,179.995,0.000,179.995,179.995,179.995,179.995,1,s,Surface,,Set 1::Class A,,,,16,
Class Duration,179.995,179.995,179.995,0.000,179.995,179.995,179.995,179.995,1,s,Surface,,Set 1::Class A,,,,17,
Class Duration,179.995,179.995,179.995,0.000,179.995,179.995,179.995,179.995,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,,20,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,,21,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,,22,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,,23,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,24,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,59.997,59.997,59.997,0.000,59.997,59.997,59.997,59.997,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,59.997,59.997,59.997,0.000,59.997,59.997,59.997,59.997,1,s,Surface,,Set 1::Class B,,,,27,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,10,
Displacement Delta Length,1.355,1.355,1.355,0.000,1.355,1.355,1.355,1.355,1,µm,Surface,,,,,,11,
Displacement Delta Length,0.885,0.885,0.885,0.000,0.885,0.885,0.885,0.885,1,µm,Surface,,,,,,12,
Displacement Delta Length,0.809,0.809,0.809,0.000,0.809,0.809,0.809,0.809,1,µm,Surface,,,,,,13,
Displacement Delta Length,1.242,1.242,1.242,0.000,1.242,1.242,1.242,1.242,1,µm,Surface,,,,,,14,
Displacement Delta Length,0.743,0.743,0.743,0.000,0.743,0.743,0.743,0.743,1,µm,Surface,,,,,,15,
Displacement Delta Length,0.629,0.629,0.629,0.000,0.629,0.629,0.629,0.629,1,µm,Surface,,,,,,16,
Displacement Delta Length,0.357,0.357,0.357,0.000,0.357,0.357,0.357,0.357,1,µm,Surface,,,,,,17,
Displacement Delta Length,0.457,0.457,0.457,0.000,0.457,0.457,0.457,0.457,1,µm,Surface,,,,,,18,
Displacement Delta Length,0.804,0.804,0.804,0.000,0.804,0.804,0.804,0.804,1,µm,Surface,,,,,,19,
Displacement Delta Length,0.681,0.681,0.681,0.000,0.681,0.681,0.681,0.681,1,µm,Surface,,,,,,20,
Displacement Delta Length,0.607,0.607,0.607,0.000,0.607,0.607,0.607,0.607,1,µm,Surface,,,,,,21,
Displacement Delta Length,0.325,0.325,0.325,0.000,0.325,0.325,0.325,0.325,1,µm,Surface,,,,,,22,
Displacement Delta Length,0.417,0.417,0.417,0.000,0.417,0.417,0.417,0.417,1,µm,Surface,,,,,,23,
