nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 18,Class,Unnamed: 17
AB,Intensity Max,243,243,243,0,243,243,243,243,1,,Surface,1,,Image 1,,4,,,
AB,Intensity Max,338,338,338,0,338,338,338,338,1,,Surface,1,,Image 1,,5,,,
AB,Intensity Max,370,370,370,0,370,370,370,370,1,,Surface,1,,Image 1,,6,,,
AB,Intensity Max,407,407,407,0,407,407,407,407,1,,Surface,1,,Image 1,,7,,,
AB,Intensity Max,466,466,466,0,466,466,466,466,1,,Surface,1,,Image 1,,8,,,
AB,Intensity Max,493,493,493,0,493,493,493,493,1,,Surface,1,,Image 1,,9,,,
AB,Intensity Max,445,445,445,0,445,445,445,445,1,,Surface,1,,Image 1,,10,,,
AB,Intensity Max,440,440,440,0,440,440,440,440,1,,Surface,1,,Image 1,,11,,,
AB,Intensity Max,353,353,353,0,353,353,353,353,1,,Surface,1,,Image 1,,12,,,
AB,Intensity Max,372,372,372,0,372,372,372,372,1,,Surface,1,,Image 1,,13,,,
AB,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,1,,Image 1,,14,,,
P1,Intensity Max,221,221,221,0,221,221,221,221,1,,Surface,1,,Image 1,,5,,,
P1,Intensity Max,239,239,239,0,239,239,239,239,1,,Surface,1,,Image 1,,6,,,
P1,Intensity Max,258,258,258,0,258,258,258,258,1,,Surface,1,,Image 1,,7,,,
P1,Intensity Max,238,238,238,0,238,238,238,238,1,,Surface,1,,Image 1,,8,,,
P1,Intensity Max,236,236,236,0,236,236,236,236,1,,Surface,1,,Image 1,,9,,,
P1,Intensity Max,258,258,258,0,258,258,258,258,1,,Surface,1,,Image 1,,10,,,
P1,Intensity Max,270,270,270,0,270,270,270,270,1,,Surface,1,,Image 1,,11,,,
P1,Intensity Max,261,261,261,0,261,261,261,261,1,,Surface,1,,Image 1,,12,,,
P1,Intensity Max,252,252,252,0,252,252,252,252,1,,Surface,1,,Image 1,,13,,,
P1,Intensity Max,250,250,250,0,250,250,250,250,1,,Surface,1,,Image 1,,14,,,
P1,Intensity Max,268,268,268,0,268,268,268,268,1,,Surface,1,,Image 1,,15,,,
P1,Intensity Max,330,330,330,0,330,330,330,330,1,,Surface,1,,Image 1,,16,,,
ABa,Intensity Max,242,242,242,0,242,242,242,242,1,,Surface,1,,Image 1,,18,,,
ABa,Intensity Max,278,278,278,0,278,278,278,278,1,,Surface,1,,Image 1,,19,,,
ABa,Intensity Max,292,292,292,0,292,292,292,292,1,,Surface,1,,Image 1,,20,,,
ABa,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,1,,Image 1,,21,,,
ABa,Intensity Max,303,303,303,0,303,303,303,303,1,,Surface,1,,Image 1,,22,,,
ABa,Intensity Max,467,467,467,0,467,467,467,467,1,,Surface,1,,Image 1,,23,,,
ABa,Intensity Max,490,490,490,0,490,490,490,490,1,,Surface,1,,Image 1,,24,,,
ABa,Intensity Max,467,467,467,0,467,467,467,467,1,,Surface,1,,Image 1,,25,,,
ABa,Intensity Max,275,275,275,0,275,275,275,275,1,,Surface,1,,Image 1,,26,,,
ABa,Intensity Max,269,269,269,0,269,269,269,269,1,,Surface,1,,Image 1,,27,,,
ABa,Intensity Max,311,311,311,0,311,311,311,311,1,,Surface,1,,Image 1,,28,,,
ABa,Intensity Max,298,298,298,0,298,298,298,298,1,,Surface,1,,Image 1,,29,,,
ABp,Intensity Max,236,236,236,0,236,236,236,236,1,,Surface,1,,Image 1,,18,,,
ABp,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,1,,Image 1,,19,,,
ABp,Intensity Max,322,322,322,0,322,322,322,322,1,,Surface,1,,Image 1,,20,,,
ABp,Intensity Max,313,313,313,0,313,313,313,313,1,,Surface,1,,Image 1,,21,,,
ABp,Intensity Max,687,687,687,0,687,687,687,687,1,,Surface,1,,Image 1,,22,,,
ABp,Intensity Max,1172,1172,1172,0,1172,1172,1172,1172,1,,Surface,1,,Image 1,,23,,,
ABp,Intensity Max,1266,1266,1266,0,1266,1266,1266,1266,1,,Surface,1,,Image 1,,24,,,
ABp,Intensity Max,1254,1254,1254,0,1254,1254,1254,1254,1,,Surface,1,,Image 1,,25,,,
ABp,Intensity Max,432,432,432,0,432,432,432,432,1,,Surface,1,,Image 1,,26,,,
ABp,Intensity Max,370,370,370,0,370,370,370,370,1,,Surface,1,,Image 1,,27,,,
ABp,Intensity Max,338,338,338,0,338,338,338,338,1,,Surface,1,,Image 1,,28,,,
ABp,Intensity Max,317,317,317,0,317,317,317,317,1,,Surface,1,,Image 1,,29,,,
EMS,Intensity Max,256,256,256,0,256,256,256,256,1,,Surface,1,,Image 1,,23,,,
EMS,Intensity Max,301,301,301,0,301,301,301,301,1,,Surface,1,,Image 1,,24,,,
EMS,Intensity Max,539,539,539,0,539,539,539,539,1,,Surface,1,,Image 1,,25,,,
EMS,Intensity Max,907,907,907,0,907,907,907,907,1,,Surface,1,,Image 1,,26,,,
EMS,Intensity Max,1188,1188,1188,0,1188,1188,1188,1188,1,,Surface,1,,Image 1,,27,,,
EMS,Intensity Max,1234,1234,1234,0,1234,1234,1234,1234,1,,Surface,1,,Image 1,,28,,,
EMS,Intensity Max,1247,1247,1247,0,1247,1247,1247,1247,1,,Surface,1,,Image 1,,29,,,
EMS,Intensity Max,791,791,791,0,791,791,791,791,1,,Surface,1,,Image 1,,30,,,
EMS,Intensity Max,335,335,335,0,335,335,335,335,1,,Surface,1,,Image 1,,31,,,
EMS,Intensity Max,332,332,332,0,332,332,332,332,1,,Surface,1,,Image 1,,32,,,
EMS,Intensity Max,255,255,255,0,255,255,255,255,1,,Surface,1,,Image 1,,33,,,
EMS,Intensity Max,268,268,268,0,268,268,268,268,1,,Surface,1,,Image 1,,34,,,
EMS,Intensity Max,259,259,259,0,259,259,259,259,1,,Surface,1,,Image 1,,35,,,
P2,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,1,,Image 1,,23,,,
P2,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,1,,Image 1,,24,,,
P2,Intensity Max,438,438,438,0,438,438,438,438,1,,Surface,1,,Image 1,,25,,,
P2,Intensity Max,1236,1236,1236,0,1236,1236,1236,1236,1,,Surface,1,,Image 1,,26,,,
