
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,64.919,64.919,64.919,0.000,64.919,64.919,64.919,64.919,1,µm^2,Surface,,,,,,18,
Area,107.743,107.743,107.743,0.000,107.743,107.743,107.743,107.743,1,µm^2,Surface,,,,,,19,
Area,140.381,140.381,140.381,0.000,140.381,140.381,140.381,140.381,1,µm^2,Surface,,,,,,20,
Area,165.444,165.444,165.444,0.000,165.444,165.444,165.444,165.444,1,µm^2,Surface,,,,,,21,
Area,181.764,181.764,181.764,0.000,181.764,181.764,181.764,181.764,1,µm^2,Surface,,,,,,22,
Area,195.732,195.732,195.732,0.000,195.732,195.732,195.732,195.732,1,µm^2,Surface,,,,,,23,
Area,206.994,206.994,206.994,0.000,206.994,206.994,206.994,206.994,1,µm^2,Surface,,,,,,24,
Area,215.688,215.688,215.688,0.000,215.688,215.688,215.688,215.688,1,µm^2,Surface,,,,,,25,
Area,220.417,220.417,220.417,0.000,220.417,220.417,220.417,220.417,1,µm^2,Surface,,,,,,26,
Area,232.507,232.507,232.507,0.000,232.507,232.507,232.507,232.507,1,µm^2,Surface,,,,,,27,
Area,246.344,246.344,246.344,0.000,246.344,246.344,246.344,246.344,1,µm^2,Surface,,,,,,28,
Area,259.685,259.685,259.685,0.000,259.685,259.685,259.685,259.685,1,µm^2,Surface,,,,,,29,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,20,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,22,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,23,
Class Duration,119.989,119.989,119.989,0.000,119.989,119.989,119.989,119.989,1,s,Surface,,Set 1::Class A,,,,24,
Class Duration,119.989,119.989,119.989,0.000,119.989,119.989,119.989,119.989,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,119.989,119.989,119.989,0.000,119.989,119.989,119.989,119.989,1,s,Surface,,Set 1::Class A,,,,26,
Class Duration,120.003,120.003,120.003,0.000,120.003,120.003,120.003,120.003,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,120.003,120.003,120.003,0.000,120.003,120.003,120.003,120.003,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,120.003,120.003,120.003,0.000,120.003,120.003,120.003,120.003,1,s,Surface,,Set 1::Class B,,,,29,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,18,
Displacement Delta Length,1.481,1.481,1.481,0.000,1.481,1.481,1.481,1.481,1,µm,Surface,,,,,,19,
Displacement Delta Length,0.568,0.568,0.568,0.000,0.568,0.568,0.568,0.568,1,µm,Surface,,,,,,20,
Displacement Delta Length,2.536,2.536,2.536,0.000,2.536,2.536,2.536,2.536,1,µm,Surface,,,,,,21,
Displacement Delta Length,0.578,0.578,0.578,0.000,0.578,0.578,0.578,0.578,1,µm,Surface,,,,,,22,
Displacement Delta Length,1.211,1.211,1.211,0.000,1.211,1.211,1.211,1.211,1,µm,Surface,,,,,,23,
Displacement Delta Length,0.418,0.418,0.418,0.000,0.418,0.418,0.418,0.418,1,µm,Surface,,,,,,24,
Displacement Delta Length,0.811,0.811,0.811,0.000,0.811,0.811,0.811,0.811,1,µm,Surface,,,,,,25,
Displacement Delta Length,1.099,1.099,1.099,0.000,1.099,1.099,1.099,1.099,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.349,1.349,1.349,0.000,1.349,1.349,1.349,1.349,1,µm,Surface,,,,,,27,
Displacement Delta Length,1.683,1.683,1.683,0.000,1.683,1.683,1.683,1.683,1,µm,Surface,,,,,,28,
Displacement Delta Length,1.852,1.852,1.852,0.000,1.852,1.852,1.852,1.852,1,µm,Surface,,,,,,29,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta X,1.370,1.370,1.370,0.000,1.370,1.370,1.370,1.370,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,0.311,0.311,0.311,0.000,0.311,0.311,0.311,0.311,1,µm,Surface,,,Displacement Delta,,,20,
