
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,91.273,91.273,91.273,0.000,91.273,91.273,91.273,91.273,1,µm^2,Surface,,,,,35,
Area,114.821,114.821,114.821,0.000,114.821,114.821,114.821,114.821,1,µm^2,Surface,,,,,36,
Area,120.187,120.187,120.187,0.000,120.187,120.187,120.187,120.187,1,µm^2,Surface,,,,,37,
Area,133.225,133.225,133.225,0.000,133.225,133.225,133.225,133.225,1,µm^2,Surface,,,,,38,
Area,138.388,138.388,138.388,0.000,138.388,138.388,138.388,138.388,1,µm^2,Surface,,,,,39,
Area,141.970,141.970,141.970,0.000,141.970,141.970,141.970,141.970,1,µm^2,Surface,,,,,40,
Area,157.360,157.360,157.360,0.000,157.360,157.360,157.360,157.360,1,µm^2,Surface,,,,,41,
Area,159.888,159.888,159.888,0.000,159.888,159.888,159.888,159.888,1,µm^2,Surface,,,,,42,
Area,158.351,158.351,158.351,0.000,158.351,158.351,158.351,158.351,1,µm^2,Surface,,,,,43,
Area,166.035,166.035,166.035,0.000,166.035,166.035,166.035,166.035,1,µm^2,Surface,,,,,44,
Area,171.257,171.257,171.257,0.000,171.257,171.257,171.257,171.257,1,µm^2,Surface,,,,,45,
Area,164.333,164.333,164.333,0.000,164.333,164.333,164.333,164.333,1,µm^2,Surface,,,,,46,
Area,166.616,166.616,166.616,0.000,166.616,166.616,166.616,166.616,1,µm^2,Surface,,,,,47,
Area,168.917,168.917,168.917,0.000,168.917,168.917,168.917,168.917,1,µm^2,Surface,,,,,48,
Area,171.242,171.242,171.242,0.000,171.242,171.242,171.242,171.242,1,µm^2,Surface,,,,,49,
Area,173.481,173.481,173.481,0.000,173.481,173.481,173.481,173.481,1,µm^2,Surface,,,,,50,
Area,177.684,177.684,177.684,0.000,177.684,177.684,177.684,177.684,1,µm^2,Surface,,,,,51,
Area,185.735,185.735,185.735,0.000,185.735,185.735,185.735,185.735,1,µm^2,Surface,,,,,52,
Area,181.691,181.691,181.691,0.000,181.691,181.691,181.691,181.691,1,µm^2,Surface,,,,,53,
Area,126.693,126.693,126.693,0.000,126.693,126.693,126.693,126.693,1,µm^2,Surface,,,,,54,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,35,
Displacement Delta Length,0.743,0.743,0.743,0.000,0.743,0.743,0.743,0.743,1,µm,Surface,,,,,36,
Displacement Delta Length,1.439,1.439,1.439,0.000,1.439,1.439,1.439,1.439,1,µm,Surface,,,,,37,
Displacement Delta Length,1.673,1.673,1.673,0.000,1.673,1.673,1.673,1.673,1,µm,Surface,,,,,38,
Displacement Delta Length,0.712,0.712,0.712,0.000,0.712,0.712,0.712,0.712,1,µm,Surface,,,,,39,
Displacement Delta Length,1.845,1.845,1.845,0.000,1.845,1.845,1.845,1.845,1,µm,Surface,,,,,40,
Displacement Delta Length,0.594,0.594,0.594,0.000,0.594,0.594,0.594,0.594,1,µm,Surface,,,,,41,
Displacement Delta Length,0.347,0.347,0.347,0.000,0.347,0.347,0.347,0.347,1,µm,Surface,,,,,42,
Displacement Delta Length,0.592,0.592,0.592,0.000,0.592,0.592,0.592,0.592,1,µm,Surface,,,,,43,
