
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,85.146,85.146,85.146,0.000,85.146,85.146,85.146,85.146,1,µm^2,Surface,,,,,34,
Area,112.095,112.095,112.095,0.000,112.095,112.095,112.095,112.095,1,µm^2,Surface,,,,,35,
Area,129.952,129.952,129.952,0.000,129.952,129.952,129.952,129.952,1,µm^2,Surface,,,,,36,
Area,141.172,141.172,141.172,0.000,141.172,141.172,141.172,141.172,1,µm^2,Surface,,,,,37,
Area,151.390,151.390,151.390,0.000,151.390,151.390,151.390,151.390,1,µm^2,Surface,,,,,38,
Area,155.841,155.841,155.841,0.000,155.841,155.841,155.841,155.841,1,µm^2,Surface,,,,,39,
Area,161.150,161.150,161.150,0.000,161.150,161.150,161.150,161.150,1,µm^2,Surface,,,,,40,
Area,170.332,170.332,170.332,0.000,170.332,170.332,170.332,170.332,1,µm^2,Surface,,,,,41,
Area,167.679,167.679,167.679,0.000,167.679,167.679,167.679,167.679,1,µm^2,Surface,,,,,42,
Area,166.957,166.957,166.957,0.000,166.957,166.957,166.957,166.957,1,µm^2,Surface,,,,,43,
Area,174.393,174.393,174.393,0.000,174.393,174.393,174.393,174.393,1,µm^2,Surface,,,,,44,
Area,175.273,175.273,175.273,0.000,175.273,175.273,175.273,175.273,1,µm^2,Surface,,,,,45,
Area,181.120,181.120,181.120,0.000,181.120,181.120,181.120,181.120,1,µm^2,Surface,,,,,46,
Area,188.264,188.264,188.264,0.000,188.264,188.264,188.264,188.264,1,µm^2,Surface,,,,,47,
Area,192.422,192.422,192.422,0.000,192.422,192.422,192.422,192.422,1,µm^2,Surface,,,,,48,
Area,195.272,195.272,195.272,0.000,195.272,195.272,195.272,195.272,1,µm^2,Surface,,,,,49,
Area,197.574,197.574,197.574,0.000,197.574,197.574,197.574,197.574,1,µm^2,Surface,,,,,50,
Area,197.692,197.692,197.692,0.000,197.692,197.692,197.692,197.692,1,µm^2,Surface,,,,,51,
Area,197.614,197.614,197.614,0.000,197.614,197.614,197.614,197.614,1,µm^2,Surface,,,,,52,
Area,196.019,196.019,196.019,0.000,196.019,196.019,196.019,196.019,1,µm^2,Surface,,,,,53,
Area,135.240,135.240,135.240,0.000,135.240,135.240,135.240,135.240,1,µm^2,Surface,,,,,54,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,34,
Displacement Delta Length,0.906,0.906,0.906,0.000,0.906,0.906,0.906,0.906,1,µm,Surface,,,,,35,
Displacement Delta Length,0.578,0.578,0.578,0.000,0.578,0.578,0.578,0.578,1,µm,Surface,,,,,36,
Displacement Delta Length,1.158,1.158,1.158,0.000,1.158,1.158,1.158,1.158,1,µm,Surface,,,,,37,
Displacement Delta Length,0.772,0.772,0.772,0.000,0.772,0.772,0.772,0.772,1,µm,Surface,,,,,38,
Displacement Delta Length,1.103,1.103,1.103,0.000,1.103,1.103,1.103,1.103,1,µm,Surface,,,,,39,
Displacement Delta Length,1.235,1.235,1.235,0.000,1.235,1.235,1.235,1.235,1,µm,Surface,,,,,40,
Displacement Delta Length,1.266,1.266,1.266,0.000,1.266,1.266,1.266,1.266,1,µm,Surface,,,,,41,
Displacement Delta Length,0.714,0.714,0.714,0.000,0.714,0.714,0.714,0.714,1,µm,Surface,,,,,42,
Displacement Delta Length,0.127,0.127,0.127,0.000,0.127,0.127,0.127,0.127,1,µm,Surface,,,,,43,
Displacement Delta Length,0.300,0.300,0.300,0.000,0.300,0.300,0.300,0.300,1,µm,Surface,,,,,44,
Displacement Delta Length,0.575,0.575,0.575,0.000,0.575,0.575,0.575,0.575,1,µm,Surface,,,,,45,
Displacement Delta Length,0.451,0.451,0.451,0.000,0.451,0.451,0.451,0.451,1,µm,Surface,,,,,46,
Displacement Delta Length,0.769,0.769,0.769,0.000,0.769,0.769,0.769,0.769,1,µm,Surface,,,,,47,
Displacement Delta Length,0.508,0.508,0.508,0.000,0.508,0.508,0.508,0.508,1,µm,Surface,,,,,48,
Displacement Delta Length,0.610,0.610,0.610,0.000,0.610,0.610,0.610,0.610,1,µm,Surface,,,,,49,
Displacement Delta Length,0.808,0.808,0.808,0.000,0.808,0.808,0.808,0.808,1,µm,Surface,,,,,50,
Displacement Delta Length,0.791,0.791,0.791,0.000,0.791,0.791,0.791,0.791,1,µm,Surface,,,,,51,
Displacement Delta Length,1.173,1.173,1.173,0.000,1.173,1.173,1.173,1.173,1,µm,Surface,,,,,52,
Displacement Delta Length,0.745,0.745,0.745,0.000,0.745,0.745,0.745,0.745,1,µm,Surface,,,,,53,
Displacement Delta Length,0.481,0.481,0.481,0.000,0.481,0.481,0.481,0.481,1,µm,Surface,,,,,54,
