
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,64.495,64.495,64.495,0.000,64.495,64.495,64.495,64.495,1,µm^2,Surface,,,,,,18,
Area,106.027,106.027,106.027,0.000,106.027,106.027,106.027,106.027,1,µm^2,Surface,,,,,,19,
Area,139.152,139.152,139.152,0.000,139.152,139.152,139.152,139.152,1,µm^2,Surface,,,,,,20,
Area,160.022,160.022,160.022,0.000,160.022,160.022,160.022,160.022,1,µm^2,Surface,,,,,,21,
Area,183.254,183.254,183.254,0.000,183.254,183.254,183.254,183.254,1,µm^2,Surface,,,,,,22,
Area,200.965,200.965,200.965,0.000,200.965,200.965,200.965,200.965,1,µm^2,Surface,,,,,,23,
Area,215.270,215.270,215.270,0.000,215.270,215.270,215.270,215.270,1,µm^2,Surface,,,,,,24,
Area,225.843,225.843,225.843,0.000,225.843,225.843,225.843,225.843,1,µm^2,Surface,,,,,,25,
Area,244.028,244.028,244.028,0.000,244.028,244.028,244.028,244.028,1,µm^2,Surface,,,,,,26,
Area,248.143,248.143,248.143,0.000,248.143,248.143,248.143,248.143,1,µm^2,Surface,,,,,,27,
Area,257.073,257.073,257.073,0.000,257.073,257.073,257.073,257.073,1,µm^2,Surface,,,,,,28,
Area,256.012,256.012,256.012,0.000,256.012,256.012,256.012,256.012,1,µm^2,Surface,,,,,,29,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,59.970,59.970,59.970,0.000,59.970,59.970,59.970,59.970,1,s,Surface,,Set 1::Class A,,,,20,
Class Duration,59.970,59.970,59.970,0.000,59.970,59.970,59.970,59.970,1,s,Surface,,Set 1::Class A,,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,22,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,23,
Class Duration,300.068,300.068,300.068,0.000,300.068,300.068,300.068,300.068,1,s,Surface,,Set 1::Class B,,,,24,
Class Duration,300.068,300.068,300.068,0.000,300.068,300.068,300.068,300.068,1,s,Surface,,Set 1::Class B,,,,25,
Class Duration,300.068,300.068,300.068,0.000,300.068,300.068,300.068,300.068,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,300.068,300.068,300.068,0.000,300.068,300.068,300.068,300.068,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,300.068,300.068,300.068,0.000,300.068,300.068,300.068,300.068,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,300.068,300.068,300.068,0.000,300.068,300.068,300.068,300.068,1,s,Surface,,Set 1::Class B,,,,29,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,18,
Displacement Delta Length,2.623,2.623,2.623,0.000,2.623,2.623,2.623,2.623,1,µm,Surface,,,,,,19,
Displacement Delta Length,0.844,0.844,0.844,0.000,0.844,0.844,0.844,0.844,1,µm,Surface,,,,,,20,
Displacement Delta Length,0.689,0.689,0.689,0.000,0.689,0.689,0.689,0.689,1,µm,Surface,,,,,,21,
Displacement Delta Length,1.138,1.138,1.138,0.000,1.138,1.138,1.138,1.138,1,µm,Surface,,,,,,22,
Displacement Delta Length,1.026,1.026,1.026,0.000,1.026,1.026,1.026,1.026,1,µm,Surface,,,,,,23,
Displacement Delta Length,1.284,1.284,1.284,0.000,1.284,1.284,1.284,1.284,1,µm,Surface,,,,,,24,
Displacement Delta Length,1.140,1.140,1.140,0.000,1.140,1.140,1.140,1.140,1,µm,Surface,,,,,,25,
Displacement Delta Length,1.512,1.512,1.512,0.000,1.512,1.512,1.512,1.512,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.546,1.546,1.546,0.000,1.546,1.546,1.546,1.546,1,µm,Surface,,,,,,27,
Displacement Delta Length,1.622,1.622,1.622,0.000,1.622,1.622,1.622,1.622,1,µm,Surface,,,,,,28,
Displacement Delta Length,1.425,1.425,1.425,0.000,1.425,1.425,1.425,1.425,1,µm,Surface,,,,,,29,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta X,2.498,2.498,2.498,0.000,2.498,2.498,2.498,2.498,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,0.401,0.401,0.401,0.000,0.401,0.401,0.401,0.401,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta X,-0.580,-0.580,-0.580,0.000,-0.580,-0.580,-0.580,-0.580,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta X,0.179,0.179,0.179,0.000,0.179,0.179,0.179,0.179,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta X,0.763,0.763,0.763,0.000,0.763,0.763,0.763,0.763,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta X,0.993,0.993,0.993,0.000,0.993,0.993,0.993,0.993,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,0.833,0.833,0.833,0.000,0.833,0.833,0.833,0.833,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta X,1.142,1.142,1.142,0.000,1.142,1.142,1.142,1.142,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,1.504,1.504,1.504,0.000,1.504,1.504,1.504,1.504,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta X,1.258,1.258,1.258,0.000,1.258,1.258,1.258,1.258,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,0.199,0.199,0.199,0.000,0.199,0.199,0.199,0.199,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Y,-0.056,-0.056,-0.056,0.000,-0.056,-0.056,-0.056,-0.056,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Y,-0.636,-0.636,-0.636,0.000,-0.636,-0.636,-0.636,-0.636,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Y,-0.064,-0.064,-0.064,0.000,-0.064,-0.064,-0.064,-0.064,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Y,-0.575,-0.575,-0.575,0.000,-0.575,-0.575,-0.575,-0.575,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Y,-0.593,-0.593,-0.593,0.000,-0.593,-0.593,-0.593,-0.593,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Y,0.752,0.752,0.752,0.000,0.752,0.752,0.752,0.752,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Y,0.768,0.768,0.768,0.000,0.768,0.768,0.768,0.768,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Y,0.618,0.618,0.618,0.000,0.618,0.618,0.618,0.618,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Y,-0.280,-0.280,-0.280,0.000,-0.280,-0.280,-0.280,-0.280,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta Y,0.627,0.627,0.627,0.000,0.627,0.627,0.627,0.627,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta Y,0.103,0.103,0.103,0.000,0.103,0.103,0.103,0.103,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Z,-0.799,-0.799,-0.799,0.000,-0.799,-0.799,-0.799,-0.799,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Z,-0.384,-0.384,-0.384,0.000,-0.384,-0.384,-0.384,-0.384,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Z,-0.367,-0.367,-0.367,0.000,-0.367,-0.367,-0.367,-0.367,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Z,-0.966,-0.966,-0.966,0.000,-0.966,-0.966,-0.966,-0.966,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Z,-0.346,-0.346,-0.346,0.000,-0.346,-0.346,-0.346,-0.346,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Z,-0.312,-0.312,-0.312,0.000,-0.312,-0.312,-0.312,-0.312,1,µm,Surface,,,Displacement Delta,,,24,
