
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,14.559,14.559,14.559,0.000,14.559,14.559,14.559,14.559,1,µm^2,Surface,,,,,,35,
Area,25.232,25.232,25.232,0.000,25.232,25.232,25.232,25.232,1,µm^2,Surface,,,,,,36,
Area,40.750,40.750,40.750,0.000,40.750,40.750,40.750,40.750,1,µm^2,Surface,,,,,,37,
Area,64.674,64.674,64.674,0.000,64.674,64.674,64.674,64.674,1,µm^2,Surface,,,,,,38,
Area,68.317,68.317,68.317,0.000,68.317,68.317,68.317,68.317,1,µm^2,Surface,,,,,,39,
Area,74.547,74.547,74.547,0.000,74.547,74.547,74.547,74.547,1,µm^2,Surface,,,,,,40,
Area,68.090,68.090,68.090,0.000,68.090,68.090,68.090,68.090,1,µm^2,Surface,,,,,,41,
Area,68.427,68.427,68.427,0.000,68.427,68.427,68.427,68.427,1,µm^2,Surface,,,,,,42,
Area,71.599,71.599,71.599,0.000,71.599,71.599,71.599,71.599,1,µm^2,Surface,,,,,,43,
Area,70.446,70.446,70.446,0.000,70.446,70.446,70.446,70.446,1,µm^2,Surface,,,,,,44,
Area,64.717,64.717,64.717,0.000,64.717,64.717,64.717,64.717,1,µm^2,Surface,,,,,,45,
Area,51.492,51.492,51.492,0.000,51.492,51.492,51.492,51.492,1,µm^2,Surface,,,,,,46,
Area,23.587,23.587,23.587,0.000,23.587,23.587,23.587,23.587,1,µm^2,Surface,,,,,,47,
Area,6.312,6.312,6.312,0.000,6.312,6.312,6.312,6.312,1,µm^2,Surface,,,,,,48,
Area,5.597,5.597,5.597,0.000,5.597,5.597,5.597,5.597,1,µm^2,Surface,,,,,,50,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,35,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,36,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,37,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,38,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,39,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,40,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,41,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,42,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,43,
Class Duration,540.007,540.007,540.007,0.000,540.007,540.007,540.007,540.007,1,s,Surface,,Set 1::Class A,,,,44,
