
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,63.883,63.883,63.883,0.000,63.883,63.883,63.883,63.883,1,µm^2,Surface,,,,,34,
Area,94.634,94.634,94.634,0.000,94.634,94.634,94.634,94.634,1,µm^2,Surface,,,,,35,
Area,110.431,110.431,110.431,0.000,110.431,110.431,110.431,110.431,1,µm^2,Surface,,,,,36,
Area,127.024,127.024,127.024,0.000,127.024,127.024,127.024,127.024,1,µm^2,Surface,,,,,37,
Area,133.815,133.815,133.815,0.000,133.815,133.815,133.815,133.815,1,µm^2,Surface,,,,,38,
Area,138.832,138.832,138.832,0.000,138.832,138.832,138.832,138.832,1,µm^2,Surface,,,,,39,
Area,140.368,140.368,140.368,0.000,140.368,140.368,140.368,140.368,1,µm^2,Surface,,,,,40,
Area,146.006,146.006,146.006,0.000,146.006,146.006,146.006,146.006,1,µm^2,Surface,,,,,41,
Area,147.951,147.951,147.951,0.000,147.951,147.951,147.951,147.951,1,µm^2,Surface,,,,,42,
Area,162.854,162.854,162.854,0.000,162.854,162.854,162.854,162.854,1,µm^2,Surface,,,,,43,
Area,168.842,168.842,168.842,0.000,168.842,168.842,168.842,168.842,1,µm^2,Surface,,,,,44,
Area,173.965,173.965,173.965,0.000,173.965,173.965,173.965,173.965,1,µm^2,Surface,,,,,45,
Area,174.876,174.876,174.876,0.000,174.876,174.876,174.876,174.876,1,µm^2,Surface,,,,,46,
Area,173.828,173.828,173.828,0.000,173.828,173.828,173.828,173.828,1,µm^2,Surface,,,,,47,
Area,175.344,175.344,175.344,0.000,175.344,175.344,175.344,175.344,1,µm^2,Surface,,,,,48,
Area,178.486,178.486,178.486,0.000,178.486,178.486,178.486,178.486,1,µm^2,Surface,,,,,49,
Area,179.641,179.641,179.641,0.000,179.641,179.641,179.641,179.641,1,µm^2,Surface,,,,,50,
Area,181.674,181.674,181.674,0.000,181.674,181.674,181.674,181.674,1,µm^2,Surface,,,,,51,
Area,187.399,187.399,187.399,0.000,187.399,187.399,187.399,187.399,1,µm^2,Surface,,,,,52,
Area,188.454,188.454,188.454,0.000,188.454,188.454,188.454,188.454,1,µm^2,Surface,,,,,53,
Area,191.042,191.042,191.042,0.000,191.042,191.042,191.042,191.042,1,µm^2,Surface,,,,,54,
Area,171.523,171.523,171.523,0.000,171.523,171.523,171.523,171.523,1,µm^2,Surface,,,,,55,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,34,
Displacement Delta Length,1.024,1.024,1.024,0.000,1.024,1.024,1.024,1.024,1,µm,Surface,,,,,35,
Displacement Delta Length,0.634,0.634,0.634,0.000,0.634,0.634,0.634,0.634,1,µm,Surface,,,,,36,
Displacement Delta Length,0.827,0.827,0.827,0.000,0.827,0.827,0.827,0.827,1,µm,Surface,,,,,37,
Displacement Delta Length,0.417,0.417,0.417,0.000,0.417,0.417,0.417,0.417,1,µm,Surface,,,,,38,
Displacement Delta Length,0.645,0.645,0.645,0.000,0.645,0.645,0.645,0.645,1,µm,Surface,,,,,39,
Displacement Delta Length,1.224,1.224,1.224,0.000,1.224,1.224,1.224,1.224,1,µm,Surface,,,,,40,
Displacement Delta Length,0.394,0.394,0.394,0.000,0.394,0.394,0.394,0.394,1,µm,Surface,,,,,41,
Displacement Delta Length,0.302,0.302,0.302,0.000,0.302,0.302,0.302,0.302,1,µm,Surface,,,,,42,
Displacement Delta Length,0.677,0.677,0.677,0.000,0.677,0.677,0.677,0.677,1,µm,Surface,,,,,43,
Displacement Delta Length,0.360,0.360,0.360,0.000,0.360,0.360,0.360,0.360,1,µm,Surface,,,,,44,
Displacement Delta Length,0.715,0.715,0.715,0.000,0.715,0.715,0.715,0.715,1,µm,Surface,,,,,45,
Displacement Delta Length,0.552,0.552,0.552,0.000,0.552,0.552,0.552,0.552,1,µm,Surface,,,,,46,
Displacement Delta Length,0.766,0.766,0.766,0.000,0.766,0.766,0.766,0.766,1,µm,Surface,,,,,47,
Displacement Delta Length,0.554,0.554,0.554,0.000,0.554,0.554,0.554,0.554,1,µm,Surface,,,,,48,
Displacement Delta Length,0.757,0.757,0.757,0.000,0.757,0.757,0.757,0.757,1,µm,Surface,,,,,49,
Displacement Delta Length,0.815,0.815,0.815,0.000,0.815,0.815,0.815,0.815,1,µm,Surface,,,,,50,
Displacement Delta Length,0.660,0.660,0.660,0.000,0.660,0.660,0.660,0.660,1,µm,Surface,,,,,51,
Displacement Delta Length,0.987,0.987,0.987,0.000,0.987,0.987,0.987,0.987,1,µm,Surface,,,,,52,
Displacement Delta Length,0.197,0.197,0.197,0.000,0.197,0.197,0.197,0.197,1,µm,Surface,,,,,53,
