
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,4.772,4.772,4.772,0.000,4.772,4.772,4.772,4.772,1,µm^2,Surface,,,,,,44,
Area,32.677,32.677,32.677,0.000,32.677,32.677,32.677,32.677,1,µm^2,Surface,,,,,,45,
Area,43.394,43.394,43.394,0.000,43.394,43.394,43.394,43.394,1,µm^2,Surface,,,,,,46,
Area,43.033,43.033,43.033,0.000,43.033,43.033,43.033,43.033,1,µm^2,Surface,,,,,,47,
Area,28.461,28.461,28.461,0.000,28.461,28.461,28.461,28.461,1,µm^2,Surface,,,,,,48,
Area,31.528,31.528,31.528,0.000,31.528,31.528,31.528,31.528,1,µm^2,Surface,,,,,,49,
Area,31.673,31.673,31.673,0.000,31.673,31.673,31.673,31.673,1,µm^2,Surface,,,,,,50,
Area,29.109,29.109,29.109,0.000,29.109,29.109,29.109,29.109,1,µm^2,Surface,,,,,,51,
Area,24.851,24.851,24.851,0.000,24.851,24.851,24.851,24.851,1,µm^2,Surface,,,,,,52,
Area,21.266,21.266,21.266,0.000,21.266,21.266,21.266,21.266,1,µm^2,Surface,,,,,,53,
Area,19.652,19.652,19.652,0.000,19.652,19.652,19.652,19.652,1,µm^2,Surface,,,,,,54,
Area,23.807,23.807,23.807,0.000,23.807,23.807,23.807,23.807,1,µm^2,Surface,,,,,,55,
Area,23.289,23.289,23.289,0.000,23.289,23.289,23.289,23.289,1,µm^2,Surface,,,,,,56,
Area,26.798,26.798,26.798,0.000,26.798,26.798,26.798,26.798,1,µm^2,Surface,,,,,,57,
Area,26.790,26.790,26.790,0.000,26.790,26.790,26.790,26.790,1,µm^2,Surface,,,,,,58,
Area,26.213,26.213,26.213,0.000,26.213,26.213,26.213,26.213,1,µm^2,Surface,,,,,,59,
Area,25.357,25.357,25.357,0.000,25.357,25.357,25.357,25.357,1,µm^2,Surface,,,,,,60,
Area,25.555,25.555,25.555,0.000,25.555,25.555,25.555,25.555,1,µm^2,Surface,,,,,,61,
Area,25.474,25.474,25.474,0.000,25.474,25.474,25.474,25.474,1,µm^2,Surface,,,,,,62,
Area,22.986,22.986,22.986,0.000,22.986,22.986,22.986,22.986,1,µm^2,Surface,,,,,,63,
Area,24.431,24.431,24.431,0.000,24.431,24.431,24.431,24.431,1,µm^2,Surface,,,,,,64,
Area,23.234,23.234,23.234,0.000,23.234,23.234,23.234,23.234,1,µm^2,Surface,,,,,,65,
Area,22.114,22.114,22.114,0.000,22.114,22.114,22.114,22.114,1,µm^2,Surface,,,,,,66,
Area,23.725,23.725,23.725,0.000,23.725,23.725,23.725,23.725,1,µm^2,Surface,,,,,,67,
Area,28.161,28.161,28.161,0.000,28.161,28.161,28.161,28.161,1,µm^2,Surface,,,,,,68,
Area,26.189,26.189,26.189,0.000,26.189,26.189,26.189,26.189,1,µm^2,Surface,,,,,,69,
Area,26.304,26.304,26.304,0.000,26.304,26.304,26.304,26.304,1,µm^2,Surface,,,,,,70,
Area,30.385,30.385,30.385,0.000,30.385,30.385,30.385,30.385,1,µm^2,Surface,,,,,,71,
Area,25.667,25.667,25.667,0.000,25.667,25.667,25.667,25.667,1,µm^2,Surface,,,,,,72,
Area,26.559,26.559,26.559,0.000,26.559,26.559,26.559,26.559,1,µm^2,Surface,,,,,,73,
