
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,93.635,93.635,93.635,0.000,93.635,93.635,93.635,93.635,1,µm^2,Surface,,,,,23,
Area,116.703,116.703,116.703,0.000,116.703,116.703,116.703,116.703,1,µm^2,Surface,,,,,24,
Area,139.985,139.985,139.985,0.000,139.985,139.985,139.985,139.985,1,µm^2,Surface,,,,,25,
Area,151.529,151.529,151.529,0.000,151.529,151.529,151.529,151.529,1,µm^2,Surface,,,,,26,
Area,159.948,159.948,159.948,0.000,159.948,159.948,159.948,159.948,1,µm^2,Surface,,,,,27,
Area,165.504,165.504,165.504,0.000,165.504,165.504,165.504,165.504,1,µm^2,Surface,,,,,28,
Area,178.857,178.857,178.857,0.000,178.857,178.857,178.857,178.857,1,µm^2,Surface,,,,,29,
Area,171.281,171.281,171.281,0.000,171.281,171.281,171.281,171.281,1,µm^2,Surface,,,,,30,
Area,176.458,176.458,176.458,0.000,176.458,176.458,176.458,176.458,1,µm^2,Surface,,,,,31,
Area,188.618,188.618,188.618,0.000,188.618,188.618,188.618,188.618,1,µm^2,Surface,,,,,32,
Area,205.150,205.150,205.150,0.000,205.150,205.150,205.150,205.150,1,µm^2,Surface,,,,,33,
Area,215.565,215.565,215.565,0.000,215.565,215.565,215.565,215.565,1,µm^2,Surface,,,,,34,
Area,168.454,168.454,168.454,0.000,168.454,168.454,168.454,168.454,1,µm^2,Surface,,,,,35,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,23,
Displacement Delta Length,0.555,0.555,0.555,0.000,0.555,0.555,0.555,0.555,1,µm,Surface,,,,,24,
Displacement Delta Length,1.005,1.005,1.005,0.000,1.005,1.005,1.005,1.005,1,µm,Surface,,,,,25,
Displacement Delta Length,0.683,0.683,0.683,0.000,0.683,0.683,0.683,0.683,1,µm,Surface,,,,,26,
Displacement Delta Length,0.961,0.961,0.961,0.000,0.961,0.961,0.961,0.961,1,µm,Surface,,,,,27,
Displacement Delta Length,0.897,0.897,0.897,0.000,0.897,0.897,0.897,0.897,1,µm,Surface,,,,,28,
Displacement Delta Length,0.746,0.746,0.746,0.000,0.746,0.746,0.746,0.746,1,µm,Surface,,,,,29,
Displacement Delta Length,0.563,0.563,0.563,0.000,0.563,0.563,0.563,0.563,1,µm,Surface,,,,,30,
Displacement Delta Length,0.155,0.155,0.155,0.000,0.155,0.155,0.155,0.155,1,µm,Surface,,,,,31,
Displacement Delta Length,0.809,0.809,0.809,0.000,0.809,0.809,0.809,0.809,1,µm,Surface,,,,,32,
Displacement Delta Length,1.182,1.182,1.182,0.000,1.182,1.182,1.182,1.182,1,µm,Surface,,,,,33,
Displacement Delta Length,2.414,2.414,2.414,0.000,2.414,2.414,2.414,2.414,1,µm,Surface,,,,,34,
Displacement Delta Length,1.008,1.008,1.008,0.000,1.008,1.008,1.008,1.008,1,µm,Surface,,,,,35,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,0.106,0.106,0.106,0.000,0.106,0.106,0.106,0.106,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,0.547,0.547,0.547,0.000,0.547,0.547,0.547,0.547,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,0.443,0.443,0.443,0.000,0.443,0.443,0.443,0.443,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,0.845,0.845,0.845,0.000,0.845,0.845,0.845,0.845,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,0.840,0.840,0.840,0.000,0.840,0.840,0.840,0.840,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,0.457,0.457,0.457,0.000,0.457,0.457,0.457,0.457,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.179,0.179,0.179,0.000,0.179,0.179,0.179,0.179,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,-0.050,-0.050,-0.050,0.000,-0.050,-0.050,-0.050,-0.050,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,-0.555,-0.555,-0.555,0.000,-0.555,-0.555,-0.555,-0.555,1,µm,Surface,,Displacement Delta,,,32,
