
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,99.215,99.215,99.215,0.000,99.215,99.215,99.215,99.215,1,µm^2,Surface,,,,,23,
Area,119.247,119.247,119.247,0.000,119.247,119.247,119.247,119.247,1,µm^2,Surface,,,,,24,
Area,130.098,130.098,130.098,0.000,130.098,130.098,130.098,130.098,1,µm^2,Surface,,,,,25,
Area,140.669,140.669,140.669,0.000,140.669,140.669,140.669,140.669,1,µm^2,Surface,,,,,26,
Area,147.272,147.272,147.272,0.000,147.272,147.272,147.272,147.272,1,µm^2,Surface,,,,,27,
Area,145.600,145.600,145.600,0.000,145.600,145.600,145.600,145.600,1,µm^2,Surface,,,,,28,
Area,146.441,146.441,146.441,0.000,146.441,146.441,146.441,146.441,1,µm^2,Surface,,,,,29,
Area,148.314,148.314,148.314,0.000,148.314,148.314,148.314,148.314,1,µm^2,Surface,,,,,30,
Area,153.981,153.981,153.981,0.000,153.981,153.981,153.981,153.981,1,µm^2,Surface,,,,,31,
Area,160.924,160.924,160.924,0.000,160.924,160.924,160.924,160.924,1,µm^2,Surface,,,,,32,
Area,163.916,163.916,163.916,0.000,163.916,163.916,163.916,163.916,1,µm^2,Surface,,,,,33,
Area,153.555,153.555,153.555,0.000,153.555,153.555,153.555,153.555,1,µm^2,Surface,,,,,34,
Area,164.405,164.405,164.405,0.000,164.405,164.405,164.405,164.405,1,µm^2,Surface,,,,,35,
Area,167.503,167.503,167.503,0.000,167.503,167.503,167.503,167.503,1,µm^2,Surface,,,,,36,
Area,171.352,171.352,171.352,0.000,171.352,171.352,171.352,171.352,1,µm^2,Surface,,,,,37,
Area,174.600,174.600,174.600,0.000,174.600,174.600,174.600,174.600,1,µm^2,Surface,,,,,38,
Area,184.270,184.270,184.270,0.000,184.270,184.270,184.270,184.270,1,µm^2,Surface,,,,,39,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,23,
Displacement Delta Length,0.498,0.498,0.498,0.000,0.498,0.498,0.498,0.498,1,µm,Surface,,,,,24,
Displacement Delta Length,1.783,1.783,1.783,0.000,1.783,1.783,1.783,1.783,1,µm,Surface,,,,,25,
Displacement Delta Length,1.769,1.769,1.769,0.000,1.769,1.769,1.769,1.769,1,µm,Surface,,,,,26,
Displacement Delta Length,0.217,0.217,0.217,0.000,0.217,0.217,0.217,0.217,1,µm,Surface,,,,,27,
Displacement Delta Length,0.703,0.703,0.703,0.000,0.703,0.703,0.703,0.703,1,µm,Surface,,,,,28,
Displacement Delta Length,0.448,0.448,0.448,0.000,0.448,0.448,0.448,0.448,1,µm,Surface,,,,,29,
Displacement Delta Length,0.986,0.986,0.986,0.000,0.986,0.986,0.986,0.986,1,µm,Surface,,,,,30,
Displacement Delta Length,0.175,0.175,0.175,0.000,0.175,0.175,0.175,0.175,1,µm,Surface,,,,,31,
Displacement Delta Length,0.456,0.456,0.456,0.000,0.456,0.456,0.456,0.456,1,µm,Surface,,,,,32,
Displacement Delta Length,0.734,0.734,0.734,0.000,0.734,0.734,0.734,0.734,1,µm,Surface,,,,,33,
Displacement Delta Length,0.770,0.770,0.770,0.000,0.770,0.770,0.770,0.770,1,µm,Surface,,,,,34,
Displacement Delta Length,0.720,0.720,0.720,0.000,0.720,0.720,0.720,0.720,1,µm,Surface,,,,,35,
Displacement Delta Length,0.861,0.861,0.861,0.000,0.861,0.861,0.861,0.861,1,µm,Surface,,,,,36,
Displacement Delta Length,0.522,0.522,0.522,0.000,0.522,0.522,0.522,0.522,1,µm,Surface,,,,,37,
Displacement Delta Length,0.549,0.549,0.549,0.000,0.549,0.549,0.549,0.549,1,µm,Surface,,,,,38,
Displacement Delta Length,1.125,1.125,1.125,0.000,1.125,1.125,1.125,1.125,1,µm,Surface,,,,,39,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,0.252,0.252,0.252,0.000,0.252,0.252,0.252,0.252,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,0.383,0.383,0.383,0.000,0.383,0.383,0.383,0.383,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,-0.204,-0.204,-0.204,0.000,-0.204,-0.204,-0.204,-0.204,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,-0.103,-0.103,-0.103,0.000,-0.103,-0.103,-0.103,-0.103,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,0.173,0.173,0.173,0.000,0.173,0.173,0.173,0.173,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,-0.028,-0.028,-0.028,0.000,-0.028,-0.028,-0.028,-0.028,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.324,0.324,0.324,0.000,0.324,0.324,0.324,0.324,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,0.102,0.102,0.102,0.000,0.102,0.102,0.102,0.102,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,0.370,0.370,0.370,0.000,0.370,0.370,0.370,0.370,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,-0.263,-0.263,-0.263,0.000,-0.263,-0.263,-0.263,-0.263,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,-0.698,-0.698,-0.698,0.000,-0.698,-0.698,-0.698,-0.698,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,-0.121,-0.121,-0.121,0.000,-0.121,-0.121,-0.121,-0.121,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,0.165,0.165,0.165,0.000,0.165,0.165,0.165,0.165,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,0.107,0.107,0.107,0.000,0.107,0.107,0.107,0.107,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,-0.083,-0.083,-0.083,0.000,-0.083,-0.083,-0.083,-0.083,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta X,-0.321,-0.321,-0.321,0.000,-0.321,-0.321,-0.321,-0.321,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,0.300,0.300,0.300,0.000,0.300,0.300,0.300,0.300,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,-1.693,-1.693,-1.693,0.000,-1.693,-1.693,-1.693,-1.693,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-1.753,-1.753,-1.753,0.000,-1.753,-1.753,-1.753,-1.753,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,-0.147,-0.147,-0.147,0.000,-0.147,-0.147,-0.147,-0.147,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,0.644,0.644,0.644,0.000,0.644,0.644,0.644,0.644,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,0.365,0.365,0.365,0.000,0.365,0.365,0.365,0.365,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.808,0.808,0.808,0.000,0.808,0.808,0.808,0.808,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,0.122,0.122,0.122,0.000,0.122,0.122,0.122,0.122,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,0.190,0.190,0.190,0.000,0.190,0.190,0.190,0.190,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,0.629,0.629,0.629,0.000,0.629,0.629,0.629,0.629,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,0.198,0.198,0.198,0.000,0.198,0.198,0.198,0.198,1,µm,Surface,,Displacement Delta,,,34,
