nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17,Class
AB,Intensity Max,218.0,218.0,218.0,0.0,218.0,218.0,218.0,218.0,1,,Surface,1.0,,Image 1,,1.0,,
AB,Intensity Max,326.0,326.0,326.0,0.0,326.0,326.0,326.0,326.0,1,,Surface,1.0,,Image 1,,2.0,,
AB,Intensity Max,361.0,361.0,361.0,0.0,361.0,361.0,361.0,361.0,1,,Surface,1.0,,Image 1,,3.0,,
AB,Intensity Max,376.0,376.0,376.0,0.0,376.0,376.0,376.0,376.0,1,,Surface,1.0,,Image 1,,4.0,,
AB,Intensity Max,393.0,393.0,393.0,0.0,393.0,393.0,393.0,393.0,1,,Surface,1.0,,Image 1,,5.0,,
AB,Intensity Max,430.0,430.0,430.0,0.0,430.0,430.0,430.0,430.0,1,,Surface,1.0,,Image 1,,6.0,,
AB,Intensity Max,321.0,321.0,321.0,0.0,321.0,321.0,321.0,321.0,1,,Surface,1.0,,Image 1,,7.0,,
AB,Intensity Max,339.0,339.0,339.0,0.0,339.0,339.0,339.0,339.0,1,,Surface,1.0,,Image 1,,8.0,,
AB,Intensity Max,319.0,319.0,319.0,0.0,319.0,319.0,319.0,319.0,1,,Surface,1.0,,Image 1,,9.0,,
AB,Intensity Max,315.0,315.0,315.0,0.0,315.0,315.0,315.0,315.0,1,,Surface,1.0,,Image 1,,10.0,,
AB,Intensity Max,315.0,315.0,315.0,0.0,315.0,315.0,315.0,315.0,1,,Surface,1.0,,Image 1,,11.0,,
P1,Intensity Max,219.0,219.0,219.0,0.0,219.0,219.0,219.0,219.0,1,,Surface,1.0,,Image 1,,1.0,,
P1,Intensity Max,285.0,285.0,285.0,0.0,285.0,285.0,285.0,285.0,1,,Surface,1.0,,Image 1,,2.0,,
P1,Intensity Max,315.0,315.0,315.0,0.0,315.0,315.0,315.0,315.0,1,,Surface,1.0,,Image 1,,3.0,,
P1,Intensity Max,315.0,315.0,315.0,0.0,315.0,315.0,315.0,315.0,1,,Surface,1.0,,Image 1,,4.0,,
P1,Intensity Max,336.0,336.0,336.0,0.0,336.0,336.0,336.0,336.0,1,,Surface,1.0,,Image 1,,5.0,,
P1,Intensity Max,301.0,301.0,301.0,0.0,301.0,301.0,301.0,301.0,1,,Surface,1.0,,Image 1,,6.0,,
P1,Intensity Max,281.0,281.0,281.0,0.0,281.0,281.0,281.0,281.0,1,,Surface,1.0,,Image 1,,7.0,,
P1,Intensity Max,281.0,281.0,281.0,0.0,281.0,281.0,281.0,281.0,1,,Surface,1.0,,Image 1,,8.0,,
P1,Intensity Max,280.0,280.0,280.0,0.0,280.0,280.0,280.0,280.0,1,,Surface,1.0,,Image 1,,9.0,,
P1,Intensity Max,302.0,302.0,302.0,0.0,302.0,302.0,302.0,302.0,1,,Surface,1.0,,Image 1,,10.0,,
P1,Intensity Max,298.0,298.0,298.0,0.0,298.0,298.0,298.0,298.0,1,,Surface,1.0,,Image 1,,11.0,,
P1,Intensity Max,287.0,287.0,287.0,0.0,287.0,287.0,287.0,287.0,1,,Surface,1.0,,Image 1,,12.0,,
P1,Intensity Max,316.0,316.0,316.0,0.0,316.0,316.0,316.0,316.0,1,,Surface,1.0,,Image 1,,13.0,,
P1,Intensity Max,322.0,322.0,322.0,0.0,322.0,322.0,322.0,322.0,1,,Surface,1.0,,Image 1,,14.0,,
ABa,Intensity Max,332.0,332.0,332.0,0.0,332.0,332.0,332.0,332.0,1,,Surface,1.0,,Image 1,,16.0,,
ABa,Intensity Max,322.0,322.0,322.0,0.0,322.0,322.0,322.0,322.0,1,,Surface,1.0,,Image 1,,17.0,,
ABa,Intensity Max,306.0,306.0,306.0,0.0,306.0,306.0,306.0,306.0,1,,Surface,1.0,,Image 1,,18.0,,
ABa,Intensity Max,494.0,494.0,494.0,0.0,494.0,494.0,494.0,494.0,1,,Surface,1.0,,Image 1,,19.0,,
ABa,Intensity Max,904.0,904.0,904.0,0.0,904.0,904.0,904.0,904.0,1,,Surface,1.0,,Image 1,,20.0,,
