
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,35.270,35.270,35.270,0.000,35.270,35.270,35.270,35.270,1,µm^2,Surface,,,,,1,
Area,94.249,94.249,94.249,0.000,94.249,94.249,94.249,94.249,1,µm^2,Surface,,,,,2,
Area,146.292,146.292,146.292,0.000,146.292,146.292,146.292,146.292,1,µm^2,Surface,,,,,3,
Area,192.240,192.240,192.240,0.000,192.240,192.240,192.240,192.240,1,µm^2,Surface,,,,,4,
Area,222.791,222.791,222.791,0.000,222.791,222.791,222.791,222.791,1,µm^2,Surface,,,,,5,
Area,240.982,240.982,240.982,0.000,240.982,240.982,240.982,240.982,1,µm^2,Surface,,,,,6,
Area,257.483,257.483,257.483,0.000,257.483,257.483,257.483,257.483,1,µm^2,Surface,,,,,7,
Area,264.010,264.010,264.010,0.000,264.010,264.010,264.010,264.010,1,µm^2,Surface,,,,,8,
Area,269.844,269.844,269.844,0.000,269.844,269.844,269.844,269.844,1,µm^2,Surface,,,,,9,
Area,289.098,289.098,289.098,0.000,289.098,289.098,289.098,289.098,1,µm^2,Surface,,,,,10,
Area,305.858,305.858,305.858,0.000,305.858,305.858,305.858,305.858,1,µm^2,Surface,,,,,11,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,1.553,1.553,1.553,0.000,1.553,1.553,1.553,1.553,1,µm,Surface,,,,,2,
Displacement Delta Length,2.288,2.288,2.288,0.000,2.288,2.288,2.288,2.288,1,µm,Surface,,,,,3,
Displacement Delta Length,1.520,1.520,1.520,0.000,1.520,1.520,1.520,1.520,1,µm,Surface,,,,,4,
Displacement Delta Length,2.326,2.326,2.326,0.000,2.326,2.326,2.326,2.326,1,µm,Surface,,,,,5,
Displacement Delta Length,0.381,0.381,0.381,0.000,0.381,0.381,0.381,0.381,1,µm,Surface,,,,,6,
Displacement Delta Length,1.432,1.432,1.432,0.000,1.432,1.432,1.432,1.432,1,µm,Surface,,,,,7,
Displacement Delta Length,2.251,2.251,2.251,0.000,2.251,2.251,2.251,2.251,1,µm,Surface,,,,,8,
