
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,71.895,71.895,71.895,0.000,71.895,71.895,71.895,71.895,1,µm^2,Surface,,,,,16,
Area,103.488,103.488,103.488,0.000,103.488,103.488,103.488,103.488,1,µm^2,Surface,,,,,17,
Area,135.134,135.134,135.134,0.000,135.134,135.134,135.134,135.134,1,µm^2,Surface,,,,,18,
Area,152.314,152.314,152.314,0.000,152.314,152.314,152.314,152.314,1,µm^2,Surface,,,,,19,
Area,170.035,170.035,170.035,0.000,170.035,170.035,170.035,170.035,1,µm^2,Surface,,,,,20,
Area,184.550,184.550,184.550,0.000,184.550,184.550,184.550,184.550,1,µm^2,Surface,,,,,21,
Area,207.526,207.526,207.526,0.000,207.526,207.526,207.526,207.526,1,µm^2,Surface,,,,,22,
Area,218.281,218.281,218.281,0.000,218.281,218.281,218.281,218.281,1,µm^2,Surface,,,,,23,
Area,229.160,229.160,229.160,0.000,229.160,229.160,229.160,229.160,1,µm^2,Surface,,,,,24,
Area,233.475,233.475,233.475,0.000,233.475,233.475,233.475,233.475,1,µm^2,Surface,,,,,25,
Area,236.582,236.582,236.582,0.000,236.582,236.582,236.582,236.582,1,µm^2,Surface,,,,,26,
Area,198.481,198.481,198.481,0.000,198.481,198.481,198.481,198.481,1,µm^2,Surface,,,,,27,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,16,
Displacement Delta Length,1.140,1.140,1.140,0.000,1.140,1.140,1.140,1.140,1,µm,Surface,,,,,17,
Displacement Delta Length,1.411,1.411,1.411,0.000,1.411,1.411,1.411,1.411,1,µm,Surface,,,,,18,
Displacement Delta Length,1.204,1.204,1.204,0.000,1.204,1.204,1.204,1.204,1,µm,Surface,,,,,19,
Displacement Delta Length,0.754,0.754,0.754,0.000,0.754,0.754,0.754,0.754,1,µm,Surface,,,,,20,
Displacement Delta Length,0.775,0.775,0.775,0.000,0.775,0.775,0.775,0.775,1,µm,Surface,,,,,21,
Displacement Delta Length,1.481,1.481,1.481,0.000,1.481,1.481,1.481,1.481,1,µm,Surface,,,,,22,
Displacement Delta Length,0.954,0.954,0.954,0.000,0.954,0.954,0.954,0.954,1,µm,Surface,,,,,23,
Displacement Delta Length,0.341,0.341,0.341,0.000,0.341,0.341,0.341,0.341,1,µm,Surface,,,,,24,
Displacement Delta Length,1.430,1.430,1.430,0.000,1.430,1.430,1.430,1.430,1,µm,Surface,,,,,25,
Displacement Delta Length,1.322,1.322,1.322,0.000,1.322,1.322,1.322,1.322,1,µm,Surface,,,,,26,
Displacement Delta Length,0.949,0.949,0.949,0.000,0.949,0.949,0.949,0.949,1,µm,Surface,,,,,27,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,0.894,0.894,0.894,0.000,0.894,0.894,0.894,0.894,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.095,-0.095,-0.095,0.000,-0.095,-0.095,-0.095,-0.095,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,-0.765,-0.765,-0.765,0.000,-0.765,-0.765,-0.765,-0.765,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,-0.278,-0.278,-0.278,0.000,-0.278,-0.278,-0.278,-0.278,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,0.699,0.699,0.699,0.000,0.699,0.699,0.699,0.699,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,1.093,1.093,1.093,0.000,1.093,1.093,1.093,1.093,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,-0.355,-0.355,-0.355,0.000,-0.355,-0.355,-0.355,-0.355,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,0.143,0.143,0.143,0.000,0.143,0.143,0.143,0.143,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,-0.017,-0.017,-0.017,0.000,-0.017,-0.017,-0.017,-0.017,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,0.570,0.570,0.570,0.000,0.570,0.570,0.570,0.570,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,0.154,0.154,0.154,0.000,0.154,0.154,0.154,0.154,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,0.546,0.546,0.546,0.000,0.546,0.546,0.546,0.546,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,-1.256,-1.256,-1.256,0.000,-1.256,-1.256,-1.256,-1.256,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,-0.396,-0.396,-0.396,0.000,-0.396,-0.396,-0.396,-0.396,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,0.695,0.695,0.695,0.000,0.695,0.695,0.695,0.695,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,0.321,0.321,0.321,0.000,0.321,0.321,0.321,0.321,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,0.119,0.119,0.119,0.000,0.119,0.119,0.119,0.119,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,-0.643,-0.643,-0.643,0.000,-0.643,-0.643,-0.643,-0.643,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,-0.265,-0.265,-0.265,0.000,-0.265,-0.265,-0.265,-0.265,1,µm,Surface,,Displacement Delta,,,24,
