
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,109.910,109.910,109.910,0.000,109.910,109.910,109.910,109.910,1,µm^2,Surface,,,,,32,
Area,125.658,125.658,125.658,0.000,125.658,125.658,125.658,125.658,1,µm^2,Surface,,,,,33,
Area,134.500,134.500,134.500,0.000,134.500,134.500,134.500,134.500,1,µm^2,Surface,,,,,34,
Area,137.320,137.320,137.320,0.000,137.320,137.320,137.320,137.320,1,µm^2,Surface,,,,,35,
Area,143.004,143.004,143.004,0.000,143.004,143.004,143.004,143.004,1,µm^2,Surface,,,,,36,
Area,141.436,141.436,141.436,0.000,141.436,141.436,141.436,141.436,1,µm^2,Surface,,,,,37,
Area,138.042,138.042,138.042,0.000,138.042,138.042,138.042,138.042,1,µm^2,Surface,,,,,38,
Area,130.125,130.125,130.125,0.000,130.125,130.125,130.125,130.125,1,µm^2,Surface,,,,,39,
Area,143.199,143.199,143.199,0.000,143.199,143.199,143.199,143.199,1,µm^2,Surface,,,,,40,
Area,152.142,152.142,152.142,0.000,152.142,152.142,152.142,152.142,1,µm^2,Surface,,,,,41,
Area,158.549,158.549,158.549,0.000,158.549,158.549,158.549,158.549,1,µm^2,Surface,,,,,42,
Area,173.508,173.508,173.508,0.000,173.508,173.508,173.508,173.508,1,µm^2,Surface,,,,,43,
Area,183.336,183.336,183.336,0.000,183.336,183.336,183.336,183.336,1,µm^2,Surface,,,,,44,
Area,177.963,177.963,177.963,0.000,177.963,177.963,177.963,177.963,1,µm^2,Surface,,,,,45,
Area,172.036,172.036,172.036,0.000,172.036,172.036,172.036,172.036,1,µm^2,Surface,,,,,46,
Area,182.301,182.301,182.301,0.000,182.301,182.301,182.301,182.301,1,µm^2,Surface,,,,,47,
Class Duration,119.923,119.923,119.923,0.000,119.923,119.923,119.923,119.923,1,s,Surface,,Set 1::Class A,,,32,
Class Duration,119.923,119.923,119.923,0.000,119.923,119.923,119.923,119.923,1,s,Surface,,Set 1::Class A,,,33,
Class Duration,119.923,119.923,119.923,0.000,119.923,119.923,119.923,119.923,1,s,Surface,,Set 1::Class A,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,35,
Class Duration,60.032,60.032,60.032,0.000,60.032,60.032,60.032,60.032,1,s,Surface,,Set 1::Class A,,,36,
Class Duration,60.032,60.032,60.032,0.000,60.032,60.032,60.032,60.032,1,s,Surface,,Set 1::Class A,,,37,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,38,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,39,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,40,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,41,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,42,
Class Duration,60.033,60.033,60.033,0.000,60.033,60.033,60.033,60.033,1,s,Surface,,Set 1::Class B,,,43,
Class Duration,60.033,60.033,60.033,0.000,60.033,60.033,60.033,60.033,1,s,Surface,,Set 1::Class B,,,44,
Class Duration,119.984,119.984,119.984,0.000,119.984,119.984,119.984,119.984,1,s,Surface,,Set 1::Class A,,,45,
Class Duration,119.984,119.984,119.984,0.000,119.984,119.984,119.984,119.984,1,s,Surface,,Set 1::Class A,,,46,
Class Duration,119.984,119.984,119.984,0.000,119.984,119.984,119.984,119.984,1,s,Surface,,Set 1::Class A,,,47,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,32,
Displacement Delta Length,0.488,0.488,0.488,0.000,0.488,0.488,0.488,0.488,1,µm,Surface,,,,,33,
Displacement Delta Length,0.362,0.362,0.362,0.000,0.362,0.362,0.362,0.362,1,µm,Surface,,,,,34,
Displacement Delta Length,1.139,1.139,1.139,0.000,1.139,1.139,1.139,1.139,1,µm,Surface,,,,,35,
Displacement Delta Length,0.639,0.639,0.639,0.000,0.639,0.639,0.639,0.639,1,µm,Surface,,,,,36,
Displacement Delta Length,0.768,0.768,0.768,0.000,0.768,0.768,0.768,0.768,1,µm,Surface,,,,,37,
Displacement Delta Length,0.984,0.984,0.984,0.000,0.984,0.984,0.984,0.984,1,µm,Surface,,,,,38,
Displacement Delta Length,0.644,0.644,0.644,0.000,0.644,0.644,0.644,0.644,1,µm,Surface,,,,,39,
Displacement Delta Length,0.656,0.656,0.656,0.000,0.656,0.656,0.656,0.656,1,µm,Surface,,,,,40,
Displacement Delta Length,0.272,0.272,0.272,0.000,0.272,0.272,0.272,0.272,1,µm,Surface,,,,,41,
Displacement Delta Length,0.590,0.590,0.590,0.000,0.590,0.590,0.590,0.590,1,µm,Surface,,,,,42,
Displacement Delta Length,1.623,1.623,1.623,0.000,1.623,1.623,1.623,1.623,1,µm,Surface,,,,,43,
Displacement Delta Length,1.019,1.019,1.019,0.000,1.019,1.019,1.019,1.019,1,µm,Surface,,,,,44,
Displacement Delta Length,0.372,0.372,0.372,0.000,0.372,0.372,0.372,0.372,1,µm,Surface,,,,,45,
Displacement Delta Length,0.507,0.507,0.507,0.000,0.507,0.507,0.507,0.507,1,µm,Surface,,,,,46,
Displacement Delta Length,0.326,0.326,0.326,0.000,0.326,0.326,0.326,0.326,1,µm,Surface,,,,,47,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,32,
Displacement Delta X,-0.051,-0.051,-0.051,0.000,-0.051,-0.051,-0.051,-0.051,1,µm,Surface,,,Displacement Delta,,33,
Displacement Delta X,-0.207,-0.207,-0.207,0.000,-0.207,-0.207,-0.207,-0.207,1,µm,Surface,,,Displacement Delta,,34,
Displacement Delta X,-0.768,-0.768,-0.768,0.000,-0.768,-0.768,-0.768,-0.768,1,µm,Surface,,,Displacement Delta,,35,
Displacement Delta X,-0.445,-0.445,-0.445,0.000,-0.445,-0.445,-0.445,-0.445,1,µm,Surface,,,Displacement Delta,,36,
Displacement Delta X,-0.379,-0.379,-0.379,0.000,-0.379,-0.379,-0.379,-0.379,1,µm,Surface,,,Displacement Delta,,37,
Displacement Delta X,0.206,0.206,0.206,0.000,0.206,0.206,0.206,0.206,1,µm,Surface,,,Displacement Delta,,38,
Displacement Delta X,-0.490,-0.490,-0.490,0.000,-0.490,-0.490,-0.490,-0.490,1,µm,Surface,,,Displacement Delta,,39,
Displacement Delta X,0.213,0.213,0.213,0.000,0.213,0.213,0.213,0.213,1,µm,Surface,,,Displacement Delta,,40,
Displacement Delta X,-0.089,-0.089,-0.089,0.000,-0.089,-0.089,-0.089,-0.089,1,µm,Surface,,,Displacement Delta,,41,
Displacement Delta X,0.554,0.554,0.554,0.000,0.554,0.554,0.554,0.554,1,µm,Surface,,,Displacement Delta,,42,
Displacement Delta X,0.640,0.640,0.640,0.000,0.640,0.640,0.640,0.640,1,µm,Surface,,,Displacement Delta,,43,
