
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,26.034,26.034,26.034,0.000,26.034,26.034,26.034,26.034,1,µm^2,Surface,,,,,42,
Area,57.696,57.696,57.696,0.000,57.696,57.696,57.696,57.696,1,µm^2,Surface,,,,,43,
Area,80.516,80.516,80.516,0.000,80.516,80.516,80.516,80.516,1,µm^2,Surface,,,,,44,
Area,63.266,63.266,63.266,0.000,63.266,63.266,63.266,63.266,1,µm^2,Surface,,,,,45,
Area,59.030,59.030,59.030,0.000,59.030,59.030,59.030,59.030,1,µm^2,Surface,,,,,46,
Area,61.645,61.645,61.645,0.000,61.645,61.645,61.645,61.645,1,µm^2,Surface,,,,,47,
Area,60.032,60.032,60.032,0.000,60.032,60.032,60.032,60.032,1,µm^2,Surface,,,,,48,
Area,72.859,72.859,72.859,0.000,72.859,72.859,72.859,72.859,1,µm^2,Surface,,,,,49,
Area,84.558,84.558,84.558,0.000,84.558,84.558,84.558,84.558,1,µm^2,Surface,,,,,50,
Area,73.156,73.156,73.156,0.000,73.156,73.156,73.156,73.156,1,µm^2,Surface,,,,,51,
Area,85.540,85.540,85.540,0.000,85.540,85.540,85.540,85.540,1,µm^2,Surface,,,,,52,
Area,91.240,91.240,91.240,0.000,91.240,91.240,91.240,91.240,1,µm^2,Surface,,,,,53,
Area,78.353,78.353,78.353,0.000,78.353,78.353,78.353,78.353,1,µm^2,Surface,,,,,54,
Area,71.096,71.096,71.096,0.000,71.096,71.096,71.096,71.096,1,µm^2,Surface,,,,,55,
Area,83.852,83.852,83.852,0.000,83.852,83.852,83.852,83.852,1,µm^2,Surface,,,,,56,
Area,88.228,88.228,88.228,0.000,88.228,88.228,88.228,88.228,1,µm^2,Surface,,,,,57,
Area,86.287,86.287,86.287,0.000,86.287,86.287,86.287,86.287,1,µm^2,Surface,,,,,58,
Area,91.690,91.690,91.690,0.000,91.690,91.690,91.690,91.690,1,µm^2,Surface,,,,,59,
Area,86.268,86.268,86.268,0.000,86.268,86.268,86.268,86.268,1,µm^2,Surface,,,,,60,
Area,69.618,69.618,69.618,0.000,69.618,69.618,69.618,69.618,1,µm^2,Surface,,,,,61,
Area,65.636,65.636,65.636,0.000,65.636,65.636,65.636,65.636,1,µm^2,Surface,,,,,62,
Area,6.782,6.782,6.782,0.000,6.782,6.782,6.782,6.782,1,µm^2,Surface,,,,,64,
Area,5.834,5.834,5.834,0.000,5.834,5.834,5.834,5.834,1,µm^2,Surface,,,,,65,
Area,1.452,1.452,1.452,0.000,1.452,1.452,1.452,1.452,1,µm^2,Surface,,,,,66,
Area,1.472,1.472,1.472,0.000,1.472,1.472,1.472,1.472,1,µm^2,Surface,,,,,68,
Area,0.259,0.259,0.259,0.000,0.259,0.259,0.259,0.259,1,µm^2,Surface,,,,,69,
Area,2.753,2.753,2.753,0.000,2.753,2.753,2.753,2.753,1,µm^2,Surface,,,,,71,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,42,
Class Duration,60.033,60.033,60.033,0.000,60.033,60.033,60.033,60.033,1,s,Surface,,Set 1::Class B,,,43,
Class Duration,60.033,60.033,60.033,0.000,60.033,60.033,60.033,60.033,1,s,Surface,,Set 1::Class B,,,44,
Class Duration,60.046,60.046,60.046,0.000,60.046,60.046,60.046,60.046,1,s,Surface,,Set 1::Class A,,,45,
Class Duration,60.046,60.046,60.046,0.000,60.046,60.046,60.046,60.046,1,s,Surface,,Set 1::Class A,,,46,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,47,
Class Duration,120.008,120.008,120.008,0.000,120.008,120.008,120.008,120.008,1,s,Surface,,Set 1::Class A,,,48,
Class Duration,120.008,120.008,120.008,0.000,120.008,120.008,120.008,120.008,1,s,Surface,,Set 1::Class A,,,49,
Class Duration,120.008,120.008,120.008,0.000,120.008,120.008,120.008,120.008,1,s,Surface,,Set 1::Class A,,,50,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,51,
Class Duration,119.993,119.993,119.993,0.000,119.993,119.993,119.993,119.993,1,s,Surface,,Set 1::Class A,,,52,
Class Duration,119.993,119.993,119.993,0.000,119.993,119.993,119.993,119.993,1,s,Surface,,Set 1::Class A,,,53,
Class Duration,119.993,119.993,119.993,0.000,119.993,119.993,119.993,119.993,1,s,Surface,,Set 1::Class A,,,54,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,55,
Class Duration,119.987,119.987,119.987,0.000,119.987,119.987,119.987,119.987,1,s,Surface,,Set 1::Class A,,,56,
Class Duration,119.987,119.987,119.987,0.000,119.987,119.987,119.987,119.987,1,s,Surface,,Set 1::Class A,,,57,
Class Duration,119.987,119.987,119.987,0.000,119.987,119.987,119.987,119.987,1,s,Surface,,Set 1::Class A,,,58,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,59,
Class Duration,120.006,120.006,120.006,0.000,120.006,120.006,120.006,120.006,1,s,Surface,,Set 1::Class A,,,60,
Class Duration,120.006,120.006,120.006,0.000,120.006,120.006,120.006,120.006,1,s,Surface,,Set 1::Class A,,,61,
Class Duration,120.006,120.006,120.006,0.000,120.006,120.006,120.006,120.006,1,s,Surface,,Set 1::Class A,,,62,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,64,
Class Duration,60.002,60.002,60.002,0.000,60.002,60.002,60.002,60.002,1,s,Surface,,Set 1::Class A,,,65,
Class Duration,60.002,60.002,60.002,0.000,60.002,60.002,60.002,60.002,1,s,Surface,,Set 1::Class A,,,66,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,68,
Class Duration,119.980,119.980,119.980,0.000,119.980,119.980,119.980,119.980,1,s,Surface,,Set 1::Class A,,,69,
Class Duration,119.980,119.980,119.980,0.000,119.980,119.980,119.980,119.980,1,s,Surface,,Set 1::Class A,,,71,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,42,
Displacement Delta Length,0.965,0.965,0.965,0.000,0.965,0.965,0.965,0.965,1,µm,Surface,,,,,43,
Displacement Delta Length,0.972,0.972,0.972,0.000,0.972,0.972,0.972,0.972,1,µm,Surface,,,,,44,
Displacement Delta Length,0.837,0.837,0.837,0.000,0.837,0.837,0.837,0.837,1,µm,Surface,,,,,45,
Displacement Delta Length,0.163,0.163,0.163,0.000,0.163,0.163,0.163,0.163,1,µm,Surface,,,,,46,
Displacement Delta Length,1.281,1.281,1.281,0.000,1.281,1.281,1.281,1.281,1,µm,Surface,,,,,47,
Displacement Delta Length,0.726,0.726,0.726,0.000,0.726,0.726,0.726,0.726,1,µm,Surface,,,,,48,
Displacement Delta Length,0.766,0.766,0.766,0.000,0.766,0.766,0.766,0.766,1,µm,Surface,,,,,49,
Displacement Delta Length,0.513,0.513,0.513,0.000,0.513,0.513,0.513,0.513,1,µm,Surface,,,,,50,
Displacement Delta Length,1.154,1.154,1.154,0.000,1.154,1.154,1.154,1.154,1,µm,Surface,,,,,51,
Displacement Delta Length,0.862,0.862,0.862,0.000,0.862,0.862,0.862,0.862,1,µm,Surface,,,,,52,
Displacement Delta Length,0.629,0.629,0.629,0.000,0.629,0.629,0.629,0.629,1,µm,Surface,,,,,53,
Displacement Delta Length,0.315,0.315,0.315,0.000,0.315,0.315,0.315,0.315,1,µm,Surface,,,,,54,
Displacement Delta Length,0.889,0.889,0.889,0.000,0.889,0.889,0.889,0.889,1,µm,Surface,,,,,55,
Displacement Delta Length,0.768,0.768,0.768,0.000,0.768,0.768,0.768,0.768,1,µm,Surface,,,,,56,
Displacement Delta Length,0.481,0.481,0.481,0.000,0.481,0.481,0.481,0.481,1,µm,Surface,,,,,57,
Displacement Delta Length,0.733,0.733,0.733,0.000,0.733,0.733,0.733,0.733,1,µm,Surface,,,,,58,
Displacement Delta Length,0.961,0.961,0.961,0.000,0.961,0.961,0.961,0.961,1,µm,Surface,,,,,59,
Displacement Delta Length,0.281,0.281,0.281,0.000,0.281,0.281,0.281,0.281,1,µm,Surface,,,,,60,
Displacement Delta Length,0.670,0.670,0.670,0.000,0.670,0.670,0.670,0.670,1,µm,Surface,,,,,61,
Displacement Delta Length,0.550,0.550,0.550,0.000,0.550,0.550,0.550,0.550,1,µm,Surface,,,,,62,
Displacement Delta Length,1.446,1.446,1.446,0.000,1.446,1.446,1.446,1.446,1,µm,Surface,,,,,64,
Displacement Delta Length,0.708,0.708,0.708,0.000,0.708,0.708,0.708,0.708,1,µm,Surface,,,,,65,
Displacement Delta Length,0.474,0.474,0.474,0.000,0.474,0.474,0.474,0.474,1,µm,Surface,,,,,66,
Displacement Delta Length,1.093,1.093,1.093,0.000,1.093,1.093,1.093,1.093,1,µm,Surface,,,,,68,
Displacement Delta Length,0.321,0.321,0.321,0.000,0.321,0.321,0.321,0.321,1,µm,Surface,,,,,69,
Displacement Delta Length,0.198,0.198,0.198,0.000,0.198,0.198,0.198,0.198,1,µm,Surface,,,,,71,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,42,
Displacement Delta X,0.259,0.259,0.259,0.000,0.259,0.259,0.259,0.259,1,µm,Surface,,,Displacement Delta,,43,
Displacement Delta X,0.539,0.539,0.539,0.000,0.539,0.539,0.539,0.539,1,µm,Surface,,,Displacement Delta,,44,
Displacement Delta X,0.640,0.640,0.640,0.000,0.640,0.640,0.640,0.640,1,µm,Surface,,,Displacement Delta,,45,
