
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,67.811,67.811,67.811,0.000,67.811,67.811,67.811,67.811,1,µm^2,Surface,,,,,19,
Area,88.848,88.848,88.848,0.000,88.848,88.848,88.848,88.848,1,µm^2,Surface,,,,,20,
Area,111.859,111.859,111.859,0.000,111.859,111.859,111.859,111.859,1,µm^2,Surface,,,,,21,
Area,123.275,123.275,123.275,0.000,123.275,123.275,123.275,123.275,1,µm^2,Surface,,,,,22,
Area,139.656,139.656,139.656,0.000,139.656,139.656,139.656,139.656,1,µm^2,Surface,,,,,23,
Area,149.284,149.284,149.284,0.000,149.284,149.284,149.284,149.284,1,µm^2,Surface,,,,,24,
Area,156.734,156.734,156.734,0.000,156.734,156.734,156.734,156.734,1,µm^2,Surface,,,,,25,
Area,162.970,162.970,162.970,0.000,162.970,162.970,162.970,162.970,1,µm^2,Surface,,,,,26,
Area,172.171,172.171,172.171,0.000,172.171,172.171,172.171,172.171,1,µm^2,Surface,,,,,27,
Area,165.451,165.451,165.451,0.000,165.451,165.451,165.451,165.451,1,µm^2,Surface,,,,,28,
Area,160.104,160.104,160.104,0.000,160.104,160.104,160.104,160.104,1,µm^2,Surface,,,,,29,
Area,185.484,185.484,185.484,0.000,185.484,185.484,185.484,185.484,1,µm^2,Surface,,,,,30,
Area,190.013,190.013,190.013,0.000,190.013,190.013,190.013,190.013,1,µm^2,Surface,,,,,31,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,19,
Displacement Delta Length,0.671,0.671,0.671,0.000,0.671,0.671,0.671,0.671,1,µm,Surface,,,,,20,
Displacement Delta Length,0.464,0.464,0.464,0.000,0.464,0.464,0.464,0.464,1,µm,Surface,,,,,21,
Displacement Delta Length,0.394,0.394,0.394,0.000,0.394,0.394,0.394,0.394,1,µm,Surface,,,,,22,
Displacement Delta Length,1.022,1.022,1.022,0.000,1.022,1.022,1.022,1.022,1,µm,Surface,,,,,23,
Displacement Delta Length,0.813,0.813,0.813,0.000,0.813,0.813,0.813,0.813,1,µm,Surface,,,,,24,
Displacement Delta Length,0.621,0.621,0.621,0.000,0.621,0.621,0.621,0.621,1,µm,Surface,,,,,25,
Displacement Delta Length,0.656,0.656,0.656,0.000,0.656,0.656,0.656,0.656,1,µm,Surface,,,,,26,
Displacement Delta Length,0.508,0.508,0.508,0.000,0.508,0.508,0.508,0.508,1,µm,Surface,,,,,27,
Displacement Delta Length,0.643,0.643,0.643,0.000,0.643,0.643,0.643,0.643,1,µm,Surface,,,,,28,
Displacement Delta Length,0.488,0.488,0.488,0.000,0.488,0.488,0.488,0.488,1,µm,Surface,,,,,29,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,30,
Displacement Delta Length,2.134,2.134,2.134,0.000,2.134,2.134,2.134,2.134,1,µm,Surface,,,,,31,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,-0.173,-0.173,-0.173,0.000,-0.173,-0.173,-0.173,-0.173,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,0.462,0.462,0.462,0.000,0.462,0.462,0.462,0.462,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,-0.210,-0.210,-0.210,0.000,-0.210,-0.210,-0.210,-0.210,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,0.214,0.214,0.214,0.000,0.214,0.214,0.214,0.214,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,0.113,0.113,0.113,0.000,0.113,0.113,0.113,0.113,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,0.047,0.047,0.047,0.000,0.047,0.047,0.047,0.047,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,-0.009,-0.009,-0.009,0.000,-0.009,-0.009,-0.009,-0.009,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,-0.285,-0.285,-0.285,0.000,-0.285,-0.285,-0.285,-0.285,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,-0.023,-0.023,-0.023,0.000,-0.023,-0.023,-0.023,-0.023,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,-0.205,-0.205,-0.205,0.000,-0.205,-0.205,-0.205,-0.205,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,-0.099,-0.099,-0.099,0.000,-0.099,-0.099,-0.099,-0.099,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,-0.190,-0.190,-0.190,0.000,-0.190,-0.190,-0.190,-0.190,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,0.029,0.029,0.029,0.000,0.029,0.029,0.029,0.029,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,0.327,0.327,0.327,0.000,0.327,0.327,0.327,0.327,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,0.863,0.863,0.863,0.000,0.863,0.863,0.863,0.863,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,0.667,0.667,0.667,0.000,0.667,0.667,0.667,0.667,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,0.500,0.500,0.500,0.000,0.500,0.500,0.500,0.500,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,0.546,0.546,0.546,0.000,0.546,0.546,0.546,0.546,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,0.410,0.410,0.410,0.000,0.410,0.410,0.410,0.410,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-0.141,-0.141,-0.141,0.000,-0.141,-0.141,-0.141,-0.141,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,-0.420,-0.420,-0.420,0.000,-0.420,-0.420,-0.420,-0.420,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,-2.069,-2.069,-2.069,0.000,-2.069,-2.069,-2.069,-2.069,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,0.619,0.619,0.619,0.000,0.619,0.619,0.619,0.619,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Z,-0.030,-0.030,-0.030,0.000,-0.030,-0.030,-0.030,-0.030,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Z,0.062,0.062,0.062,0.000,0.062,0.062,0.062,0.062,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Z,-0.504,-0.504,-0.504,0.000,-0.504,-0.504,-0.504,-0.504,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Z,-0.450,-0.450,-0.450,0.000,-0.450,-0.450,-0.450,-0.450,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Z,0.365,0.365,0.365,0.000,0.365,0.365,0.365,0.365,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Z,0.363,0.363,0.363,0.000,0.363,0.363,0.363,0.363,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Z,-0.094,-0.094,-0.094,0.000,-0.094,-0.094,-0.094,-0.094,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Z,0.627,0.627,0.627,0.000,0.627,0.627,0.627,0.627,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Z,-0.140,-0.140,-0.140,0.000,-0.140,-0.140,-0.140,-0.140,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Z,-0.512,-0.512,-0.512,0.000,-0.512,-0.512,-0.512,-0.512,1,µm,Surface,,Displacement Delta,,,31,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,19,
Displacement Length,0.671,0.671,0.671,0.000,0.671,0.671,0.671,0.671,1,µm,Surface,,,,,20,
Displacement Length,0.676,0.676,0.676,0.000,0.676,0.676,0.676,0.676,1,µm,Surface,,,,,21,
Displacement Length,0.677,0.677,0.677,0.000,0.677,0.677,0.677,0.677,1,µm,Surface,,,,,22,
Displacement Length,1.079,1.079,1.079,0.000,1.079,1.079,1.079,1.079,1,µm,Surface,,,,,23,
Displacement Length,1.770,1.770,1.770,0.000,1.770,1.770,1.770,1.770,1,µm,Surface,,,,,24,
Displacement Length,2.243,2.243,2.243,0.000,2.243,2.243,2.243,2.243,1,µm,Surface,,,,,25,
Displacement Length,2.810,2.810,2.810,0.000,2.810,2.810,2.810,2.810,1,µm,Surface,,,,,26,
Displacement Length,3.174,3.174,3.174,0.000,3.174,3.174,3.174,3.174,1,µm,Surface,,,,,27,
Displacement Length,3.163,3.163,3.163,0.000,3.163,3.163,3.163,3.163,1,µm,Surface,,,,,28,
Displacement Length,2.718,2.718,2.718,0.000,2.718,2.718,2.718,2.718,1,µm,Surface,,,,,29,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,30,
Displacement Length,2.134,2.134,2.134,0.000,2.134,2.134,2.134,2.134,1,µm,Surface,,,,,31,
Distance from Origin,8979.407,8979.407,8979.407,0.000,8979.407,8979.407,8979.407,8979.407,1,µm,Surface,,Distance from Origin,,,19,
Distance from Origin,8980.023,8980.023,8980.023,0.000,8980.023,8980.023,8980.023,8980.023,1,µm,Surface,,Distance from Origin,,,20,
Distance from Origin,8979.957,8979.957,8979.957,0.000,8979.957,8979.957,8979.957,8979.957,1,µm,Surface,,Distance from Origin,,,21,
Distance from Origin,8980.061,8980.061,8980.061,0.000,8980.061,8980.061,8980.061,8980.061,1,µm,Surface,,Distance from Origin,,,22,
Distance from Origin,8979.603,8979.603,8979.603,0.000,8979.603,8979.603,8979.603,8979.603,1,µm,Surface,,Distance from Origin,,,23,
Distance from Origin,8979.192,8979.192,8979.192,0.000,8979.192,8979.192,8979.192,8979.192,1,µm,Surface,,Distance from Origin,,,24,
Distance from Origin,8979.587,8979.587,8979.587,0.000,8979.587,8979.587,8979.587,8979.587,1,µm,Surface,,Distance from Origin,,,25,
Distance from Origin,8979.988,8979.988,8979.988,0.000,8979.988,8979.988,8979.988,8979.988,1,µm,Surface,,Distance from Origin,,,26,
Distance from Origin,8979.947,8979.947,8979.947,0.000,8979.947,8979.947,8979.947,8979.947,1,µm,Surface,,Distance from Origin,,,27,
Distance from Origin,8980.562,8980.562,8980.562,0.000,8980.562,8980.562,8980.562,8980.562,1,µm,Surface,,Distance from Origin,,,28,
Distance from Origin,8980.411,8980.411,8980.411,0.000,8980.411,8980.411,8980.411,8980.411,1,µm,Surface,,Distance from Origin,,,29,
Distance from Origin,8978.273,8978.273,8978.273,0.000,8978.273,8978.273,8978.273,8978.273,1,µm,Surface,,Distance from Origin,,,30,
Distance from Origin,8977.627,8977.627,8977.627,0.000,8977.627,8977.627,8977.627,8977.627,1,µm,Surface,,Distance from Origin,,,31,
Distance to Image Border XY,13.040,13.040,13.040,0.000,13.040,13.040,13.040,13.040,1,µm,Surface,,,Image 1,,19,
Distance to Image Border XY,12.918,12.918,12.918,0.000,12.918,12.918,12.918,12.918,1,µm,Surface,,,Image 1,,20,
Distance to Image Border XY,12.680,12.680,12.680,0.000,12.680,12.680,12.680,12.680,1,µm,Surface,,,Image 1,,21,
Distance to Image Border XY,12.144,12.144,12.144,0.000,12.144,12.144,12.144,12.144,1,µm,Surface,,,Image 1,,22,
Distance to Image Border XY,10.968,10.968,10.968,0.000,10.968,10.968,10.968,10.968,1,µm,Surface,,,Image 1,,23,
Distance to Image Border XY,10.301,10.301,10.301,0.000,10.301,10.301,10.301,10.301,1,µm,Surface,,,Image 1,,24,
Distance to Image Border XY,9.592,9.592,9.592,0.000,9.592,9.592,9.592,9.592,1,µm,Surface,,,Image 1,,25,
Distance to Image Border XY,9.046,9.046,9.046,0.000,9.046,9.046,9.046,9.046,1,µm,Surface,,,Image 1,,26,
Distance to Image Border XY,8.532,8.532,8.532,0.000,8.532,8.532,8.532,8.532,1,µm,Surface,,,Image 1,,27,
Distance to Image Border XY,8.881,8.881,8.881,0.000,8.881,8.881,8.881,8.881,1,µm,Surface,,,Image 1,,28,
Distance to Image Border XY,9.093,9.093,9.093,0.000,9.093,9.093,9.093,9.093,1,µm,Surface,,,Image 1,,29,
Distance to Image Border XY,9.724,9.724,9.724,0.000,9.724,9.724,9.724,9.724,1,µm,Surface,,,Image 1,,30,
Distance to Image Border XY,11.793,11.793,11.793,0.000,11.793,11.793,11.793,11.793,1,µm,Surface,,,Image 1,,31,
Ellipticity (oblate),0.561,0.561,0.561,0.000,0.561,0.561,0.561,0.561,1,,Surface,,,,,19,
Ellipticity (oblate),0.198,0.198,0.198,0.000,0.198,0.198,0.198,0.198,1,,Surface,,,,,20,
Ellipticity (oblate),0.173,0.173,0.173,0.000,0.173,0.173,0.173,0.173,1,,Surface,,,,,21,
Ellipticity (oblate),0.208,0.208,0.208,0.000,0.208,0.208,0.208,0.208,1,,Surface,,,,,22,
Ellipticity (oblate),0.247,0.247,0.247,0.000,0.247,0.247,0.247,0.247,1,,Surface,,,,,23,
Ellipticity (oblate),0.193,0.193,0.193,0.000,0.193,0.193,0.193,0.193,1,,Surface,,,,,24,
Ellipticity (oblate),0.228,0.228,0.228,0.000,0.228,0.228,0.228,0.228,1,,Surface,,,,,25,
Ellipticity (oblate),0.252,0.252,0.252,0.000,0.252,0.252,0.252,0.252,1,,Surface,,,,,26,
Ellipticity (oblate),0.208,0.208,0.208,0.000,0.208,0.208,0.208,0.208,1,,Surface,,,,,27,
Ellipticity (oblate),0.174,0.174,0.174,0.000,0.174,0.174,0.174,0.174,1,,Surface,,,,,28,
Ellipticity (oblate),0.160,0.160,0.160,0.000,0.160,0.160,0.160,0.160,1,,Surface,,,,,29,
Ellipticity (oblate),0.191,0.191,0.191,0.000,0.191,0.191,0.191,0.191,1,,Surface,,,,,30,
Ellipticity (oblate),0.190,0.190,0.190,0.000,0.190,0.190,0.190,0.190,1,,Surface,,,,,31,
Ellipticity (prolate),0.215,0.215,0.215,0.000,0.215,0.215,0.215,0.215,1,,Surface,,,,,19,
Ellipticity (prolate),0.153,0.153,0.153,0.000,0.153,0.153,0.153,0.153,1,,Surface,,,,,20,
Ellipticity (prolate),0.128,0.128,0.128,0.000,0.128,0.128,0.128,0.128,1,,Surface,,,,,21,
Ellipticity (prolate),0.154,0.154,0.154,0.000,0.154,0.154,0.154,0.154,1,,Surface,,,,,22,
Ellipticity (prolate),0.189,0.189,0.189,0.000,0.189,0.189,0.189,0.189,1,,Surface,,,,,23,
Ellipticity (prolate),0.150,0.150,0.150,0.000,0.150,0.150,0.150,0.150,1,,Surface,,,,,24,
Ellipticity (prolate),0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,,Surface,,,,,25,
Ellipticity (prolate),0.164,0.164,0.164,0.000,0.164,0.164,0.164,0.164,1,,Surface,,,,,26,
Ellipticity (prolate),0.196,0.196,0.196,0.000,0.196,0.196,0.196,0.196,1,,Surface,,,,,27,
Ellipticity (prolate),0.106,0.106,0.106,0.000,0.106,0.106,0.106,0.106,1,,Surface,,,,,28,
Ellipticity (prolate),0.181,0.181,0.181,0.000,0.181,0.181,0.181,0.181,1,,Surface,,,,,29,
Ellipticity (prolate),0.105,0.105,0.105,0.000,0.105,0.105,0.105,0.105,1,,Surface,,,,,30,
Ellipticity (prolate),0.145,0.145,0.145,0.000,0.145,0.145,0.145,0.145,1,,Surface,,,,,31,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,19,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,20,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,21,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,22,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,23,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,24,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,25,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,26,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,27,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,28,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,29,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,30,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,31,
Intensity Max,258.000,258.000,258.000,0.000,258.000,258.000,258.000,258.000,1,,Surface,1,,Image 1,,19,
Intensity Max,277.000,277.000,277.000,0.000,277.000,277.000,277.000,277.000,1,,Surface,1,,Image 1,,20,
Intensity Max,351.000,351.000,351.000,0.000,351.000,351.000,351.000,351.000,1,,Surface,1,,Image 1,,21,
Intensity Max,826.000,826.000,826.000,0.000,826.000,826.000,826.000,826.000,1,,Surface,1,,Image 1,,22,
Intensity Max,1011.000,1011.000,1011.000,0.000,1011.000,1011.000,1011.000,1011.000,1,,Surface,1,,Image 1,,23,
Intensity Max,2447.000,2447.000,2447.000,0.000,2447.000,2447.000,2447.000,2447.000,1,,Surface,1,,Image 1,,24,
Intensity Max,1587.000,1587.000,1587.000,0.000,1587.000,1587.000,1587.000,1587.000,1,,Surface,1,,Image 1,,25,
Intensity Max,1705.000,1705.000,1705.000,0.000,1705.000,1705.000,1705.000,1705.000,1,,Surface,1,,Image 1,,26,
Intensity Max,1672.000,1672.000,1672.000,0.000,1672.000,1672.000,1672.000,1672.000,1,,Surface,1,,Image 1,,27,
Intensity Max,740.000,740.000,740.000,0.000,740.000,740.000,740.000,740.000,1,,Surface,1,,Image 1,,28,
Intensity Max,259.000,259.000,259.000,0.000,259.000,259.000,259.000,259.000,1,,Surface,1,,Image 1,,29,
Intensity Max,260.000,260.000,260.000,0.000,260.000,260.000,260.000,260.000,1,,Surface,1,,Image 1,,30,
