
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,93.556,93.556,93.556,0.000,93.556,93.556,93.556,93.556,1,µm^2,Surface,,,,,39,
Area,120.532,120.532,120.532,0.000,120.532,120.532,120.532,120.532,1,µm^2,Surface,,,,,40,
Area,115.166,115.166,115.166,0.000,115.166,115.166,115.166,115.166,1,µm^2,Surface,,,,,41,
Area,118.480,118.480,118.480,0.000,118.480,118.480,118.480,118.480,1,µm^2,Surface,,,,,42,
Area,107.308,107.308,107.308,0.000,107.308,107.308,107.308,107.308,1,µm^2,Surface,,,,,43,
Area,102.996,102.996,102.996,0.000,102.996,102.996,102.996,102.996,1,µm^2,Surface,,,,,44,
Area,98.874,98.874,98.874,0.000,98.874,98.874,98.874,98.874,1,µm^2,Surface,,,,,45,
Area,90.545,90.545,90.545,0.000,90.545,90.545,90.545,90.545,1,µm^2,Surface,,,,,46,
Area,106.949,106.949,106.949,0.000,106.949,106.949,106.949,106.949,1,µm^2,Surface,,,,,47,
Area,124.419,124.419,124.419,0.000,124.419,124.419,124.419,124.419,1,µm^2,Surface,,,,,48,
Area,112.095,112.095,112.095,0.000,112.095,112.095,112.095,112.095,1,µm^2,Surface,,,,,49,
Area,129.565,129.565,129.565,0.000,129.565,129.565,129.565,129.565,1,µm^2,Surface,,,,,50,
Area,127.725,127.725,127.725,0.000,127.725,127.725,127.725,127.725,1,µm^2,Surface,,,,,51,
Area,104.535,104.535,104.535,0.000,104.535,104.535,104.535,104.535,1,µm^2,Surface,,,,,52,
Area,97.512,97.512,97.512,0.000,97.512,97.512,97.512,97.512,1,µm^2,Surface,,,,,53,
Area,78.918,78.918,78.918,0.000,78.918,78.918,78.918,78.918,1,µm^2,Surface,,,,,54,
Area,67.156,67.156,67.156,0.000,67.156,67.156,67.156,67.156,1,µm^2,Surface,,,,,55,
Area,65.722,65.722,65.722,0.000,65.722,65.722,65.722,65.722,1,µm^2,Surface,,,,,56,
Area,58.348,58.348,58.348,0.000,58.348,58.348,58.348,58.348,1,µm^2,Surface,,,,,57,
Area,68.330,68.330,68.330,0.000,68.330,68.330,68.330,68.330,1,µm^2,Surface,,,,,58,
Area,3.812,3.812,3.812,0.000,3.812,3.812,3.812,3.812,1,µm^2,Surface,,,,,59,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,39,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,40,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,41,
Class Duration,179.997,179.997,179.997,0.000,179.997,179.997,179.997,179.997,1,s,Surface,,Set 1::Class A,,,42,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,43,
Class Duration,359.990,359.990,359.990,0.000,359.990,359.990,359.990,359.990,1,s,Surface,,Set 1::Class A,,,44,
Class Duration,359.990,359.990,359.990,0.000,359.990,359.990,359.990,359.990,1,s,Surface,,Set 1::Class A,,,45,
Class Duration,359.990,359.990,359.990,0.000,359.990,359.990,359.990,359.990,1,s,Surface,,Set 1::Class A,,,46,
Class Duration,359.990,359.990,359.990,0.000,359.990,359.990,359.990,359.990,1,s,Surface,,Set 1::Class A,,,47,
Class Duration,359.990,359.990,359.990,0.000,359.990,359.990,359.990,359.990,1,s,Surface,,Set 1::Class A,,,48,
Class Duration,359.990,359.990,359.990,0.000,359.990,359.990,359.990,359.990,1,s,Surface,,Set 1::Class A,,,49,
