
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,4.169,4.169,4.169,0.000,4.169,4.169,4.169,4.169,1,µm^2,Surface,,,,,38,
Area,93.933,93.933,93.933,0.000,93.933,93.933,93.933,93.933,1,µm^2,Surface,,,,,39,
Area,88.618,88.618,88.618,0.000,88.618,88.618,88.618,88.618,1,µm^2,Surface,,,,,40,
Area,99.951,99.951,99.951,0.000,99.951,99.951,99.951,99.951,1,µm^2,Surface,,,,,41,
Area,105.732,105.732,105.732,0.000,105.732,105.732,105.732,105.732,1,µm^2,Surface,,,,,42,
Area,114.295,114.295,114.295,0.000,114.295,114.295,114.295,114.295,1,µm^2,Surface,,,,,43,
Area,112.683,112.683,112.683,0.000,112.683,112.683,112.683,112.683,1,µm^2,Surface,,,,,44,
Area,115.974,115.974,115.974,0.000,115.974,115.974,115.974,115.974,1,µm^2,Surface,,,,,45,
Area,108.739,108.739,108.739,0.000,108.739,108.739,108.739,108.739,1,µm^2,Surface,,,,,46,
Area,100.901,100.901,100.901,0.000,100.901,100.901,100.901,100.901,1,µm^2,Surface,,,,,47,
Area,100.295,100.295,100.295,0.000,100.295,100.295,100.295,100.295,1,µm^2,Surface,,,,,48,
Area,91.686,91.686,91.686,0.000,91.686,91.686,91.686,91.686,1,µm^2,Surface,,,,,49,
Area,94.929,94.929,94.929,0.000,94.929,94.929,94.929,94.929,1,µm^2,Surface,,,,,50,
Area,109.893,109.893,109.893,0.000,109.893,109.893,109.893,109.893,1,µm^2,Surface,,,,,51,
Area,120.678,120.678,120.678,0.000,120.678,120.678,120.678,120.678,1,µm^2,Surface,,,,,52,
Area,129.514,129.514,129.514,0.000,129.514,129.514,129.514,129.514,1,µm^2,Surface,,,,,53,
Area,140.492,140.492,140.492,0.000,140.492,140.492,140.492,140.492,1,µm^2,Surface,,,,,54,
Area,148.352,148.352,148.352,0.000,148.352,148.352,148.352,148.352,1,µm^2,Surface,,,,,55,
Area,152.180,152.180,152.180,0.000,152.180,152.180,152.180,152.180,1,µm^2,Surface,,,,,56,
Area,151.503,151.503,151.503,0.000,151.503,151.503,151.503,151.503,1,µm^2,Surface,,,,,57,
Area,151.016,151.016,151.016,0.000,151.016,151.016,151.016,151.016,1,µm^2,Surface,,,,,58,
Area,155.656,155.656,155.656,0.000,155.656,155.656,155.656,155.656,1,µm^2,Surface,,,,,59,
Area,157.569,157.569,157.569,0.000,157.569,157.569,157.569,157.569,1,µm^2,Surface,,,,,60,
Area,158.421,158.421,158.421,0.000,158.421,158.421,158.421,158.421,1,µm^2,Surface,,,,,61,
Area,30.950,30.950,30.950,0.000,30.950,30.950,30.950,30.950,1,µm^2,Surface,,,,,62,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,38,
Class Duration,59.979,59.979,59.979,0.000,59.979,59.979,59.979,59.979,1,s,Surface,,Set 1::Class B,,,39,
Class Duration,59.979,59.979,59.979,0.000,59.979,59.979,59.979,59.979,1,s,Surface,,Set 1::Class B,,,40,
Class Duration,359.969,359.969,359.969,0.000,359.969,359.969,359.969,359.969,1,s,Surface,,Set 1::Class A,,,41,
Class Duration,359.969,359.969,359.969,0.000,359.969,359.969,359.969,359.969,1,s,Surface,,Set 1::Class A,,,42,
Class Duration,359.969,359.969,359.969,0.000,359.969,359.969,359.969,359.969,1,s,Surface,,Set 1::Class A,,,43,
Class Duration,359.969,359.969,359.969,0.000,359.969,359.969,359.969,359.969,1,s,Surface,,Set 1::Class A,,,44,
Class Duration,359.969,359.969,359.969,0.000,359.969,359.969,359.969,359.969,1,s,Surface,,Set 1::Class A,,,45,
Class Duration,359.969,359.969,359.969,0.000,359.969,359.969,359.969,359.969,1,s,Surface,,Set 1::Class A,,,46,
Class Duration,359.969,359.969,359.969,0.000,359.969,359.969,359.969,359.969,1,s,Surface,,Set 1::Class A,,,47,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,48,
Class Duration,59.960,59.960,59.960,0.000,59.960,59.960,59.960,59.960,1,s,Surface,,Set 1::Class A,,,49,
Class Duration,59.960,59.960,59.960,0.000,59.960,59.960,59.960,59.960,1,s,Surface,,Set 1::Class A,,,50,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,51,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,52,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,53,
Class Duration,60.011,60.011,60.011,0.000,60.011,60.011,60.011,60.011,1,s,Surface,,Set 1::Class A,,,54,
Class Duration,60.011,60.011,60.011,0.000,60.011,60.011,60.011,60.011,1,s,Surface,,Set 1::Class A,,,55,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,56,
Class Duration,240.027,240.027,240.027,0.000,240.027,240.027,240.027,240.027,1,s,Surface,,Set 1::Class A,,,57,
Class Duration,240.027,240.027,240.027,0.000,240.027,240.027,240.027,240.027,1,s,Surface,,Set 1::Class A,,,58,
Class Duration,240.027,240.027,240.027,0.000,240.027,240.027,240.027,240.027,1,s,Surface,,Set 1::Class A,,,59,
Class Duration,240.027,240.027,240.027,0.000,240.027,240.027,240.027,240.027,1,s,Surface,,Set 1::Class A,,,60,
Class Duration,240.027,240.027,240.027,0.000,240.027,240.027,240.027,240.027,1,s,Surface,,Set 1::Class A,,,61,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,62,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,38,
Displacement Delta Length,1.172,1.172,1.172,0.000,1.172,1.172,1.172,1.172,1,µm,Surface,,,,,39,
Displacement Delta Length,1.912,1.912,1.912,0.000,1.912,1.912,1.912,1.912,1,µm,Surface,,,,,40,
Displacement Delta Length,0.543,0.543,0.543,0.000,0.543,0.543,0.543,0.543,1,µm,Surface,,,,,41,
Displacement Delta Length,0.568,0.568,0.568,0.000,0.568,0.568,0.568,0.568,1,µm,Surface,,,,,42,
Displacement Delta Length,0.739,0.739,0.739,0.000,0.739,0.739,0.739,0.739,1,µm,Surface,,,,,43,
Displacement Delta Length,0.336,0.336,0.336,0.000,0.336,0.336,0.336,0.336,1,µm,Surface,,,,,44,
Displacement Delta Length,0.691,0.691,0.691,0.000,0.691,0.691,0.691,0.691,1,µm,Surface,,,,,45,
Displacement Delta Length,0.131,0.131,0.131,0.000,0.131,0.131,0.131,0.131,1,µm,Surface,,,,,46,
Displacement Delta Length,0.789,0.789,0.789,0.000,0.789,0.789,0.789,0.789,1,µm,Surface,,,,,47,
Displacement Delta Length,0.895,0.895,0.895,0.000,0.895,0.895,0.895,0.895,1,µm,Surface,,,,,48,
Displacement Delta Length,0.760,0.760,0.760,0.000,0.760,0.760,0.760,0.760,1,µm,Surface,,,,,49,
Displacement Delta Length,0.575,0.575,0.575,0.000,0.575,0.575,0.575,0.575,1,µm,Surface,,,,,50,
Displacement Delta Length,1.607,1.607,1.607,0.000,1.607,1.607,1.607,1.607,1,µm,Surface,,,,,51,
Displacement Delta Length,0.424,0.424,0.424,0.000,0.424,0.424,0.424,0.424,1,µm,Surface,,,,,52,
Displacement Delta Length,1.105,1.105,1.105,0.000,1.105,1.105,1.105,1.105,1,µm,Surface,,,,,53,
Displacement Delta Length,0.573,0.573,0.573,0.000,0.573,0.573,0.573,0.573,1,µm,Surface,,,,,54,
Displacement Delta Length,0.263,0.263,0.263,0.000,0.263,0.263,0.263,0.263,1,µm,Surface,,,,,55,
Displacement Delta Length,0.938,0.938,0.938,0.000,0.938,0.938,0.938,0.938,1,µm,Surface,,,,,56,
Displacement Delta Length,0.812,0.812,0.812,0.000,0.812,0.812,0.812,0.812,1,µm,Surface,,,,,57,
Displacement Delta Length,0.435,0.435,0.435,0.000,0.435,0.435,0.435,0.435,1,µm,Surface,,,,,58,
Displacement Delta Length,0.333,0.333,0.333,0.000,0.333,0.333,0.333,0.333,1,µm,Surface,,,,,59,
Displacement Delta Length,0.474,0.474,0.474,0.000,0.474,0.474,0.474,0.474,1,µm,Surface,,,,,60,
Displacement Delta Length,0.654,0.654,0.654,0.000,0.654,0.654,0.654,0.654,1,µm,Surface,,,,,61,
Displacement Delta Length,1.476,1.476,1.476,0.000,1.476,1.476,1.476,1.476,1,µm,Surface,,,,,62,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,38,
Displacement Delta X,0.747,0.747,0.747,0.000,0.747,0.747,0.747,0.747,1,µm,Surface,,,Displacement Delta,,39,
Displacement Delta X,0.781,0.781,0.781,0.000,0.781,0.781,0.781,0.781,1,µm,Surface,,,Displacement Delta,,40,
Displacement Delta X,-0.071,-0.071,-0.071,0.000,-0.071,-0.071,-0.071,-0.071,1,µm,Surface,,,Displacement Delta,,41,
Displacement Delta X,-0.476,-0.476,-0.476,0.000,-0.476,-0.476,-0.476,-0.476,1,µm,Surface,,,Displacement Delta,,42,
Displacement Delta X,-0.301,-0.301,-0.301,0.000,-0.301,-0.301,-0.301,-0.301,1,µm,Surface,,,Displacement Delta,,43,
Displacement Delta X,-0.213,-0.213,-0.213,0.000,-0.213,-0.213,-0.213,-0.213,1,µm,Surface,,,Displacement Delta,,44,
