
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,30.071,30.071,30.071,0.000,30.071,30.071,30.071,30.071,1,µm^2,Surface,,,,,1,
Area,83.091,83.091,83.091,0.000,83.091,83.091,83.091,83.091,1,µm^2,Surface,,,,,2,
Area,129.088,129.088,129.088,0.000,129.088,129.088,129.088,129.088,1,µm^2,Surface,,,,,3,
Area,161.715,161.715,161.715,0.000,161.715,161.715,161.715,161.715,1,µm^2,Surface,,,,,4,
Area,181.985,181.985,181.985,0.000,181.985,181.985,181.985,181.985,1,µm^2,Surface,,,,,5,
Area,200.080,200.080,200.080,0.000,200.080,200.080,200.080,200.080,1,µm^2,Surface,,,,,6,
Area,211.592,211.592,211.592,0.000,211.592,211.592,211.592,211.592,1,µm^2,Surface,,,,,7,
Area,210.754,210.754,210.754,0.000,210.754,210.754,210.754,210.754,1,µm^2,Surface,,,,,8,
Area,220.100,220.100,220.100,0.000,220.100,220.100,220.100,220.100,1,µm^2,Surface,,,,,9,
Area,223.265,223.265,223.265,0.000,223.265,223.265,223.265,223.265,1,µm^2,Surface,,,,,10,
Area,243.679,243.679,243.679,0.000,243.679,243.679,243.679,243.679,1,µm^2,Surface,,,,,11,
Area,258.654,258.654,258.654,0.000,258.654,258.654,258.654,258.654,1,µm^2,Surface,,,,,12,
Area,260.322,260.322,260.322,0.000,260.322,260.322,260.322,260.322,1,µm^2,Surface,,,,,13,
Area,269.952,269.952,269.952,0.000,269.952,269.952,269.952,269.952,1,µm^2,Surface,,,,,14,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,1.755,1.755,1.755,0.000,1.755,1.755,1.755,1.755,1,µm,Surface,,,,,2,
Displacement Delta Length,2.273,2.273,2.273,0.000,2.273,2.273,2.273,2.273,1,µm,Surface,,,,,3,
Displacement Delta Length,1.404,1.404,1.404,0.000,1.404,1.404,1.404,1.404,1,µm,Surface,,,,,4,
Displacement Delta Length,0.888,0.888,0.888,0.000,0.888,0.888,0.888,0.888,1,µm,Surface,,,,,5,
Displacement Delta Length,0.454,0.454,0.454,0.000,0.454,0.454,0.454,0.454,1,µm,Surface,,,,,6,
