
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,96.894,96.894,96.894,0.000,96.894,96.894,96.894,96.894,1,µm^2,Surface,,,,,42,
Area,104.338,104.338,104.338,0.000,104.338,104.338,104.338,104.338,1,µm^2,Surface,,,,,43,
Area,108.187,108.187,108.187,0.000,108.187,108.187,108.187,108.187,1,µm^2,Surface,,,,,44,
Area,116.735,116.735,116.735,0.000,116.735,116.735,116.735,116.735,1,µm^2,Surface,,,,,45,
Area,119.031,119.031,119.031,0.000,119.031,119.031,119.031,119.031,1,µm^2,Surface,,,,,46,
Area,122.355,122.355,122.355,0.000,122.355,122.355,122.355,122.355,1,µm^2,Surface,,,,,47,
Area,128.184,128.184,128.184,0.000,128.184,128.184,128.184,128.184,1,µm^2,Surface,,,,,48,
Area,130.457,130.457,130.457,0.000,130.457,130.457,130.457,130.457,1,µm^2,Surface,,,,,49,
Area,130.786,130.786,130.786,0.000,130.786,130.786,130.786,130.786,1,µm^2,Surface,,,,,50,
Area,133.814,133.814,133.814,0.000,133.814,133.814,133.814,133.814,1,µm^2,Surface,,,,,51,
Area,122.188,122.188,122.188,0.000,122.188,122.188,122.188,122.188,1,µm^2,Surface,,,,,52,
Area,113.135,113.135,113.135,0.000,113.135,113.135,113.135,113.135,1,µm^2,Surface,,,,,53,
Area,107.689,107.689,107.689,0.000,107.689,107.689,107.689,107.689,1,µm^2,Surface,,,,,54,
Area,85.668,85.668,85.668,0.000,85.668,85.668,85.668,85.668,1,µm^2,Surface,,,,,55,
Area,73.496,73.496,73.496,0.000,73.496,73.496,73.496,73.496,1,µm^2,Surface,,,,,56,
Area,86.459,86.459,86.459,0.000,86.459,86.459,86.459,86.459,1,µm^2,Surface,,,,,57,
Area,90.858,90.858,90.858,0.000,90.858,90.858,90.858,90.858,1,µm^2,Surface,,,,,58,
Area,96.389,96.389,96.389,0.000,96.389,96.389,96.389,96.389,1,µm^2,Surface,,,,,59,
Area,82.779,82.779,82.779,0.000,82.779,82.779,82.779,82.779,1,µm^2,Surface,,,,,60,
