
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,3.853,3.853,3.853,0.000,3.853,3.853,3.853,3.853,1,µm^2,Surface,,,,,31,
Area,99.481,99.481,99.481,0.000,99.481,99.481,99.481,99.481,1,µm^2,Surface,,,,,32,
Area,105.319,105.319,105.319,0.000,105.319,105.319,105.319,105.319,1,µm^2,Surface,,,,,33,
Area,117.337,117.337,117.337,0.000,117.337,117.337,117.337,117.337,1,µm^2,Surface,,,,,34,
Area,120.068,120.068,120.068,0.000,120.068,120.068,120.068,120.068,1,µm^2,Surface,,,,,35,
Area,128.870,128.870,128.870,0.000,128.870,128.870,128.870,128.870,1,µm^2,Surface,,,,,36,
Area,132.006,132.006,132.006,0.000,132.006,132.006,132.006,132.006,1,µm^2,Surface,,,,,37,
Area,140.517,140.517,140.517,0.000,140.517,140.517,140.517,140.517,1,µm^2,Surface,,,,,38,
Area,150.538,150.538,150.538,0.000,150.538,150.538,150.538,150.538,1,µm^2,Surface,,,,,39,
Area,155.567,155.567,155.567,0.000,155.567,155.567,155.567,155.567,1,µm^2,Surface,,,,,40,
Area,156.924,156.924,156.924,0.000,156.924,156.924,156.924,156.924,1,µm^2,Surface,,,,,41,
Area,158.931,158.931,158.931,0.000,158.931,158.931,158.931,158.931,1,µm^2,Surface,,,,,42,
Area,173.312,173.312,173.312,0.000,173.312,173.312,173.312,173.312,1,µm^2,Surface,,,,,43,
Area,184.174,184.174,184.174,0.000,184.174,184.174,184.174,184.174,1,µm^2,Surface,,,,,44,
Area,187.545,187.545,187.545,0.000,187.545,187.545,187.545,187.545,1,µm^2,Surface,,,,,45,
Area,190.991,190.991,190.991,0.000,190.991,190.991,190.991,190.991,1,µm^2,Surface,,,,,46,
Area,155.629,155.629,155.629,0.000,155.629,155.629,155.629,155.629,1,µm^2,Surface,,,,,47,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,31,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,32,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,33,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,34,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,35,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,36,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,37,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,38,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,39,
Class Duration,479.953,479.953,479.953,0.000,479.953,479.953,479.953,479.953,1,s,Surface,,Set 1::Class B,,,40,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,41,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,42,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,43,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,44,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,45,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,46,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,47,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,31,
Displacement Delta Length,1.740,1.740,1.740,0.000,1.740,1.740,1.740,1.740,1,µm,Surface,,,,,32,
Displacement Delta Length,1.720,1.720,1.720,0.000,1.720,1.720,1.720,1.720,1,µm,Surface,,,,,33,
Displacement Delta Length,1.417,1.417,1.417,0.000,1.417,1.417,1.417,1.417,1,µm,Surface,,,,,34,
Displacement Delta Length,1.404,1.404,1.404,0.000,1.404,1.404,1.404,1.404,1,µm,Surface,,,,,35,
Displacement Delta Length,1.073,1.073,1.073,0.000,1.073,1.073,1.073,1.073,1,µm,Surface,,,,,36,
Displacement Delta Length,0.867,0.867,0.867,0.000,0.867,0.867,0.867,0.867,1,µm,Surface,,,,,37,
Displacement Delta Length,0.983,0.983,0.983,0.000,0.983,0.983,0.983,0.983,1,µm,Surface,,,,,38,
Displacement Delta Length,0.947,0.947,0.947,0.000,0.947,0.947,0.947,0.947,1,µm,Surface,,,,,39,
Displacement Delta Length,1.424,1.424,1.424,0.000,1.424,1.424,1.424,1.424,1,µm,Surface,,,,,40,
Displacement Delta Length,0.266,0.266,0.266,0.000,0.266,0.266,0.266,0.266,1,µm,Surface,,,,,41,
Displacement Delta Length,0.476,0.476,0.476,0.000,0.476,0.476,0.476,0.476,1,µm,Surface,,,,,42,
Displacement Delta Length,0.384,0.384,0.384,0.000,0.384,0.384,0.384,0.384,1,µm,Surface,,,,,43,
Displacement Delta Length,0.727,0.727,0.727,0.000,0.727,0.727,0.727,0.727,1,µm,Surface,,,,,44,
Displacement Delta Length,0.275,0.275,0.275,0.000,0.275,0.275,0.275,0.275,1,µm,Surface,,,,,45,
Displacement Delta Length,0.433,0.433,0.433,0.000,0.433,0.433,0.433,0.433,1,µm,Surface,,,,,46,
Displacement Delta Length,1.296,1.296,1.296,0.000,1.296,1.296,1.296,1.296,1,µm,Surface,,,,,47,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,31,
Displacement Delta X,-0.480,-0.480,-0.480,0.000,-0.480,-0.480,-0.480,-0.480,1,µm,Surface,,,Displacement Delta,,32,
Displacement Delta X,-0.818,-0.818,-0.818,0.000,-0.818,-0.818,-0.818,-0.818,1,µm,Surface,,,Displacement Delta,,33,
Displacement Delta X,0.408,0.408,0.408,0.000,0.408,0.408,0.408,0.408,1,µm,Surface,,,Displacement Delta,,34,
Displacement Delta X,-0.018,-0.018,-0.018,0.000,-0.018,-0.018,-0.018,-0.018,1,µm,Surface,,,Displacement Delta,,35,
Displacement Delta X,0.264,0.264,0.264,0.000,0.264,0.264,0.264,0.264,1,µm,Surface,,,Displacement Delta,,36,
Displacement Delta X,0.371,0.371,0.371,0.000,0.371,0.371,0.371,0.371,1,µm,Surface,,,Displacement Delta,,37,
Displacement Delta X,0.067,0.067,0.067,0.000,0.067,0.067,0.067,0.067,1,µm,Surface,,,Displacement Delta,,38,
Displacement Delta X,-0.720,-0.720,-0.720,0.000,-0.720,-0.720,-0.720,-0.720,1,µm,Surface,,,Displacement Delta,,39,
Displacement Delta X,-0.023,-0.023,-0.023,0.000,-0.023,-0.023,-0.023,-0.023,1,µm,Surface,,,Displacement Delta,,40,
Displacement Delta X,-0.242,-0.242,-0.242,0.000,-0.242,-0.242,-0.242,-0.242,1,µm,Surface,,,Displacement Delta,,41,
Displacement Delta X,0.276,0.276,0.276,0.000,0.276,0.276,0.276,0.276,1,µm,Surface,,,Displacement Delta,,42,
Displacement Delta X,-0.362,-0.362,-0.362,0.000,-0.362,-0.362,-0.362,-0.362,1,µm,Surface,,,Displacement Delta,,43,
Displacement Delta X,0.713,0.713,0.713,0.000,0.713,0.713,0.713,0.713,1,µm,Surface,,,Displacement Delta,,44,
Displacement Delta X,-0.036,-0.036,-0.036,0.000,-0.036,-0.036,-0.036,-0.036,1,µm,Surface,,,Displacement Delta,,45,
Displacement Delta X,0.219,0.219,0.219,0.000,0.219,0.219,0.219,0.219,1,µm,Surface,,,Displacement Delta,,46,
Displacement Delta X,-0.472,-0.472,-0.472,0.000,-0.472,-0.472,-0.472,-0.472,1,µm,Surface,,,Displacement Delta,,47,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,31,
Displacement Delta Y,-0.006,-0.006,-0.006,0.000,-0.006,-0.006,-0.006,-0.006,1,µm,Surface,,,Displacement Delta,,32,
Displacement Delta Y,-0.287,-0.287,-0.287,0.000,-0.287,-0.287,-0.287,-0.287,1,µm,Surface,,,Displacement Delta,,33,
Displacement Delta Y,-0.440,-0.440,-0.440,0.000,-0.440,-0.440,-0.440,-0.440,1,µm,Surface,,,Displacement Delta,,34,
Displacement Delta Y,-0.628,-0.628,-0.628,0.000,-0.628,-0.628,-0.628,-0.628,1,µm,Surface,,,Displacement Delta,,35,
Displacement Delta Y,0.692,0.692,0.692,0.000,0.692,0.692,0.692,0.692,1,µm,Surface,,,Displacement Delta,,36,
Displacement Delta Y,-0.391,-0.391,-0.391,0.000,-0.391,-0.391,-0.391,-0.391,1,µm,Surface,,,Displacement Delta,,37,
Displacement Delta Y,-0.160,-0.160,-0.160,0.000,-0.160,-0.160,-0.160,-0.160,1,µm,Surface,,,Displacement Delta,,38,
Displacement Delta Y,-0.614,-0.614,-0.614,0.000,-0.614,-0.614,-0.614,-0.614,1,µm,Surface,,,Displacement Delta,,39,
Displacement Delta Y,-0.986,-0.986,-0.986,0.000,-0.986,-0.986,-0.986,-0.986,1,µm,Surface,,,Displacement Delta,,40,
Displacement Delta Y,0.111,0.111,0.111,0.000,0.111,0.111,0.111,0.111,1,µm,Surface,,,Displacement Delta,,41,
Displacement Delta Y,0.186,0.186,0.186,0.000,0.186,0.186,0.186,0.186,1,µm,Surface,,,Displacement Delta,,42,
Displacement Delta Y,0.039,0.039,0.039,0.000,0.039,0.039,0.039,0.039,1,µm,Surface,,,Displacement Delta,,43,
