
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,89.995,89.995,89.995,0.000,89.995,89.995,89.995,89.995,1,µm^2,Surface,,,,,31,
Area,97.555,97.555,97.555,0.000,97.555,97.555,97.555,97.555,1,µm^2,Surface,,,,,32,
Area,116.046,116.046,116.046,0.000,116.046,116.046,116.046,116.046,1,µm^2,Surface,,,,,33,
Area,124.544,124.544,124.544,0.000,124.544,124.544,124.544,124.544,1,µm^2,Surface,,,,,34,
Area,132.422,132.422,132.422,0.000,132.422,132.422,132.422,132.422,1,µm^2,Surface,,,,,35,
Area,138.195,138.195,138.195,0.000,138.195,138.195,138.195,138.195,1,µm^2,Surface,,,,,36,
Area,137.939,137.939,137.939,0.000,137.939,137.939,137.939,137.939,1,µm^2,Surface,,,,,37,
Area,139.707,139.707,139.707,0.000,139.707,139.707,139.707,139.707,1,µm^2,Surface,,,,,38,
Area,158.134,158.134,158.134,0.000,158.134,158.134,158.134,158.134,1,µm^2,Surface,,,,,39,
Area,150.345,150.345,150.345,0.000,150.345,150.345,150.345,150.345,1,µm^2,Surface,,,,,40,
Area,147.537,147.537,147.537,0.000,147.537,147.537,147.537,147.537,1,µm^2,Surface,,,,,41,
Area,155.441,155.441,155.441,0.000,155.441,155.441,155.441,155.441,1,µm^2,Surface,,,,,42,
Area,172.811,172.811,172.811,0.000,172.811,172.811,172.811,172.811,1,µm^2,Surface,,,,,43,
Area,184.337,184.337,184.337,0.000,184.337,184.337,184.337,184.337,1,µm^2,Surface,,,,,44,
Area,190.964,190.964,190.964,0.000,190.964,190.964,190.964,190.964,1,µm^2,Surface,,,,,45,
Area,186.900,186.900,186.900,0.000,186.900,186.900,186.900,186.900,1,µm^2,Surface,,,,,46,
Area,83.783,83.783,83.783,0.000,83.783,83.783,83.783,83.783,1,µm^2,Surface,,,,,47,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,31,
Class Duration,179.958,179.958,179.958,0.000,179.958,179.958,179.958,179.958,1,s,Surface,,Set 1::Class B,,,32,
Class Duration,179.958,179.958,179.958,0.000,179.958,179.958,179.958,179.958,1,s,Surface,,Set 1::Class B,,,33,
Class Duration,179.958,179.958,179.958,0.000,179.958,179.958,179.958,179.958,1,s,Surface,,Set 1::Class B,,,34,
Class Duration,179.958,179.958,179.958,0.000,179.958,179.958,179.958,179.958,1,s,Surface,,Set 1::Class B,,,35,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,36,
Class Duration,179.978,179.978,179.978,0.000,179.978,179.978,179.978,179.978,1,s,Surface,,Set 1::Class B,,,37,
Class Duration,179.978,179.978,179.978,0.000,179.978,179.978,179.978,179.978,1,s,Surface,,Set 1::Class B,,,38,
Class Duration,179.978,179.978,179.978,0.000,179.978,179.978,179.978,179.978,1,s,Surface,,Set 1::Class B,,,39,
Class Duration,179.978,179.978,179.978,0.000,179.978,179.978,179.978,179.978,1,s,Surface,,Set 1::Class B,,,40,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,41,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,42,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,43,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,44,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,45,
Class Duration,300.031,300.031,300.031,0.000,300.031,300.031,300.031,300.031,1,s,Surface,,Set 1::Class A,,,46,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,47,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,31,
Displacement Delta Length,1.513,1.513,1.513,0.000,1.513,1.513,1.513,1.513,1,µm,Surface,,,,,32,
Displacement Delta Length,1.074,1.074,1.074,0.000,1.074,1.074,1.074,1.074,1,µm,Surface,,,,,33,
Displacement Delta Length,1.181,1.181,1.181,0.000,1.181,1.181,1.181,1.181,1,µm,Surface,,,,,34,
Displacement Delta Length,1.542,1.542,1.542,0.000,1.542,1.542,1.542,1.542,1,µm,Surface,,,,,35,
Displacement Delta Length,0.729,0.729,0.729,0.000,0.729,0.729,0.729,0.729,1,µm,Surface,,,,,36,
Displacement Delta Length,1.028,1.028,1.028,0.000,1.028,1.028,1.028,1.028,1,µm,Surface,,,,,37,
Displacement Delta Length,1.327,1.327,1.327,0.000,1.327,1.327,1.327,1.327,1,µm,Surface,,,,,38,
Displacement Delta Length,1.056,1.056,1.056,0.000,1.056,1.056,1.056,1.056,1,µm,Surface,,,,,39,
Displacement Delta Length,0.954,0.954,0.954,0.000,0.954,0.954,0.954,0.954,1,µm,Surface,,,,,40,
Displacement Delta Length,0.831,0.831,0.831,0.000,0.831,0.831,0.831,0.831,1,µm,Surface,,,,,41,
Displacement Delta Length,0.680,0.680,0.680,0.000,0.680,0.680,0.680,0.680,1,µm,Surface,,,,,42,
Displacement Delta Length,0.587,0.587,0.587,0.000,0.587,0.587,0.587,0.587,1,µm,Surface,,,,,43,
Displacement Delta Length,0.167,0.167,0.167,0.000,0.167,0.167,0.167,0.167,1,µm,Surface,,,,,44,
Displacement Delta Length,0.580,0.580,0.580,0.000,0.580,0.580,0.580,0.580,1,µm,Surface,,,,,45,
Displacement Delta Length,0.216,0.216,0.216,0.000,0.216,0.216,0.216,0.216,1,µm,Surface,,,,,46,
