nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
AB,Intensity Max,271.0,271.0,271.0,0.0,271.0,271.0,271.0,271.0,1,,Surface,1.0,,Image 1,,1.0,
AB,Intensity Max,276.0,276.0,276.0,0.0,276.0,276.0,276.0,276.0,1,,Surface,1.0,,Image 1,,2.0,
AB,Intensity Max,383.0,383.0,383.0,0.0,383.0,383.0,383.0,383.0,1,,Surface,1.0,,Image 1,,3.0,
P1,Intensity Max,376.0,376.0,376.0,0.0,376.0,376.0,376.0,376.0,1,,Surface,1.0,,Image 1,,1.0,
P1,Intensity Max,343.0,343.0,343.0,0.0,343.0,343.0,343.0,343.0,1,,Surface,1.0,,Image 1,,2.0,
P1,Intensity Max,314.0,314.0,314.0,0.0,314.0,314.0,314.0,314.0,1,,Surface,1.0,,Image 1,,3.0,
P1,Intensity Max,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,1,,Surface,1.0,,Image 1,,4.0,
P1,Intensity Max,272.0,272.0,272.0,0.0,272.0,272.0,272.0,272.0,1,,Surface,1.0,,Image 1,,5.0,
ABa,Intensity Max,295.0,295.0,295.0,0.0,295.0,295.0,295.0,295.0,1,,Surface,1.0,,Image 1,,8.0,
ABa,Intensity Max,286.0,286.0,286.0,0.0,286.0,286.0,286.0,286.0,1,,Surface,1.0,,Image 1,,9.0,
ABa,Intensity Max,278.0,278.0,278.0,0.0,278.0,278.0,278.0,278.0,1,,Surface,1.0,,Image 1,,10.0,
ABa,Intensity Max,265.0,265.0,265.0,0.0,265.0,265.0,265.0,265.0,1,,Surface,1.0,,Image 1,,11.0,
ABa,Intensity Max,515.0,515.0,515.0,0.0,515.0,515.0,515.0,515.0,1,,Surface,1.0,,Image 1,,12.0,
ABa,Intensity Max,463.0,463.0,463.0,0.0,463.0,463.0,463.0,463.0,1,,Surface,1.0,,Image 1,,13.0,
ABa,Intensity Max,248.0,248.0,248.0,0.0,248.0,248.0,248.0,248.0,1,,Surface,1.0,,Image 1,,14.0,
ABa,Intensity Max,278.0,278.0,278.0,0.0,278.0,278.0,278.0,278.0,1,,Surface,1.0,,Image 1,,15.0,
ABa,Intensity Max,277.0,277.0,277.0,0.0,277.0,277.0,277.0,277.0,1,,Surface,1.0,,Image 1,,16.0,
ABa,Intensity Max,295.0,295.0,295.0,0.0,295.0,295.0,295.0,295.0,1,,Surface,1.0,,Image 1,,17.0,
ABa,Intensity Max,230.0,230.0,230.0,0.0,230.0,230.0,230.0,230.0,1,,Surface,1.0,,Image 1,,18.0,
ABp,Intensity Max,321.0,321.0,321.0,0.0,321.0,321.0,321.0,321.0,1,,Surface,1.0,,Image 1,,8.0,
ABp,Intensity Max,321.0,321.0,321.0,0.0,321.0,321.0,321.0,321.0,1,,Surface,1.0,,Image 1,,9.0,
ABp,Intensity Max,322.0,322.0,322.0,0.0,322.0,322.0,322.0,322.0,1,,Surface,1.0,,Image 1,,10.0,
ABp,Intensity Max,316.0,316.0,316.0,0.0,316.0,316.0,316.0,316.0,1,,Surface,1.0,,Image 1,,11.0,
ABp,Intensity Max,296.0,296.0,296.0,0.0,296.0,296.0,296.0,296.0,1,,Surface,1.0,,Image 1,,12.0,
ABp,Intensity Max,444.0,444.0,444.0,0.0,444.0,444.0,444.0,444.0,1,,Surface,1.0,,Image 1,,13.0,
ABp,Intensity Max,299.0,299.0,299.0,0.0,299.0,299.0,299.0,299.0,1,,Surface,1.0,,Image 1,,14.0,
ABp,Intensity Max,283.0,283.0,283.0,0.0,283.0,283.0,283.0,283.0,1,,Surface,1.0,,Image 1,,15.0,
ABp,Intensity Max,287.0,287.0,287.0,0.0,287.0,287.0,287.0,287.0,1,,Surface,1.0,,Image 1,,16.0,
ABp,Intensity Max,263.0,263.0,263.0,0.0,263.0,263.0,263.0,263.0,1,,Surface,1.0,,Image 1,,17.0,
ABp,Intensity Max,262.0,262.0,262.0,0.0,262.0,262.0,262.0,262.0,1,,Surface,1.0,,Image 1,,18.0,
EMS,Intensity Max,347.0,347.0,347.0,0.0,347.0,347.0,347.0,347.0,1,,Surface,1.0,,Image 1,,10.0,
