
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,264.785,264.785,264.785,0.000,264.785,264.785,264.785,264.785,1,µm^2,Surface,,,,,1,
Area,337.262,337.262,337.262,0.000,337.262,337.262,337.262,337.262,1,µm^2,Surface,,,,,2,
Area,364.167,364.167,364.167,0.000,364.167,364.167,364.167,364.167,1,µm^2,Surface,,,,,3,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,2.626,2.626,2.626,0.000,2.626,2.626,2.626,2.626,1,µm,Surface,,,,,2,
Displacement Delta Length,0.792,0.792,0.792,0.000,0.792,0.792,0.792,0.792,1,µm,Surface,,,,,3,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta X,1.451,1.451,1.451,0.000,1.451,1.451,1.451,1.451,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta X,0.425,0.425,0.425,0.000,0.425,0.425,0.425,0.425,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Y,-2.036,-2.036,-2.036,0.000,-2.036,-2.036,-2.036,-2.036,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Y,-0.319,-0.319,-0.319,0.000,-0.319,-0.319,-0.319,-0.319,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Z,0.804,0.804,0.804,0.000,0.804,0.804,0.804,0.804,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Z,-0.588,-0.588,-0.588,0.000,-0.588,-0.588,-0.588,-0.588,1,µm,Surface,,Displacement Delta,,,3,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
