
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,274.708,274.708,274.708,0.000,274.708,274.708,274.708,274.708,1,µm^2,Surface,,,,,16,
Area,249.013,249.013,249.013,0.000,249.013,249.013,249.013,249.013,1,µm^2,Surface,,,,,17,
Area,370.086,370.086,370.086,0.000,370.086,370.086,370.086,370.086,1,µm^2,Surface,,,,,18,
Area,74.986,74.986,74.986,0.000,74.986,74.986,74.986,74.986,1,µm^2,Surface,,,,,21,
Area,115.944,115.944,115.944,0.000,115.944,115.944,115.944,115.944,1,µm^2,Surface,,,,,22,
Area,135.761,135.761,135.761,0.000,135.761,135.761,135.761,135.761,1,µm^2,Surface,,,,,23,
Area,157.284,157.284,157.284,0.000,157.284,157.284,157.284,157.284,1,µm^2,Surface,,,,,24,
Area,199.120,199.120,199.120,0.000,199.120,199.120,199.120,199.120,1,µm^2,Surface,,,,,25,
Area,187.301,187.301,187.301,0.000,187.301,187.301,187.301,187.301,1,µm^2,Surface,,,,,26,
Area,182.224,182.224,182.224,0.000,182.224,182.224,182.224,182.224,1,µm^2,Surface,,,,,27,
Area,185.733,185.733,185.733,0.000,185.733,185.733,185.733,185.733,1,µm^2,Surface,,,,,28,
Area,199.273,199.273,199.273,0.000,199.273,199.273,199.273,199.273,1,µm^2,Surface,,,,,29,
Area,217.006,217.006,217.006,0.000,217.006,217.006,217.006,217.006,1,µm^2,Surface,,,,,30,
Area,225.066,225.066,225.066,0.000,225.066,225.066,225.066,225.066,1,µm^2,Surface,,,,,31,
Area,237.711,237.711,237.711,0.000,237.711,237.711,237.711,237.711,1,µm^2,Surface,,,,,32,
Area,231.744,231.744,231.744,0.000,231.744,231.744,231.744,231.744,1,µm^2,Surface,,,,,33,
Area,237.685,237.685,237.685,0.000,237.685,237.685,237.685,237.685,1,µm^2,Surface,,,,,34,
Area,215.331,215.331,215.331,0.000,215.331,215.331,215.331,215.331,1,µm^2,Surface,,,,,35,
Area,209.654,209.654,209.654,0.000,209.654,209.654,209.654,209.654,1,µm^2,Surface,,,,,36,
