
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,94.159,94.159,94.159,0.000,94.159,94.159,94.159,94.159,1,µm^2,Surface,,,,,8,
Area,123.162,123.162,123.162,0.000,123.162,123.162,123.162,123.162,1,µm^2,Surface,,,,,9,
Area,148.246,148.246,148.246,0.000,148.246,148.246,148.246,148.246,1,µm^2,Surface,,,,,10,
Area,164.283,164.283,164.283,0.000,164.283,164.283,164.283,164.283,1,µm^2,Surface,,,,,11,
Area,177.973,177.973,177.973,0.000,177.973,177.973,177.973,177.973,1,µm^2,Surface,,,,,12,
Area,188.057,188.057,188.057,0.000,188.057,188.057,188.057,188.057,1,µm^2,Surface,,,,,13,
Area,196.780,196.780,196.780,0.000,196.780,196.780,196.780,196.780,1,µm^2,Surface,,,,,14,
Area,199.906,199.906,199.906,0.000,199.906,199.906,199.906,199.906,1,µm^2,Surface,,,,,15,
Area,194.590,194.590,194.590,0.000,194.590,194.590,194.590,194.590,1,µm^2,Surface,,,,,16,
Area,199.923,199.923,199.923,0.000,199.923,199.923,199.923,199.923,1,µm^2,Surface,,,,,17,
Area,73.217,73.217,73.217,0.000,73.217,73.217,73.217,73.217,1,µm^2,Surface,,,,,18,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,8,
Displacement Delta Length,1.227,1.227,1.227,0.000,1.227,1.227,1.227,1.227,1,µm,Surface,,,,,9,
Displacement Delta Length,0.534,0.534,0.534,0.000,0.534,0.534,0.534,0.534,1,µm,Surface,,,,,10,
Displacement Delta Length,0.444,0.444,0.444,0.000,0.444,0.444,0.444,0.444,1,µm,Surface,,,,,11,
Displacement Delta Length,1.555,1.555,1.555,0.000,1.555,1.555,1.555,1.555,1,µm,Surface,,,,,12,
Displacement Delta Length,2.014,2.014,2.014,0.000,2.014,2.014,2.014,2.014,1,µm,Surface,,,,,13,
Displacement Delta Length,1.231,1.231,1.231,0.000,1.231,1.231,1.231,1.231,1,µm,Surface,,,,,14,
Displacement Delta Length,1.254,1.254,1.254,0.000,1.254,1.254,1.254,1.254,1,µm,Surface,,,,,15,
Displacement Delta Length,1.294,1.294,1.294,0.000,1.294,1.294,1.294,1.294,1,µm,Surface,,,,,16,
Displacement Delta Length,0.424,0.424,0.424,0.000,0.424,0.424,0.424,0.424,1,µm,Surface,,,,,17,
