
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,35.819,35.819,35.819,0.000,35.819,35.819,35.819,35.819,1,µm^2,Surface,,,,,22,
Area,75.532,75.532,75.532,0.000,75.532,75.532,75.532,75.532,1,µm^2,Surface,,,,,23,
Area,93.056,93.056,93.056,0.000,93.056,93.056,93.056,93.056,1,µm^2,Surface,,,,,24,
Area,86.268,86.268,86.268,0.000,86.268,86.268,86.268,86.268,1,µm^2,Surface,,,,,25,
Area,76.792,76.792,76.792,0.000,76.792,76.792,76.792,76.792,1,µm^2,Surface,,,,,26,
Area,62.112,62.112,62.112,0.000,62.112,62.112,62.112,62.112,1,µm^2,Surface,,,,,27,
Area,22.999,22.999,22.999,0.000,22.999,22.999,22.999,22.999,1,µm^2,Surface,,,,,28,
Area,58.541,58.541,58.541,0.000,58.541,58.541,58.541,58.541,1,µm^2,Surface,,,,,29,
Area,62.877,62.877,62.877,0.000,62.877,62.877,62.877,62.877,1,µm^2,Surface,,,,,30,
Area,44.617,44.617,44.617,0.000,44.617,44.617,44.617,44.617,1,µm^2,Surface,,,,,31,
Area,13.183,13.183,13.183,0.000,13.183,13.183,13.183,13.183,1,µm^2,Surface,,,,,32,
Area,39.720,39.720,39.720,0.000,39.720,39.720,39.720,39.720,1,µm^2,Surface,,,,,33,
Area,63.382,63.382,63.382,0.000,63.382,63.382,63.382,63.382,1,µm^2,Surface,,,,,34,
Area,83.737,83.737,83.737,0.000,83.737,83.737,83.737,83.737,1,µm^2,Surface,,,,,35,
Area,95.351,95.351,95.351,0.000,95.351,95.351,95.351,95.351,1,µm^2,Surface,,,,,36,
Area,85.212,85.212,85.212,0.000,85.212,85.212,85.212,85.212,1,µm^2,Surface,,,,,37,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,22,
Displacement Delta Length,1.485,1.485,1.485,0.000,1.485,1.485,1.485,1.485,1,µm,Surface,,,,,23,
Displacement Delta Length,1.003,1.003,1.003,0.000,1.003,1.003,1.003,1.003,1,µm,Surface,,,,,24,
Displacement Delta Length,0.883,0.883,0.883,0.000,0.883,0.883,0.883,0.883,1,µm,Surface,,,,,25,
Displacement Delta Length,1.226,1.226,1.226,0.000,1.226,1.226,1.226,1.226,1,µm,Surface,,,,,26,
Displacement Delta Length,1.087,1.087,1.087,0.000,1.087,1.087,1.087,1.087,1,µm,Surface,,,,,27,
Displacement Delta Length,1.402,1.402,1.402,0.000,1.402,1.402,1.402,1.402,1,µm,Surface,,,,,28,
Displacement Delta Length,0.728,0.728,0.728,0.000,0.728,0.728,0.728,0.728,1,µm,Surface,,,,,29,
Displacement Delta Length,1.738,1.738,1.738,0.000,1.738,1.738,1.738,1.738,1,µm,Surface,,,,,30,
Displacement Delta Length,1.920,1.920,1.920,0.000,1.920,1.920,1.920,1.920,1,µm,Surface,,,,,31,
Displacement Delta Length,1.832,1.832,1.832,0.000,1.832,1.832,1.832,1.832,1,µm,Surface,,,,,32,
Displacement Delta Length,2.936,2.936,2.936,0.000,2.936,2.936,2.936,2.936,1,µm,Surface,,,,,33,
Displacement Delta Length,1.933,1.933,1.933,0.000,1.933,1.933,1.933,1.933,1,µm,Surface,,,,,34,
