
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,74.423,74.423,74.423,0.000,74.423,74.423,74.423,74.423,1,µm^2,Surface,,,,,22,
Area,92.510,92.510,92.510,0.000,92.510,92.510,92.510,92.510,1,µm^2,Surface,,,,,23,
Area,97.486,97.486,97.486,0.000,97.486,97.486,97.486,97.486,1,µm^2,Surface,,,,,24,
Area,118.511,118.511,118.511,0.000,118.511,118.511,118.511,118.511,1,µm^2,Surface,,,,,25,
Area,127.592,127.592,127.592,0.000,127.592,127.592,127.592,127.592,1,µm^2,Surface,,,,,26,
Area,137.801,137.801,137.801,0.000,137.801,137.801,137.801,137.801,1,µm^2,Surface,,,,,27,
Area,164.059,164.059,164.059,0.000,164.059,164.059,164.059,164.059,1,µm^2,Surface,,,,,28,
Area,185.704,185.704,185.704,0.000,185.704,185.704,185.704,185.704,1,µm^2,Surface,,,,,29,
Area,204.677,204.677,204.677,0.000,204.677,204.677,204.677,204.677,1,µm^2,Surface,,,,,30,
Area,220.727,220.727,220.727,0.000,220.727,220.727,220.727,220.727,1,µm^2,Surface,,,,,31,
Area,222.282,222.282,222.282,0.000,222.282,222.282,222.282,222.282,1,µm^2,Surface,,,,,32,
Area,201.609,201.609,201.609,0.000,201.609,201.609,201.609,201.609,1,µm^2,Surface,,,,,33,
Area,225.043,225.043,225.043,0.000,225.043,225.043,225.043,225.043,1,µm^2,Surface,,,,,34,
Area,237.879,237.879,237.879,0.000,237.879,237.879,237.879,237.879,1,µm^2,Surface,,,,,35,
Area,239.757,239.757,239.757,0.000,239.757,239.757,239.757,239.757,1,µm^2,Surface,,,,,36,
Area,277.497,277.497,277.497,0.000,277.497,277.497,277.497,277.497,1,µm^2,Surface,,,,,37,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,22,
Displacement Delta Length,0.958,0.958,0.958,0.000,0.958,0.958,0.958,0.958,1,µm,Surface,,,,,23,
Displacement Delta Length,0.378,0.378,0.378,0.000,0.378,0.378,0.378,0.378,1,µm,Surface,,,,,24,
Displacement Delta Length,1.301,1.301,1.301,0.000,1.301,1.301,1.301,1.301,1,µm,Surface,,,,,25,
Displacement Delta Length,1.518,1.518,1.518,0.000,1.518,1.518,1.518,1.518,1,µm,Surface,,,,,26,
Displacement Delta Length,1.423,1.423,1.423,0.000,1.423,1.423,1.423,1.423,1,µm,Surface,,,,,27,
Displacement Delta Length,1.565,1.565,1.565,0.000,1.565,1.565,1.565,1.565,1,µm,Surface,,,,,28,
Displacement Delta Length,1.198,1.198,1.198,0.000,1.198,1.198,1.198,1.198,1,µm,Surface,,,,,29,
