
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,3.528,3.528,3.528,0.000,3.528,3.528,3.528,3.528,1,µm^2,Surface,,,,,33,
Area,16.281,16.281,16.281,0.000,16.281,16.281,16.281,16.281,1,µm^2,Surface,,,,,34,
Area,29.347,29.347,29.347,0.000,29.347,29.347,29.347,29.347,1,µm^2,Surface,,,,,35,
Area,41.020,41.020,41.020,0.000,41.020,41.020,41.020,41.020,1,µm^2,Surface,,,,,36,
Area,30.086,30.086,30.086,0.000,30.086,30.086,30.086,30.086,1,µm^2,Surface,,,,,37,
Area,79.549,79.549,79.549,0.000,79.549,79.549,79.549,79.549,1,µm^2,Surface,,,,,38,
Area,85.854,85.854,85.854,0.000,85.854,85.854,85.854,85.854,1,µm^2,Surface,,,,,39,
Area,79.116,79.116,79.116,0.000,79.116,79.116,79.116,79.116,1,µm^2,Surface,,,,,40,
Area,34.622,34.622,34.622,0.000,34.622,34.622,34.622,34.622,1,µm^2,Surface,,,,,41,
Area,32.383,32.383,32.383,0.000,32.383,32.383,32.383,32.383,1,µm^2,Surface,,,,,42,
Area,6.445,6.445,6.445,0.000,6.445,6.445,6.445,6.445,1,µm^2,Surface,,,,,43,
Area,5.424,5.424,5.424,0.000,5.424,5.424,5.424,5.424,1,µm^2,Surface,,,,,44,
Area,5.302,5.302,5.302,0.000,5.302,5.302,5.302,5.302,1,µm^2,Surface,,,,,45,
Area,9.355,9.355,9.355,0.000,9.355,9.355,9.355,9.355,1,µm^2,Surface,,,,,46,
Area,3.697,3.697,3.697,0.000,3.697,3.697,3.697,3.697,1,µm^2,Surface,,,,,47,
Area,1.091,1.091,1.091,0.000,1.091,1.091,1.091,1.091,1,µm^2,Surface,,,,,48,
Area,2.361,2.361,2.361,0.000,2.361,2.361,2.361,2.361,1,µm^2,Surface,,,,,49,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,33,
Displacement Delta Length,1.364,1.364,1.364,0.000,1.364,1.364,1.364,1.364,1,µm,Surface,,,,,34,
Displacement Delta Length,1.423,1.423,1.423,0.000,1.423,1.423,1.423,1.423,1,µm,Surface,,,,,35,
Displacement Delta Length,1.419,1.419,1.419,0.000,1.419,1.419,1.419,1.419,1,µm,Surface,,,,,36,
Displacement Delta Length,1.072,1.072,1.072,0.000,1.072,1.072,1.072,1.072,1,µm,Surface,,,,,37,
Displacement Delta Length,0.808,0.808,0.808,0.000,0.808,0.808,0.808,0.808,1,µm,Surface,,,,,38,
Displacement Delta Length,0.678,0.678,0.678,0.000,0.678,0.678,0.678,0.678,1,µm,Surface,,,,,39,
Displacement Delta Length,0.730,0.730,0.730,0.000,0.730,0.730,0.730,0.730,1,µm,Surface,,,,,40,
Displacement Delta Length,1.747,1.747,1.747,0.000,1.747,1.747,1.747,1.747,1,µm,Surface,,,,,41,
Displacement Delta Length,1.822,1.822,1.822,0.000,1.822,1.822,1.822,1.822,1,µm,Surface,,,,,42,
Displacement Delta Length,0.777,0.777,0.777,0.000,0.777,0.777,0.777,0.777,1,µm,Surface,,,,,43,
Displacement Delta Length,0.736,0.736,0.736,0.000,0.736,0.736,0.736,0.736,1,µm,Surface,,,,,44,
Displacement Delta Length,0.367,0.367,0.367,0.000,0.367,0.367,0.367,0.367,1,µm,Surface,,,,,45,
Displacement Delta Length,0.788,0.788,0.788,0.000,0.788,0.788,0.788,0.788,1,µm,Surface,,,,,46,
Displacement Delta Length,1.186,1.186,1.186,0.000,1.186,1.186,1.186,1.186,1,µm,Surface,,,,,47,
Displacement Delta Length,0.712,0.712,0.712,0.000,0.712,0.712,0.712,0.712,1,µm,Surface,,,,,48,
Displacement Delta Length,0.464,0.464,0.464,0.000,0.464,0.464,0.464,0.464,1,µm,Surface,,,,,49,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,1.073,1.073,1.073,0.000,1.073,1.073,1.073,1.073,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,1.396,1.396,1.396,0.000,1.396,1.396,1.396,1.396,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,1.051,1.051,1.051,0.000,1.051,1.051,1.051,1.051,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,0.652,0.652,0.652,0.000,0.652,0.652,0.652,0.652,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,0.294,0.294,0.294,0.000,0.294,0.294,0.294,0.294,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta X,0.480,0.480,0.480,0.000,0.480,0.480,0.480,0.480,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta X,0.432,0.432,0.432,0.000,0.432,0.432,0.432,0.432,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta X,-1.348,-1.348,-1.348,0.000,-1.348,-1.348,-1.348,-1.348,1,µm,Surface,,Displacement Delta,,,41,
Displacement Delta X,-1.819,-1.819,-1.819,0.000,-1.819,-1.819,-1.819,-1.819,1,µm,Surface,,Displacement Delta,,,42,
Displacement Delta X,0.382,0.382,0.382,0.000,0.382,0.382,0.382,0.382,1,µm,Surface,,Displacement Delta,,,43,
Displacement Delta X,0.558,0.558,0.558,0.000,0.558,0.558,0.558,0.558,1,µm,Surface,,Displacement Delta,,,44,
Displacement Delta X,-0.165,-0.165,-0.165,0.000,-0.165,-0.165,-0.165,-0.165,1,µm,Surface,,Displacement Delta,,,45,
Displacement Delta X,-0.755,-0.755,-0.755,0.000,-0.755,-0.755,-0.755,-0.755,1,µm,Surface,,Displacement Delta,,,46,
Displacement Delta X,-0.675,-0.675,-0.675,0.000,-0.675,-0.675,-0.675,-0.675,1,µm,Surface,,Displacement Delta,,,47,
Displacement Delta X,-0.712,-0.712,-0.712,0.000,-0.712,-0.712,-0.712,-0.712,1,µm,Surface,,Displacement Delta,,,48,
Displacement Delta X,-0.020,-0.020,-0.020,0.000,-0.020,-0.020,-0.020,-0.020,1,µm,Surface,,Displacement Delta,,,49,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,-0.619,-0.619,-0.619,0.000,-0.619,-0.619,-0.619,-0.619,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Y,-0.181,-0.181,-0.181,0.000,-0.181,-0.181,-0.181,-0.181,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Y,-0.936,-0.936,-0.936,0.000,-0.936,-0.936,-0.936,-0.936,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Y,-0.664,-0.664,-0.664,0.000,-0.664,-0.664,-0.664,-0.664,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Y,-0.406,-0.406,-0.406,0.000,-0.406,-0.406,-0.406,-0.406,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Y,0.227,0.227,0.227,0.000,0.227,0.227,0.227,0.227,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta Y,-0.461,-0.461,-0.461,0.000,-0.461,-0.461,-0.461,-0.461,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta Y,-0.595,-0.595,-0.595,0.000,-0.595,-0.595,-0.595,-0.595,1,µm,Surface,,Displacement Delta,,,41,
Displacement Delta Y,-0.075,-0.075,-0.075,0.000,-0.075,-0.075,-0.075,-0.075,1,µm,Surface,,Displacement Delta,,,42,
Displacement Delta Y,-0.325,-0.325,-0.325,0.000,-0.325,-0.325,-0.325,-0.325,1,µm,Surface,,Displacement Delta,,,43,
Displacement Delta Y,-0.241,-0.241,-0.241,0.000,-0.241,-0.241,-0.241,-0.241,1,µm,Surface,,Displacement Delta,,,44,
Displacement Delta Y,-0.326,-0.326,-0.326,0.000,-0.326,-0.326,-0.326,-0.326,1,µm,Surface,,Displacement Delta,,,45,
Displacement Delta Y,-0.201,-0.201,-0.201,0.000,-0.201,-0.201,-0.201,-0.201,1,µm,Surface,,Displacement Delta,,,46,
Displacement Delta Y,-0.675,-0.675,-0.675,0.000,-0.675,-0.675,-0.675,-0.675,1,µm,Surface,,Displacement Delta,,,47,
Displacement Delta Y,-0.029,-0.029,-0.029,0.000,-0.029,-0.029,-0.029,-0.029,1,µm,Surface,,Displacement Delta,,,48,
