
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,60.773,60.773,60.773,0.000,60.773,60.773,60.773,60.773,1,µm^2,Surface,,,,,10,
Area,83.378,83.378,83.378,0.000,83.378,83.378,83.378,83.378,1,µm^2,Surface,,,,,11,
Area,100.917,100.917,100.917,0.000,100.917,100.917,100.917,100.917,1,µm^2,Surface,,,,,12,
Area,111.808,111.808,111.808,0.000,111.808,111.808,111.808,111.808,1,µm^2,Surface,,,,,13,
Area,119.451,119.451,119.451,0.000,119.451,119.451,119.451,119.451,1,µm^2,Surface,,,,,14,
Area,128.592,128.592,128.592,0.000,128.592,128.592,128.592,128.592,1,µm^2,Surface,,,,,15,
Area,129.515,129.515,129.515,0.000,129.515,129.515,129.515,129.515,1,µm^2,Surface,,,,,16,
Area,132.000,132.000,132.000,0.000,132.000,132.000,132.000,132.000,1,µm^2,Surface,,,,,17,
Area,134.920,134.920,134.920,0.000,134.920,134.920,134.920,134.920,1,µm^2,Surface,,,,,18,
Area,126.910,126.910,126.910,0.000,126.910,126.910,126.910,126.910,1,µm^2,Surface,,,,,19,
Area,114.890,114.890,114.890,0.000,114.890,114.890,114.890,114.890,1,µm^2,Surface,,,,,20,
Area,161.977,161.977,161.977,0.000,161.977,161.977,161.977,161.977,1,µm^2,Surface,,,,,21,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,10,
Displacement Delta Length,1.384,1.384,1.384,0.000,1.384,1.384,1.384,1.384,1,µm,Surface,,,,,11,
Displacement Delta Length,1.319,1.319,1.319,0.000,1.319,1.319,1.319,1.319,1,µm,Surface,,,,,12,
Displacement Delta Length,0.682,0.682,0.682,0.000,0.682,0.682,0.682,0.682,1,µm,Surface,,,,,13,
Displacement Delta Length,0.865,0.865,0.865,0.000,0.865,0.865,0.865,0.865,1,µm,Surface,,,,,14,
Displacement Delta Length,1.178,1.178,1.178,0.000,1.178,1.178,1.178,1.178,1,µm,Surface,,,,,15,
Displacement Delta Length,1.069,1.069,1.069,0.000,1.069,1.069,1.069,1.069,1,µm,Surface,,,,,16,
Displacement Delta Length,1.241,1.241,1.241,0.000,1.241,1.241,1.241,1.241,1,µm,Surface,,,,,17,
Displacement Delta Length,0.886,0.886,0.886,0.000,0.886,0.886,0.886,0.886,1,µm,Surface,,,,,18,
Displacement Delta Length,0.355,0.355,0.355,0.000,0.355,0.355,0.355,0.355,1,µm,Surface,,,,,19,
Displacement Delta Length,0.751,0.751,0.751,0.000,0.751,0.751,0.751,0.751,1,µm,Surface,,,,,20,
Displacement Delta Length,1.916,1.916,1.916,0.000,1.916,1.916,1.916,1.916,1,µm,Surface,,,,,21,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta X,0.497,0.497,0.497,0.000,0.497,0.497,0.497,0.497,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta X,1.204,1.204,1.204,0.000,1.204,1.204,1.204,1.204,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,0.515,0.515,0.515,0.000,0.515,0.515,0.515,0.515,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.668,0.668,0.668,0.000,0.668,0.668,0.668,0.668,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,0.180,0.180,0.180,0.000,0.180,0.180,0.180,0.180,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,0.673,0.673,0.673,0.000,0.673,0.673,0.673,0.673,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,-0.019,-0.019,-0.019,0.000,-0.019,-0.019,-0.019,-0.019,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.072,-0.072,-0.072,0.000,-0.072,-0.072,-0.072,-0.072,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,0.176,0.176,0.176,0.000,0.176,0.176,0.176,0.176,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,-0.649,-0.649,-0.649,0.000,-0.649,-0.649,-0.649,-0.649,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,-0.718,-0.718,-0.718,0.000,-0.718,-0.718,-0.718,-0.718,1,µm,Surface,,Displacement Delta,,,21,
