
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,89.929,89.929,89.929,0.000,89.929,89.929,89.929,89.929,1,µm^2,Surface,,,,,26,
Area,115.542,115.542,115.542,0.000,115.542,115.542,115.542,115.542,1,µm^2,Surface,,,,,27,
Area,153.266,153.266,153.266,0.000,153.266,153.266,153.266,153.266,1,µm^2,Surface,,,,,28,
Area,161.536,161.536,161.536,0.000,161.536,161.536,161.536,161.536,1,µm^2,Surface,,,,,29,
Area,191.554,191.554,191.554,0.000,191.554,191.554,191.554,191.554,1,µm^2,Surface,,,,,30,
Area,177.768,177.768,177.768,0.000,177.768,177.768,177.768,177.768,1,µm^2,Surface,,,,,31,
Area,151.506,151.506,151.506,0.000,151.506,151.506,151.506,151.506,1,µm^2,Surface,,,,,32,
Area,140.585,140.585,140.585,0.000,140.585,140.585,140.585,140.585,1,µm^2,Surface,,,,,33,
Area,158.300,158.300,158.300,0.000,158.300,158.300,158.300,158.300,1,µm^2,Surface,,,,,34,
Area,152.642,152.642,152.642,0.000,152.642,152.642,152.642,152.642,1,µm^2,Surface,,,,,35,
Area,157.170,157.170,157.170,0.000,157.170,157.170,157.170,157.170,1,µm^2,Surface,,,,,36,
Area,158.973,158.973,158.973,0.000,158.973,158.973,158.973,158.973,1,µm^2,Surface,,,,,37,
Area,165.270,165.270,165.270,0.000,165.270,165.270,165.270,165.270,1,µm^2,Surface,,,,,38,
Area,176.609,176.609,176.609,0.000,176.609,176.609,176.609,176.609,1,µm^2,Surface,,,,,39,
Area,167.610,167.610,167.610,0.000,167.610,167.610,167.610,167.610,1,µm^2,Surface,,,,,40,
Area,186.837,186.837,186.837,0.000,186.837,186.837,186.837,186.837,1,µm^2,Surface,,,,,41,
Area,191.087,191.087,191.087,0.000,191.087,191.087,191.087,191.087,1,µm^2,Surface,,,,,42,
Area,190.495,190.495,190.495,0.000,190.495,190.495,190.495,190.495,1,µm^2,Surface,,,,,43,
Area,198.762,198.762,198.762,0.000,198.762,198.762,198.762,198.762,1,µm^2,Surface,,,,,44,
Area,222.631,222.631,222.631,0.000,222.631,222.631,222.631,222.631,1,µm^2,Surface,,,,,45,
Area,232.596,232.596,232.596,0.000,232.596,232.596,232.596,232.596,1,µm^2,Surface,,,,,46,
Area,219.811,219.811,219.811,0.000,219.811,219.811,219.811,219.811,1,µm^2,Surface,,,,,47,
Area,224.946,224.946,224.946,0.000,224.946,224.946,224.946,224.946,1,µm^2,Surface,,,,,48,
Area,219.758,219.758,219.758,0.000,219.758,219.758,219.758,219.758,1,µm^2,Surface,,,,,49,
Area,223.062,223.062,223.062,0.000,223.062,223.062,223.062,223.062,1,µm^2,Surface,,,,,50,
