
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,101.389,101.389,101.389,0.000,101.389,101.389,101.389,101.389,1,µm^2,Surface,,,,,26,
Area,116.166,116.166,116.166,0.000,116.166,116.166,116.166,116.166,1,µm^2,Surface,,,,,27,
Area,128.883,128.883,128.883,0.000,128.883,128.883,128.883,128.883,1,µm^2,Surface,,,,,28,
Area,157.369,157.369,157.369,0.000,157.369,157.369,157.369,157.369,1,µm^2,Surface,,,,,29,
Area,158.037,158.037,158.037,0.000,158.037,158.037,158.037,158.037,1,µm^2,Surface,,,,,30,
Area,152.381,152.381,152.381,0.000,152.381,152.381,152.381,152.381,1,µm^2,Surface,,,,,31,
Area,154.063,154.063,154.063,0.000,154.063,154.063,154.063,154.063,1,µm^2,Surface,,,,,32,
Area,155.480,155.480,155.480,0.000,155.480,155.480,155.480,155.480,1,µm^2,Surface,,,,,33,
Area,150.653,150.653,150.653,0.000,150.653,150.653,150.653,150.653,1,µm^2,Surface,,,,,34,
Area,127.997,127.997,127.997,0.000,127.997,127.997,127.997,127.997,1,µm^2,Surface,,,,,35,
Area,106.473,106.473,106.473,0.000,106.473,106.473,106.473,106.473,1,µm^2,Surface,,,,,36,
Area,106.861,106.861,106.861,0.000,106.861,106.861,106.861,106.861,1,µm^2,Surface,,,,,37,
Area,118.209,118.209,118.209,0.000,118.209,118.209,118.209,118.209,1,µm^2,Surface,,,,,38,
Area,136.010,136.010,136.010,0.000,136.010,136.010,136.010,136.010,1,µm^2,Surface,,,,,39,
Area,192.021,192.021,192.021,0.000,192.021,192.021,192.021,192.021,1,µm^2,Surface,,,,,40,
Area,181.745,181.745,181.745,0.000,181.745,181.745,181.745,181.745,1,µm^2,Surface,,,,,41,
Area,189.526,189.526,189.526,0.000,189.526,189.526,189.526,189.526,1,µm^2,Surface,,,,,42,
Area,174.896,174.896,174.896,0.000,174.896,174.896,174.896,174.896,1,µm^2,Surface,,,,,43,
Area,175.531,175.531,175.531,0.000,175.531,175.531,175.531,175.531,1,µm^2,Surface,,,,,44,
Area,172.123,172.123,172.123,0.000,172.123,172.123,172.123,172.123,1,µm^2,Surface,,,,,45,
Area,175.042,175.042,175.042,0.000,175.042,175.042,175.042,175.042,1,µm^2,Surface,,,,,46,
Area,178.381,178.381,178.381,0.000,178.381,178.381,178.381,178.381,1,µm^2,Surface,,,,,47,
Area,180.465,180.465,180.465,0.000,180.465,180.465,180.465,180.465,1,µm^2,Surface,,,,,48,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,26,
Displacement Delta Length,1.804,1.804,1.804,0.000,1.804,1.804,1.804,1.804,1,µm,Surface,,,,,27,
Displacement Delta Length,1.455,1.455,1.455,0.000,1.455,1.455,1.455,1.455,1,µm,Surface,,,,,28,
Displacement Delta Length,2.128,2.128,2.128,0.000,2.128,2.128,2.128,2.128,1,µm,Surface,,,,,29,
Displacement Delta Length,0.873,0.873,0.873,0.000,0.873,0.873,0.873,0.873,1,µm,Surface,,,,,30,
Displacement Delta Length,1.798,1.798,1.798,0.000,1.798,1.798,1.798,1.798,1,µm,Surface,,,,,31,
Displacement Delta Length,1.677,1.677,1.677,0.000,1.677,1.677,1.677,1.677,1,µm,Surface,,,,,32,
Displacement Delta Length,1.508,1.508,1.508,0.000,1.508,1.508,1.508,1.508,1,µm,Surface,,,,,33,
Displacement Delta Length,1.041,1.041,1.041,0.000,1.041,1.041,1.041,1.041,1,µm,Surface,,,,,34,
Displacement Delta Length,1.326,1.326,1.326,0.000,1.326,1.326,1.326,1.326,1,µm,Surface,,,,,35,
Displacement Delta Length,0.876,0.876,0.876,0.000,0.876,0.876,0.876,0.876,1,µm,Surface,,,,,36,
Displacement Delta Length,0.870,0.870,0.870,0.000,0.870,0.870,0.870,0.870,1,µm,Surface,,,,,37,
