
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,240.583,240.583,240.583,0.000,240.583,240.583,240.583,240.583,1,µm^2,Surface,,,,,1,
Area,251.563,251.563,251.563,0.000,251.563,251.563,251.563,251.563,1,µm^2,Surface,,,,,2,
Area,256.561,256.561,256.561,0.000,256.561,256.561,256.561,256.561,1,µm^2,Surface,,,,,3,
Area,260.484,260.484,260.484,0.000,260.484,260.484,260.484,260.484,1,µm^2,Surface,,,,,4,
Area,250.451,250.451,250.451,0.000,250.451,250.451,250.451,250.451,1,µm^2,Surface,,,,,5,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,1.608,1.608,1.608,0.000,1.608,1.608,1.608,1.608,1,µm,Surface,,,,,2,
Displacement Delta Length,1.896,1.896,1.896,0.000,1.896,1.896,1.896,1.896,1,µm,Surface,,,,,3,
Displacement Delta Length,0.824,0.824,0.824,0.000,0.824,0.824,0.824,0.824,1,µm,Surface,,,,,4,
Displacement Delta Length,2.055,2.055,2.055,0.000,2.055,2.055,2.055,2.055,1,µm,Surface,,,,,5,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta X,-0.158,-0.158,-0.158,0.000,-0.158,-0.158,-0.158,-0.158,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta X,0.834,0.834,0.834,0.000,0.834,0.834,0.834,0.834,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta X,0.590,0.590,0.590,0.000,0.590,0.590,0.590,0.590,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta X,-1.370,-1.370,-1.370,0.000,-1.370,-1.370,-1.370,-1.370,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Y,1.586,1.586,1.586,0.000,1.586,1.586,1.586,1.586,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Y,-1.689,-1.689,-1.689,0.000,-1.689,-1.689,-1.689,-1.689,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Y,-0.540,-0.540,-0.540,0.000,-0.540,-0.540,-0.540,-0.540,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Y,-0.636,-0.636,-0.636,0.000,-0.636,-0.636,-0.636,-0.636,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Z,0.220,0.220,0.220,0.000,0.220,0.220,0.220,0.220,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Z,0.218,0.218,0.218,0.000,0.218,0.218,0.218,0.218,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Z,0.199,0.199,0.199,0.000,0.199,0.199,0.199,0.199,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Z,1.393,1.393,1.393,0.000,1.393,1.393,1.393,1.393,1,µm,Surface,,Displacement Delta,,,5,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Length,1.608,1.608,1.608,0.000,1.608,1.608,1.608,1.608,1,µm,Surface,,,,,2,
Displacement Length,0.812,0.812,0.812,0.000,0.812,0.812,0.812,0.812,1,µm,Surface,,,,,3,
Displacement Length,1.556,1.556,1.556,0.000,1.556,1.556,1.556,1.556,1,µm,Surface,,,,,4,
Displacement Length,2.401,2.401,2.401,0.000,2.401,2.401,2.401,2.401,1,µm,Surface,,,,,5,
Distance from Origin,14399.513,14399.513,14399.513,0.000,14399.513,14399.513,14399.513,14399.513,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,14399.680,14399.680,14399.680,0.000,14399.680,14399.680,14399.680,14399.680,1,µm,Surface,,Distance from Origin,,,2,
Distance from Origin,14399.256,14399.256,14399.256,0.000,14399.256,14399.256,14399.256,14399.256,1,µm,Surface,,Distance from Origin,,,3,
Distance from Origin,14398.944,14398.944,14398.944,0.000,14398.944,14398.944,14398.944,14398.944,1,µm,Surface,,Distance from Origin,,,4,
Distance from Origin,14400.915,14400.915,14400.915,0.000,14400.915,14400.915,14400.915,14400.915,1,µm,Surface,,Distance from Origin,,,5,
Distance to Image Border XY,5.023,5.023,5.023,0.000,5.023,5.023,5.023,5.023,1,µm,Surface,,,Image 1,,1,
Distance to Image Border XY,4.971,4.971,4.971,0.000,4.971,4.971,4.971,4.971,1,µm,Surface,,,Image 1,,2,
Distance to Image Border XY,5.700,5.700,5.700,0.000,5.700,5.700,5.700,5.700,1,µm,Surface,,,Image 1,,3,
Distance to Image Border XY,6.289,6.289,6.289,0.000,6.289,6.289,6.289,6.289,1,µm,Surface,,,Image 1,,4,
Distance to Image Border XY,4.920,4.920,4.920,0.000,4.920,4.920,4.920,4.920,1,µm,Surface,,,Image 1,,5,
