
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,65.956,65.956,65.956,0.000,65.956,65.956,65.956,65.956,1,µm^2,Surface,,,,40,
Area,70.536,70.536,70.536,0.000,70.536,70.536,70.536,70.536,1,µm^2,Surface,,,,41,
Area,80.833,80.833,80.833,0.000,80.833,80.833,80.833,80.833,1,µm^2,Surface,,,,42,
Area,91.583,91.583,91.583,0.000,91.583,91.583,91.583,91.583,1,µm^2,Surface,,,,43,
Area,96.165,96.165,96.165,0.000,96.165,96.165,96.165,96.165,1,µm^2,Surface,,,,44,
Area,110.049,110.049,110.049,0.000,110.049,110.049,110.049,110.049,1,µm^2,Surface,,,,45,
Area,129.153,129.153,129.153,0.000,129.153,129.153,129.153,129.153,1,µm^2,Surface,,,,46,
Area,138.250,138.250,138.250,0.000,138.250,138.250,138.250,138.250,1,µm^2,Surface,,,,47,
Area,140.469,140.469,140.469,0.000,140.469,140.469,140.469,140.469,1,µm^2,Surface,,,,48,
Area,143.011,143.011,143.011,0.000,143.011,143.011,143.011,143.011,1,µm^2,Surface,,,,49,
Area,134.341,134.341,134.341,0.000,134.341,134.341,134.341,134.341,1,µm^2,Surface,,,,50,
Area,134.997,134.997,134.997,0.000,134.997,134.997,134.997,134.997,1,µm^2,Surface,,,,51,
Area,131.590,131.590,131.590,0.000,131.590,131.590,131.590,131.590,1,µm^2,Surface,,,,52,
Area,142.089,142.089,142.089,0.000,142.089,142.089,142.089,142.089,1,µm^2,Surface,,,,53,
Area,136.139,136.139,136.139,0.000,136.139,136.139,136.139,136.139,1,µm^2,Surface,,,,54,
Area,133.375,133.375,133.375,0.000,133.375,133.375,133.375,133.375,1,µm^2,Surface,,,,55,
Area,136.029,136.029,136.029,0.000,136.029,136.029,136.029,136.029,1,µm^2,Surface,,,,56,
Area,139.481,139.481,139.481,0.000,139.481,139.481,139.481,139.481,1,µm^2,Surface,,,,57,
Area,143.102,143.102,143.102,0.000,143.102,143.102,143.102,143.102,1,µm^2,Surface,,,,58,
Area,143.940,143.940,143.940,0.000,143.940,143.940,143.940,143.940,1,µm^2,Surface,,,,59,
Area,146.620,146.620,146.620,0.000,146.620,146.620,146.620,146.620,1,µm^2,Surface,,,,60,
Area,157.986,157.986,157.986,0.000,157.986,157.986,157.986,157.986,1,µm^2,Surface,,,,61,
Area,162.825,162.825,162.825,0.000,162.825,162.825,162.825,162.825,1,µm^2,Surface,,,,62,
Area,163.487,163.487,163.487,0.000,163.487,163.487,163.487,163.487,1,µm^2,Surface,,,,63,
Area,164.656,164.656,164.656,0.000,164.656,164.656,164.656,164.656,1,µm^2,Surface,,,,64,
Area,166.284,166.284,166.284,0.000,166.284,166.284,166.284,166.284,1,µm^2,Surface,,,,65,
Area,173.780,173.780,173.780,0.000,173.780,173.780,173.780,173.780,1,µm^2,Surface,,,,66,
Area,170.845,170.845,170.845,0.000,170.845,170.845,170.845,170.845,1,µm^2,Surface,,,,67,
Area,174.493,174.493,174.493,0.000,174.493,174.493,174.493,174.493,1,µm^2,Surface,,,,68,
Area,177.450,177.450,177.450,0.000,177.450,177.450,177.450,177.450,1,µm^2,Surface,,,,69,
Area,175.973,175.973,175.973,0.000,175.973,175.973,175.973,175.973,1,µm^2,Surface,,,,70,
Area,176.086,176.086,176.086,0.000,176.086,176.086,176.086,176.086,1,µm^2,Surface,,,,71,
Area,174.014,174.014,174.014,0.000,174.014,174.014,174.014,174.014,1,µm^2,Surface,,,,72,
Area,173.914,173.914,173.914,0.000,173.914,173.914,173.914,173.914,1,µm^2,Surface,,,,73,
Area,168.719,168.719,168.719,0.000,168.719,168.719,168.719,168.719,1,µm^2,Surface,,,,74,
Area,171.698,171.698,171.698,0.000,171.698,171.698,171.698,171.698,1,µm^2,Surface,,,,75,
Area,173.501,173.501,173.501,0.000,173.501,173.501,173.501,173.501,1,µm^2,Surface,,,,76,
Area,172.487,172.487,172.487,0.000,172.487,172.487,172.487,172.487,1,µm^2,Surface,,,,77,
Area,177.810,177.810,177.810,0.000,177.810,177.810,177.810,177.810,1,µm^2,Surface,,,,78,
Area,177.291,177.291,177.291,0.000,177.291,177.291,177.291,177.291,1,µm^2,Surface,,,,79,
Area,177.342,177.342,177.342,0.000,177.342,177.342,177.342,177.342,1,µm^2,Surface,,,,80,
Area,176.395,176.395,176.395,0.000,176.395,176.395,176.395,176.395,1,µm^2,Surface,,,,81,
Area,176.713,176.713,176.713,0.000,176.713,176.713,176.713,176.713,1,µm^2,Surface,,,,82,
Area,175.903,175.903,175.903,0.000,175.903,175.903,175.903,175.903,1,µm^2,Surface,,,,83,
Area,176.357,176.357,176.357,0.000,176.357,176.357,176.357,176.357,1,µm^2,Surface,,,,84,
Area,177.336,177.336,177.336,0.000,177.336,177.336,177.336,177.336,1,µm^2,Surface,,,,85,
Area,178.284,178.284,178.284,0.000,178.284,178.284,178.284,178.284,1,µm^2,Surface,,,,86,
Area,177.790,177.790,177.790,0.000,177.790,177.790,177.790,177.790,1,µm^2,Surface,,,,87,
Area,181.567,181.567,181.567,0.000,181.567,181.567,181.567,181.567,1,µm^2,Surface,,,,88,
Area,182.593,182.593,182.593,0.000,182.593,182.593,182.593,182.593,1,µm^2,Surface,,,,89,
Area,181.323,181.323,181.323,0.000,181.323,181.323,181.323,181.323,1,µm^2,Surface,,,,90,
Area,177.183,177.183,177.183,0.000,177.183,177.183,177.183,177.183,1,µm^2,Surface,,,,91,
Area,176.546,176.546,176.546,0.000,176.546,176.546,176.546,176.546,1,µm^2,Surface,,,,92,
Area,180.831,180.831,180.831,0.000,180.831,180.831,180.831,180.831,1,µm^2,Surface,,,,93,
Area,169.822,169.822,169.822,0.000,169.822,169.822,169.822,169.822,1,µm^2,Surface,,,,94,
Area,101.467,101.467,101.467,0.000,101.467,101.467,101.467,101.467,1,µm^2,Surface,,,,95,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,40,
Displacement Delta Length,0.987,0.987,0.987,0.000,0.987,0.987,0.987,0.987,1,µm,Surface,,,,41,
Displacement Delta Length,1.050,1.050,1.050,0.000,1.050,1.050,1.050,1.050,1,µm,Surface,,,,42,
Displacement Delta Length,0.743,0.743,0.743,0.000,0.743,0.743,0.743,0.743,1,µm,Surface,,,,43,
Displacement Delta Length,1.026,1.026,1.026,0.000,1.026,1.026,1.026,1.026,1,µm,Surface,,,,44,
Displacement Delta Length,1.728,1.728,1.728,0.000,1.728,1.728,1.728,1.728,1,µm,Surface,,,,45,
Displacement Delta Length,1.212,1.212,1.212,0.000,1.212,1.212,1.212,1.212,1,µm,Surface,,,,46,
Displacement Delta Length,0.697,0.697,0.697,0.000,0.697,0.697,0.697,0.697,1,µm,Surface,,,,47,
Displacement Delta Length,0.772,0.772,0.772,0.000,0.772,0.772,0.772,0.772,1,µm,Surface,,,,48,
Displacement Delta Length,0.728,0.728,0.728,0.000,0.728,0.728,0.728,0.728,1,µm,Surface,,,,49,
Displacement Delta Length,0.904,0.904,0.904,0.000,0.904,0.904,0.904,0.904,1,µm,Surface,,,,50,
Displacement Delta Length,0.086,0.086,0.086,0.000,0.086,0.086,0.086,0.086,1,µm,Surface,,,,51,
Displacement Delta Length,0.442,0.442,0.442,0.000,0.442,0.442,0.442,0.442,1,µm,Surface,,,,52,
Displacement Delta Length,0.436,0.436,0.436,0.000,0.436,0.436,0.436,0.436,1,µm,Surface,,,,53,
Displacement Delta Length,0.285,0.285,0.285,0.000,0.285,0.285,0.285,0.285,1,µm,Surface,,,,54,
Displacement Delta Length,0.224,0.224,0.224,0.000,0.224,0.224,0.224,0.224,1,µm,Surface,,,,55,
Displacement Delta Length,0.371,0.371,0.371,0.000,0.371,0.371,0.371,0.371,1,µm,Surface,,,,56,
Displacement Delta Length,0.126,0.126,0.126,0.000,0.126,0.126,0.126,0.126,1,µm,Surface,,,,57,
Displacement Delta Length,0.386,0.386,0.386,0.000,0.386,0.386,0.386,0.386,1,µm,Surface,,,,58,
Displacement Delta Length,0.369,0.369,0.369,0.000,0.369,0.369,0.369,0.369,1,µm,Surface,,,,59,
Displacement Delta Length,0.255,0.255,0.255,0.000,0.255,0.255,0.255,0.255,1,µm,Surface,,,,60,
Displacement Delta Length,0.162,0.162,0.162,0.000,0.162,0.162,0.162,0.162,1,µm,Surface,,,,61,
Displacement Delta Length,0.172,0.172,0.172,0.000,0.172,0.172,0.172,0.172,1,µm,Surface,,,,62,
Displacement Delta Length,0.280,0.280,0.280,0.000,0.280,0.280,0.280,0.280,1,µm,Surface,,,,63,
Displacement Delta Length,0.230,0.230,0.230,0.000,0.230,0.230,0.230,0.230,1,µm,Surface,,,,64,
Displacement Delta Length,0.327,0.327,0.327,0.000,0.327,0.327,0.327,0.327,1,µm,Surface,,,,65,
Displacement Delta Length,0.092,0.092,0.092,0.000,0.092,0.092,0.092,0.092,1,µm,Surface,,,,66,
Displacement Delta Length,0.412,0.412,0.412,0.000,0.412,0.412,0.412,0.412,1,µm,Surface,,,,67,
Displacement Delta Length,0.504,0.504,0.504,0.000,0.504,0.504,0.504,0.504,1,µm,Surface,,,,68,
Displacement Delta Length,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,,,69,
Displacement Delta Length,0.360,0.360,0.360,0.000,0.360,0.360,0.360,0.360,1,µm,Surface,,,,70,
Displacement Delta Length,0.249,0.249,0.249,0.000,0.249,0.249,0.249,0.249,1,µm,Surface,,,,71,
Displacement Delta Length,0.051,0.051,0.051,0.000,0.051,0.051,0.051,0.051,1,µm,Surface,,,,72,
Displacement Delta Length,0.300,0.300,0.300,0.000,0.300,0.300,0.300,0.300,1,µm,Surface,,,,73,
Displacement Delta Length,0.150,0.150,0.150,0.000,0.150,0.150,0.150,0.150,1,µm,Surface,,,,74,
Displacement Delta Length,0.290,0.290,0.290,0.000,0.290,0.290,0.290,0.290,1,µm,Surface,,,,75,
Displacement Delta Length,0.139,0.139,0.139,0.000,0.139,0.139,0.139,0.139,1,µm,Surface,,,,76,
Displacement Delta Length,0.341,0.341,0.341,0.000,0.341,0.341,0.341,0.341,1,µm,Surface,,,,77,
Displacement Delta Length,0.337,0.337,0.337,0.000,0.337,0.337,0.337,0.337,1,µm,Surface,,,,78,
Displacement Delta Length,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,,,79,
