
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,62.833,62.833,62.833,0.000,62.833,62.833,62.833,62.833,1,µm^2,Surface,,,,41,
Area,81.952,81.952,81.952,0.000,81.952,81.952,81.952,81.952,1,µm^2,Surface,,,,42,
Area,88.442,88.442,88.442,0.000,88.442,88.442,88.442,88.442,1,µm^2,Surface,,,,43,
Area,97.377,97.377,97.377,0.000,97.377,97.377,97.377,97.377,1,µm^2,Surface,,,,44,
Area,112.924,112.924,112.924,0.000,112.924,112.924,112.924,112.924,1,µm^2,Surface,,,,45,
Area,123.529,123.529,123.529,0.000,123.529,123.529,123.529,123.529,1,µm^2,Surface,,,,46,
Area,133.589,133.589,133.589,0.000,133.589,133.589,133.589,133.589,1,µm^2,Surface,,,,47,
Area,144.620,144.620,144.620,0.000,144.620,144.620,144.620,144.620,1,µm^2,Surface,,,,48,
Area,159.765,159.765,159.765,0.000,159.765,159.765,159.765,159.765,1,µm^2,Surface,,,,49,
Area,164.681,164.681,164.681,0.000,164.681,164.681,164.681,164.681,1,µm^2,Surface,,,,50,
Area,175.582,175.582,175.582,0.000,175.582,175.582,175.582,175.582,1,µm^2,Surface,,,,51,
Area,172.850,172.850,172.850,0.000,172.850,172.850,172.850,172.850,1,µm^2,Surface,,,,52,
Area,175.363,175.363,175.363,0.000,175.363,175.363,175.363,175.363,1,µm^2,Surface,,,,53,
Area,171.301,171.301,171.301,0.000,171.301,171.301,171.301,171.301,1,µm^2,Surface,,,,54,
Area,162.893,162.893,162.893,0.000,162.893,162.893,162.893,162.893,1,µm^2,Surface,,,,55,
Area,156.207,156.207,156.207,0.000,156.207,156.207,156.207,156.207,1,µm^2,Surface,,,,56,
Area,160.669,160.669,160.669,0.000,160.669,160.669,160.669,160.669,1,µm^2,Surface,,,,57,
Area,166.787,166.787,166.787,0.000,166.787,166.787,166.787,166.787,1,µm^2,Surface,,,,58,
Area,166.474,166.474,166.474,0.000,166.474,166.474,166.474,166.474,1,µm^2,Surface,,,,59,
Area,169.940,169.940,169.940,0.000,169.940,169.940,169.940,169.940,1,µm^2,Surface,,,,60,
Area,176.607,176.607,176.607,0.000,176.607,176.607,176.607,176.607,1,µm^2,Surface,,,,61,
Area,174.412,174.412,174.412,0.000,174.412,174.412,174.412,174.412,1,µm^2,Surface,,,,62,
Area,179.658,179.658,179.658,0.000,179.658,179.658,179.658,179.658,1,µm^2,Surface,,,,63,
Area,172.604,172.604,172.604,0.000,172.604,172.604,172.604,172.604,1,µm^2,Surface,,,,64,
Area,176.996,176.996,176.996,0.000,176.996,176.996,176.996,176.996,1,µm^2,Surface,,,,65,
Area,175.260,175.260,175.260,0.000,175.260,175.260,175.260,175.260,1,µm^2,Surface,,,,66,
Area,175.193,175.193,175.193,0.000,175.193,175.193,175.193,175.193,1,µm^2,Surface,,,,67,
Area,180.714,180.714,180.714,0.000,180.714,180.714,180.714,180.714,1,µm^2,Surface,,,,68,
Area,177.702,177.702,177.702,0.000,177.702,177.702,177.702,177.702,1,µm^2,Surface,,,,69,
Area,177.202,177.202,177.202,0.000,177.202,177.202,177.202,177.202,1,µm^2,Surface,,,,70,
Area,175.138,175.138,175.138,0.000,175.138,175.138,175.138,175.138,1,µm^2,Surface,,,,71,
Area,173.096,173.096,173.096,0.000,173.096,173.096,173.096,173.096,1,µm^2,Surface,,,,72,
Area,174.581,174.581,174.581,0.000,174.581,174.581,174.581,174.581,1,µm^2,Surface,,,,73,
Area,173.075,173.075,173.075,0.000,173.075,173.075,173.075,173.075,1,µm^2,Surface,,,,74,
Area,175.204,175.204,175.204,0.000,175.204,175.204,175.204,175.204,1,µm^2,Surface,,,,75,
Area,177.564,177.564,177.564,0.000,177.564,177.564,177.564,177.564,1,µm^2,Surface,,,,76,
Area,173.107,173.107,173.107,0.000,173.107,173.107,173.107,173.107,1,µm^2,Surface,,,,77,
Area,175.453,175.453,175.453,0.000,175.453,175.453,175.453,175.453,1,µm^2,Surface,,,,78,
Area,175.696,175.696,175.696,0.000,175.696,175.696,175.696,175.696,1,µm^2,Surface,,,,79,
Area,175.266,175.266,175.266,0.000,175.266,175.266,175.266,175.266,1,µm^2,Surface,,,,80,
Area,177.291,177.291,177.291,0.000,177.291,177.291,177.291,177.291,1,µm^2,Surface,,,,81,
Area,177.946,177.946,177.946,0.000,177.946,177.946,177.946,177.946,1,µm^2,Surface,,,,82,
Area,178.258,178.258,178.258,0.000,178.258,178.258,178.258,178.258,1,µm^2,Surface,,,,83,
Area,175.852,175.852,175.852,0.000,175.852,175.852,175.852,175.852,1,µm^2,Surface,,,,84,
Area,176.944,176.944,176.944,0.000,176.944,176.944,176.944,176.944,1,µm^2,Surface,,,,85,
Area,177.979,177.979,177.979,0.000,177.979,177.979,177.979,177.979,1,µm^2,Surface,,,,86,
Area,178.375,178.375,178.375,0.000,178.375,178.375,178.375,178.375,1,µm^2,Surface,,,,87,
Area,178.790,178.790,178.790,0.000,178.790,178.790,178.790,178.790,1,µm^2,Surface,,,,88,
Area,177.690,177.690,177.690,0.000,177.690,177.690,177.690,177.690,1,µm^2,Surface,,,,89,
Area,177.172,177.172,177.172,0.000,177.172,177.172,177.172,177.172,1,µm^2,Surface,,,,90,
Area,180.432,180.432,180.432,0.000,180.432,180.432,180.432,180.432,1,µm^2,Surface,,,,91,
Area,177.549,177.549,177.549,0.000,177.549,177.549,177.549,177.549,1,µm^2,Surface,,,,92,
Area,178.014,178.014,178.014,0.000,178.014,178.014,178.014,178.014,1,µm^2,Surface,,,,93,
Area,179.311,179.311,179.311,0.000,179.311,179.311,179.311,179.311,1,µm^2,Surface,,,,94,
Area,177.498,177.498,177.498,0.000,177.498,177.498,177.498,177.498,1,µm^2,Surface,,,,95,
Area,177.662,177.662,177.662,0.000,177.662,177.662,177.662,177.662,1,µm^2,Surface,,,,96,
Area,176.445,176.445,176.445,0.000,176.445,176.445,176.445,176.445,1,µm^2,Surface,,,,97,
Area,178.992,178.992,178.992,0.000,178.992,178.992,178.992,178.992,1,µm^2,Surface,,,,98,
