
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,87.863,87.863,87.863,0.000,87.863,87.863,87.863,87.863,1,µm^2,Surface,,,,,25,
Area,114.296,114.296,114.296,0.000,114.296,114.296,114.296,114.296,1,µm^2,Surface,,,,,26,
Area,137.806,137.806,137.806,0.000,137.806,137.806,137.806,137.806,1,µm^2,Surface,,,,,27,
Area,151.196,151.196,151.196,0.000,151.196,151.196,151.196,151.196,1,µm^2,Surface,,,,,28,
Area,157.766,157.766,157.766,0.000,157.766,157.766,157.766,157.766,1,µm^2,Surface,,,,,29,
Area,170.230,170.230,170.230,0.000,170.230,170.230,170.230,170.230,1,µm^2,Surface,,,,,30,
Area,182.984,182.984,182.984,0.000,182.984,182.984,182.984,182.984,1,µm^2,Surface,,,,,31,
Area,191.276,191.276,191.276,0.000,191.276,191.276,191.276,191.276,1,µm^2,Surface,,,,,32,
Area,202.259,202.259,202.259,0.000,202.259,202.259,202.259,202.259,1,µm^2,Surface,,,,,33,
Area,215.761,215.761,215.761,0.000,215.761,215.761,215.761,215.761,1,µm^2,Surface,,,,,34,
Area,224.921,224.921,224.921,0.000,224.921,224.921,224.921,224.921,1,µm^2,Surface,,,,,35,
Area,181.611,181.611,181.611,0.000,181.611,181.611,181.611,181.611,1,µm^2,Surface,,,,,36,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,25,
Displacement Delta Length,1.184,1.184,1.184,0.000,1.184,1.184,1.184,1.184,1,µm,Surface,,,,,26,
Displacement Delta Length,1.749,1.749,1.749,0.000,1.749,1.749,1.749,1.749,1,µm,Surface,,,,,27,
Displacement Delta Length,1.157,1.157,1.157,0.000,1.157,1.157,1.157,1.157,1,µm,Surface,,,,,28,
Displacement Delta Length,1.426,1.426,1.426,0.000,1.426,1.426,1.426,1.426,1,µm,Surface,,,,,29,
Displacement Delta Length,0.771,0.771,0.771,0.000,0.771,0.771,0.771,0.771,1,µm,Surface,,,,,30,
Displacement Delta Length,0.583,0.583,0.583,0.000,0.583,0.583,0.583,0.583,1,µm,Surface,,,,,31,
Displacement Delta Length,0.770,0.770,0.770,0.000,0.770,0.770,0.770,0.770,1,µm,Surface,,,,,32,
Displacement Delta Length,1.271,1.271,1.271,0.000,1.271,1.271,1.271,1.271,1,µm,Surface,,,,,33,
Displacement Delta Length,0.565,0.565,0.565,0.000,0.565,0.565,0.565,0.565,1,µm,Surface,,,,,34,
Displacement Delta Length,0.463,0.463,0.463,0.000,0.463,0.463,0.463,0.463,1,µm,Surface,,,,,35,
Displacement Delta Length,0.946,0.946,0.946,0.000,0.946,0.946,0.946,0.946,1,µm,Surface,,,,,36,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,0.416,0.416,0.416,0.000,0.416,0.416,0.416,0.416,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,1.443,1.443,1.443,0.000,1.443,1.443,1.443,1.443,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,0.385,0.385,0.385,0.000,0.385,0.385,0.385,0.385,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,1.069,1.069,1.069,0.000,1.069,1.069,1.069,1.069,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.708,0.708,0.708,0.000,0.708,0.708,0.708,0.708,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,0.297,0.297,0.297,0.000,0.297,0.297,0.297,0.297,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,0.010,0.010,0.010,0.000,0.010,0.010,0.010,0.010,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,-0.260,-0.260,-0.260,0.000,-0.260,-0.260,-0.260,-0.260,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,-0.338,-0.338,-0.338,0.000,-0.338,-0.338,-0.338,-0.338,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,-0.305,-0.305,-0.305,0.000,-0.305,-0.305,-0.305,-0.305,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,0.121,0.121,0.121,0.000,0.121,0.121,0.121,0.121,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,1.098,1.098,1.098,0.000,1.098,1.098,1.098,1.098,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,0.979,0.979,0.979,0.000,0.979,0.979,0.979,0.979,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,1.068,1.068,1.068,0.000,1.068,1.068,1.068,1.068,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,-0.117,-0.117,-0.117,0.000,-0.117,-0.117,-0.117,-0.117,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.280,0.280,0.280,0.000,0.280,0.280,0.280,0.280,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,0.422,0.422,0.422,0.000,0.422,0.422,0.422,0.422,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,0.417,0.417,0.417,0.000,0.417,0.417,0.417,0.417,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,-0.122,-0.122,-0.122,0.000,-0.122,-0.122,-0.122,-0.122,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,0.452,0.452,0.452,0.000,0.452,0.452,0.452,0.452,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Y,0.349,0.349,0.349,0.000,0.349,0.349,0.349,0.349,1,µm,Surface,,Displacement Delta,,,35,
