
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,45.185,45.185,45.185,0.000,45.185,45.185,45.185,45.185,1,µm^2,Surface,,,,41,
Area,69.344,69.344,69.344,0.000,69.344,69.344,69.344,69.344,1,µm^2,Surface,,,,42,
Area,85.908,85.908,85.908,0.000,85.908,85.908,85.908,85.908,1,µm^2,Surface,,,,43,
Area,92.988,92.988,92.988,0.000,92.988,92.988,92.988,92.988,1,µm^2,Surface,,,,44,
Area,100.373,100.373,100.373,0.000,100.373,100.373,100.373,100.373,1,µm^2,Surface,,,,45,
Area,106.761,106.761,106.761,0.000,106.761,106.761,106.761,106.761,1,µm^2,Surface,,,,46,
Area,114.069,114.069,114.069,0.000,114.069,114.069,114.069,114.069,1,µm^2,Surface,,,,47,
Area,107.137,107.137,107.137,0.000,107.137,107.137,107.137,107.137,1,µm^2,Surface,,,,48,
Area,98.306,98.306,98.306,0.000,98.306,98.306,98.306,98.306,1,µm^2,Surface,,,,49,
Area,105.503,105.503,105.503,0.000,105.503,105.503,105.503,105.503,1,µm^2,Surface,,,,50,
Area,105.960,105.960,105.960,0.000,105.960,105.960,105.960,105.960,1,µm^2,Surface,,,,51,
Area,100.115,100.115,100.115,0.000,100.115,100.115,100.115,100.115,1,µm^2,Surface,,,,52,
Area,104.263,104.263,104.263,0.000,104.263,104.263,104.263,104.263,1,µm^2,Surface,,,,53,
Area,113.319,113.319,113.319,0.000,113.319,113.319,113.319,113.319,1,µm^2,Surface,,,,54,
Area,123.992,123.992,123.992,0.000,123.992,123.992,123.992,123.992,1,µm^2,Surface,,,,55,
Area,128.085,128.085,128.085,0.000,128.085,128.085,128.085,128.085,1,µm^2,Surface,,,,56,
Area,130.646,130.646,130.646,0.000,130.646,130.646,130.646,130.646,1,µm^2,Surface,,,,57,
Area,135.594,135.594,135.594,0.000,135.594,135.594,135.594,135.594,1,µm^2,Surface,,,,58,
Area,133.640,133.640,133.640,0.000,133.640,133.640,133.640,133.640,1,µm^2,Surface,,,,59,
Area,139.061,139.061,139.061,0.000,139.061,139.061,139.061,139.061,1,µm^2,Surface,,,,60,
Area,136.552,136.552,136.552,0.000,136.552,136.552,136.552,136.552,1,µm^2,Surface,,,,61,
Area,136.446,136.446,136.446,0.000,136.446,136.446,136.446,136.446,1,µm^2,Surface,,,,62,
Area,139.296,139.296,139.296,0.000,139.296,139.296,139.296,139.296,1,µm^2,Surface,,,,63,
Area,137.706,137.706,137.706,0.000,137.706,137.706,137.706,137.706,1,µm^2,Surface,,,,64,
Area,146.929,146.929,146.929,0.000,146.929,146.929,146.929,146.929,1,µm^2,Surface,,,,65,
Area,155.008,155.008,155.008,0.000,155.008,155.008,155.008,155.008,1,µm^2,Surface,,,,66,
Area,156.109,156.109,156.109,0.000,156.109,156.109,156.109,156.109,1,µm^2,Surface,,,,67,
Area,158.992,158.992,158.992,0.000,158.992,158.992,158.992,158.992,1,µm^2,Surface,,,,68,
Area,161.606,161.606,161.606,0.000,161.606,161.606,161.606,161.606,1,µm^2,Surface,,,,69,
Area,159.016,159.016,159.016,0.000,159.016,159.016,159.016,159.016,1,µm^2,Surface,,,,70,
Area,156.613,156.613,156.613,0.000,156.613,156.613,156.613,156.613,1,µm^2,Surface,,,,71,
Area,155.082,155.082,155.082,0.000,155.082,155.082,155.082,155.082,1,µm^2,Surface,,,,72,
Area,153.978,153.978,153.978,0.000,153.978,153.978,153.978,153.978,1,µm^2,Surface,,,,73,
Area,153.081,153.081,153.081,0.000,153.081,153.081,153.081,153.081,1,µm^2,Surface,,,,74,
Area,155.248,155.248,155.248,0.000,155.248,155.248,155.248,155.248,1,µm^2,Surface,,,,75,
Area,150.566,150.566,150.566,0.000,150.566,150.566,150.566,150.566,1,µm^2,Surface,,,,76,
Area,142.380,142.380,142.380,0.000,142.380,142.380,142.380,142.380,1,µm^2,Surface,,,,77,
Area,145.968,145.968,145.968,0.000,145.968,145.968,145.968,145.968,1,µm^2,Surface,,,,78,
Area,151.738,151.738,151.738,0.000,151.738,151.738,151.738,151.738,1,µm^2,Surface,,,,79,
Area,151.073,151.073,151.073,0.000,151.073,151.073,151.073,151.073,1,µm^2,Surface,,,,80,
Area,152.099,152.099,152.099,0.000,152.099,152.099,152.099,152.099,1,µm^2,Surface,,,,81,
Area,152.822,152.822,152.822,0.000,152.822,152.822,152.822,152.822,1,µm^2,Surface,,,,82,
Area,148.568,148.568,148.568,0.000,148.568,148.568,148.568,148.568,1,µm^2,Surface,,,,83,
Area,147.492,147.492,147.492,0.000,147.492,147.492,147.492,147.492,1,µm^2,Surface,,,,84,
Area,150.260,150.260,150.260,0.000,150.260,150.260,150.260,150.260,1,µm^2,Surface,,,,85,
Area,139.676,139.676,139.676,0.000,139.676,139.676,139.676,139.676,1,µm^2,Surface,,,,86,
Area,134.419,134.419,134.419,0.000,134.419,134.419,134.419,134.419,1,µm^2,Surface,,,,87,
Area,138.842,138.842,138.842,0.000,138.842,138.842,138.842,138.842,1,µm^2,Surface,,,,88,
Area,132.519,132.519,132.519,0.000,132.519,132.519,132.519,132.519,1,µm^2,Surface,,,,89,
Area,136.161,136.161,136.161,0.000,136.161,136.161,136.161,136.161,1,µm^2,Surface,,,,90,
