
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,57.924,57.924,57.924,0.000,57.924,57.924,57.924,57.924,1,µm^2,Surface,,,,58,
Area,65.628,65.628,65.628,0.000,65.628,65.628,65.628,65.628,1,µm^2,Surface,,,,59,
Area,71.277,71.277,71.277,0.000,71.277,71.277,71.277,71.277,1,µm^2,Surface,,,,60,
Area,81.484,81.484,81.484,0.000,81.484,81.484,81.484,81.484,1,µm^2,Surface,,,,61,
Area,96.044,96.044,96.044,0.000,96.044,96.044,96.044,96.044,1,µm^2,Surface,,,,62,
Area,97.440,97.440,97.440,0.000,97.440,97.440,97.440,97.440,1,µm^2,Surface,,,,63,
Area,98.680,98.680,98.680,0.000,98.680,98.680,98.680,98.680,1,µm^2,Surface,,,,64,
Area,102.577,102.577,102.577,0.000,102.577,102.577,102.577,102.577,1,µm^2,Surface,,,,65,
Area,105.583,105.583,105.583,0.000,105.583,105.583,105.583,105.583,1,µm^2,Surface,,,,66,
Area,110.361,110.361,110.361,0.000,110.361,110.361,110.361,110.361,1,µm^2,Surface,,,,67,
Area,113.182,113.182,113.182,0.000,113.182,113.182,113.182,113.182,1,µm^2,Surface,,,,68,
Area,116.561,116.561,116.561,0.000,116.561,116.561,116.561,116.561,1,µm^2,Surface,,,,69,
Area,118.178,118.178,118.178,0.000,118.178,118.178,118.178,118.178,1,µm^2,Surface,,,,70,
Area,117.029,117.029,117.029,0.000,117.029,117.029,117.029,117.029,1,µm^2,Surface,,,,71,
Area,118.678,118.678,118.678,0.000,118.678,118.678,118.678,118.678,1,µm^2,Surface,,,,72,
Area,120.334,120.334,120.334,0.000,120.334,120.334,120.334,120.334,1,µm^2,Surface,,,,73,
Area,121.439,121.439,121.439,0.000,121.439,121.439,121.439,121.439,1,µm^2,Surface,,,,74,
Area,121.253,121.253,121.253,0.000,121.253,121.253,121.253,121.253,1,µm^2,Surface,,,,75,
Area,122.589,122.589,122.589,0.000,122.589,122.589,122.589,122.589,1,µm^2,Surface,,,,76,
Area,122.438,122.438,122.438,0.000,122.438,122.438,122.438,122.438,1,µm^2,Surface,,,,77,
Area,127.580,127.580,127.580,0.000,127.580,127.580,127.580,127.580,1,µm^2,Surface,,,,78,
Area,130.232,130.232,130.232,0.000,130.232,130.232,130.232,130.232,1,µm^2,Surface,,,,79,
Area,129.470,129.470,129.470,0.000,129.470,129.470,129.470,129.470,1,µm^2,Surface,,,,80,
Area,130.195,130.195,130.195,0.000,130.195,130.195,130.195,130.195,1,µm^2,Surface,,,,81,
Area,134.222,134.222,134.222,0.000,134.222,134.222,134.222,134.222,1,µm^2,Surface,,,,82,
Area,134.760,134.760,134.760,0.000,134.760,134.760,134.760,134.760,1,µm^2,Surface,,,,83,
Area,135.873,135.873,135.873,0.000,135.873,135.873,135.873,135.873,1,µm^2,Surface,,,,84,
Area,139.026,139.026,139.026,0.000,139.026,139.026,139.026,139.026,1,µm^2,Surface,,,,85,
Area,139.211,139.211,139.211,0.000,139.211,139.211,139.211,139.211,1,µm^2,Surface,,,,86,
Area,139.849,139.849,139.849,0.000,139.849,139.849,139.849,139.849,1,µm^2,Surface,,,,87,
Area,139.897,139.897,139.897,0.000,139.897,139.897,139.897,139.897,1,µm^2,Surface,,,,88,
Area,142.000,142.000,142.000,0.000,142.000,142.000,142.000,142.000,1,µm^2,Surface,,,,89,
Area,138.963,138.963,138.963,0.000,138.963,138.963,138.963,138.963,1,µm^2,Surface,,,,90,
Area,139.882,139.882,139.882,0.000,139.882,139.882,139.882,139.882,1,µm^2,Surface,,,,91,
Area,140.985,140.985,140.985,0.000,140.985,140.985,140.985,140.985,1,µm^2,Surface,,,,92,
Area,142.322,142.322,142.322,0.000,142.322,142.322,142.322,142.322,1,µm^2,Surface,,,,93,
Area,143.452,143.452,143.452,0.000,143.452,143.452,143.452,143.452,1,µm^2,Surface,,,,94,
Area,144.935,144.935,144.935,0.000,144.935,144.935,144.935,144.935,1,µm^2,Surface,,,,95,
Area,146.305,146.305,146.305,0.000,146.305,146.305,146.305,146.305,1,µm^2,Surface,,,,96,
Area,147.350,147.350,147.350,0.000,147.350,147.350,147.350,147.350,1,µm^2,Surface,,,,97,
Area,147.664,147.664,147.664,0.000,147.664,147.664,147.664,147.664,1,µm^2,Surface,,,,98,
Area,149.690,149.690,149.690,0.000,149.690,149.690,149.690,149.690,1,µm^2,Surface,,,,99,
Area,152.041,152.041,152.041,0.000,152.041,152.041,152.041,152.041,1,µm^2,Surface,,,,100,
Area,155.128,155.128,155.128,0.000,155.128,155.128,155.128,155.128,1,µm^2,Surface,,,,101,
Area,160.134,160.134,160.134,0.000,160.134,160.134,160.134,160.134,1,µm^2,Surface,,,,102,
Area,165.941,165.941,165.941,0.000,165.941,165.941,165.941,165.941,1,µm^2,Surface,,,,103,
Area,165.089,165.089,165.089,0.000,165.089,165.089,165.089,165.089,1,µm^2,Surface,,,,104,
Area,169.116,169.116,169.116,0.000,169.116,169.116,169.116,169.116,1,µm^2,Surface,,,,105,
Area,171.792,171.792,171.792,0.000,171.792,171.792,171.792,171.792,1,µm^2,Surface,,,,106,
Area,173.771,173.771,173.771,0.000,173.771,173.771,173.771,173.771,1,µm^2,Surface,,,,107,
Area,174.008,174.008,174.008,0.000,174.008,174.008,174.008,174.008,1,µm^2,Surface,,,,108,
Area,172.040,172.040,172.040,0.000,172.040,172.040,172.040,172.040,1,µm^2,Surface,,,,109,
Area,170.935,170.935,170.935,0.000,170.935,170.935,170.935,170.935,1,µm^2,Surface,,,,110,
Area,171.991,171.991,171.991,0.000,171.991,171.991,171.991,171.991,1,µm^2,Surface,,,,111,
Area,169.445,169.445,169.445,0.000,169.445,169.445,169.445,169.445,1,µm^2,Surface,,,,112,
Area,170.658,170.658,170.658,0.000,170.658,170.658,170.658,170.658,1,µm^2,Surface,,,,113,
Area,167.840,167.840,167.840,0.000,167.840,167.840,167.840,167.840,1,µm^2,Surface,,,,114,
Area,170.707,170.707,170.707,0.000,170.707,170.707,170.707,170.707,1,µm^2,Surface,,,,115,
Area,172.546,172.546,172.546,0.000,172.546,172.546,172.546,172.546,1,µm^2,Surface,,,,116,
Area,170.786,170.786,170.786,0.000,170.786,170.786,170.786,170.786,1,µm^2,Surface,,,,117,
Area,167.640,167.640,167.640,0.000,167.640,167.640,167.640,167.640,1,µm^2,Surface,,,,118,
Area,166.693,166.693,166.693,0.000,166.693,166.693,166.693,166.693,1,µm^2,Surface,,,,119,
Area,167.548,167.548,167.548,0.000,167.548,167.548,167.548,167.548,1,µm^2,Surface,,,,120,
Area,165.326,165.326,165.326,0.000,165.326,165.326,165.326,165.326,1,µm^2,Surface,,,,121,
Area,167.014,167.014,167.014,0.000,167.014,167.014,167.014,167.014,1,µm^2,Surface,,,,122,
