
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,55.379,55.379,55.379,0.000,55.379,55.379,55.379,55.379,1,µm^2,Surface,,,,46,
Area,83.021,83.021,83.021,0.000,83.021,83.021,83.021,83.021,1,µm^2,Surface,,,,47,
Area,96.297,96.297,96.297,0.000,96.297,96.297,96.297,96.297,1,µm^2,Surface,,,,48,
Area,108.775,108.775,108.775,0.000,108.775,108.775,108.775,108.775,1,µm^2,Surface,,,,49,
Area,111.882,111.882,111.882,0.000,111.882,111.882,111.882,111.882,1,µm^2,Surface,,,,50,
Area,111.653,111.653,111.653,0.000,111.653,111.653,111.653,111.653,1,µm^2,Surface,,,,51,
Area,112.395,112.395,112.395,0.000,112.395,112.395,112.395,112.395,1,µm^2,Surface,,,,52,
Area,100.851,100.851,100.851,0.000,100.851,100.851,100.851,100.851,1,µm^2,Surface,,,,53,
Area,89.645,89.645,89.645,0.000,89.645,89.645,89.645,89.645,1,µm^2,Surface,,,,54,
Area,63.738,63.738,63.738,0.000,63.738,63.738,63.738,63.738,1,µm^2,Surface,,,,55,
Area,67.342,67.342,67.342,0.000,67.342,67.342,67.342,67.342,1,µm^2,Surface,,,,56,
Area,67.104,67.104,67.104,0.000,67.104,67.104,67.104,67.104,1,µm^2,Surface,,,,57,
Area,52.048,52.048,52.048,0.000,52.048,52.048,52.048,52.048,1,µm^2,Surface,,,,58,
Area,61.514,61.514,61.514,0.000,61.514,61.514,61.514,61.514,1,µm^2,Surface,,,,59,
Area,62.305,62.305,62.305,0.000,62.305,62.305,62.305,62.305,1,µm^2,Surface,,,,60,
Area,66.635,66.635,66.635,0.000,66.635,66.635,66.635,66.635,1,µm^2,Surface,,,,61,
Area,65.355,65.355,65.355,0.000,65.355,65.355,65.355,65.355,1,µm^2,Surface,,,,62,
Area,71.654,71.654,71.654,0.000,71.654,71.654,71.654,71.654,1,µm^2,Surface,,,,63,
Area,71.322,71.322,71.322,0.000,71.322,71.322,71.322,71.322,1,µm^2,Surface,,,,64,
Area,72.608,72.608,72.608,0.000,72.608,72.608,72.608,72.608,1,µm^2,Surface,,,,65,
Area,63.851,63.851,63.851,0.000,63.851,63.851,63.851,63.851,1,µm^2,Surface,,,,66,
Area,55.896,55.896,55.896,0.000,55.896,55.896,55.896,55.896,1,µm^2,Surface,,,,67,
Area,60.775,60.775,60.775,0.000,60.775,60.775,60.775,60.775,1,µm^2,Surface,,,,68,
Area,63.608,63.608,63.608,0.000,63.608,63.608,63.608,63.608,1,µm^2,Surface,,,,69,
Area,57.241,57.241,57.241,0.000,57.241,57.241,57.241,57.241,1,µm^2,Surface,,,,70,
Area,66.446,66.446,66.446,0.000,66.446,66.446,66.446,66.446,1,µm^2,Surface,,,,71,
Area,67.357,67.357,67.357,0.000,67.357,67.357,67.357,67.357,1,µm^2,Surface,,,,72,
Area,65.761,65.761,65.761,0.000,65.761,65.761,65.761,65.761,1,µm^2,Surface,,,,73,
Area,71.384,71.384,71.384,0.000,71.384,71.384,71.384,71.384,1,µm^2,Surface,,,,74,
Area,76.390,76.390,76.390,0.000,76.390,76.390,76.390,76.390,1,µm^2,Surface,,,,75,
Area,67.052,67.052,67.052,0.000,67.052,67.052,67.052,67.052,1,µm^2,Surface,,,,76,
Area,68.735,68.735,68.735,0.000,68.735,68.735,68.735,68.735,1,µm^2,Surface,,,,77,
Area,69.243,69.243,69.243,0.000,69.243,69.243,69.243,69.243,1,µm^2,Surface,,,,78,
Area,56.369,56.369,56.369,0.000,56.369,56.369,56.369,56.369,1,µm^2,Surface,,,,79,
Area,58.134,58.134,58.134,0.000,58.134,58.134,58.134,58.134,1,µm^2,Surface,,,,80,
Area,60.096,60.096,60.096,0.000,60.096,60.096,60.096,60.096,1,µm^2,Surface,,,,81,
Area,56.931,56.931,56.931,0.000,56.931,56.931,56.931,56.931,1,µm^2,Surface,,,,82,
Area,43.374,43.374,43.374,0.000,43.374,43.374,43.374,43.374,1,µm^2,Surface,,,,83,
Area,46.683,46.683,46.683,0.000,46.683,46.683,46.683,46.683,1,µm^2,Surface,,,,84,
Area,55.605,55.605,55.605,0.000,55.605,55.605,55.605,55.605,1,µm^2,Surface,,,,85,
Area,57.159,57.159,57.159,0.000,57.159,57.159,57.159,57.159,1,µm^2,Surface,,,,86,
Area,52.151,52.151,52.151,0.000,52.151,52.151,52.151,52.151,1,µm^2,Surface,,,,87,
Area,50.389,50.389,50.389,0.000,50.389,50.389,50.389,50.389,1,µm^2,Surface,,,,88,
Area,50.332,50.332,50.332,0.000,50.332,50.332,50.332,50.332,1,µm^2,Surface,,,,89,
Area,51.735,51.735,51.735,0.000,51.735,51.735,51.735,51.735,1,µm^2,Surface,,,,90,
Area,45.575,45.575,45.575,0.000,45.575,45.575,45.575,45.575,1,µm^2,Surface,,,,91,
Area,49.884,49.884,49.884,0.000,49.884,49.884,49.884,49.884,1,µm^2,Surface,,,,92,
Area,53.171,53.171,53.171,0.000,53.171,53.171,53.171,53.171,1,µm^2,Surface,,,,93,
Area,53.665,53.665,53.665,0.000,53.665,53.665,53.665,53.665,1,µm^2,Surface,,,,94,
Area,56.171,56.171,56.171,0.000,56.171,56.171,56.171,56.171,1,µm^2,Surface,,,,95,
Area,51.306,51.306,51.306,0.000,51.306,51.306,51.306,51.306,1,µm^2,Surface,,,,96,
Area,48.020,48.020,48.020,0.000,48.020,48.020,48.020,48.020,1,µm^2,Surface,,,,97,
Area,58.251,58.251,58.251,0.000,58.251,58.251,58.251,58.251,1,µm^2,Surface,,,,98,
Area,64.574,64.574,64.574,0.000,64.574,64.574,64.574,64.574,1,µm^2,Surface,,,,99,
Area,57.063,57.063,57.063,0.000,57.063,57.063,57.063,57.063,1,µm^2,Surface,,,,100,
Area,59.601,59.601,59.601,0.000,59.601,59.601,59.601,59.601,1,µm^2,Surface,,,,101,
Area,67.114,67.114,67.114,0.000,67.114,67.114,67.114,67.114,1,µm^2,Surface,,,,102,
Area,79.410,79.410,79.410,0.000,79.410,79.410,79.410,79.410,1,µm^2,Surface,,,,103,
Area,82.380,82.380,82.380,0.000,82.380,82.380,82.380,82.380,1,µm^2,Surface,,,,104,
Area,83.275,83.275,83.275,0.000,83.275,83.275,83.275,83.275,1,µm^2,Surface,,,,105,
Area,95.936,95.936,95.936,0.000,95.936,95.936,95.936,95.936,1,µm^2,Surface,,,,106,
Area,94.816,94.816,94.816,0.000,94.816,94.816,94.816,94.816,1,µm^2,Surface,,,,107,
Area,94.939,94.939,94.939,0.000,94.939,94.939,94.939,94.939,1,µm^2,Surface,,,,108,
Area,96.296,96.296,96.296,0.000,96.296,96.296,96.296,96.296,1,µm^2,Surface,,,,109,
Area,96.221,96.221,96.221,0.000,96.221,96.221,96.221,96.221,1,µm^2,Surface,,,,110,
Area,98.505,98.505,98.505,0.000,98.505,98.505,98.505,98.505,1,µm^2,Surface,,,,111,
Area,94.698,94.698,94.698,0.000,94.698,94.698,94.698,94.698,1,µm^2,Surface,,,,112,
Area,94.625,94.625,94.625,0.000,94.625,94.625,94.625,94.625,1,µm^2,Surface,,,,113,
Area,93.875,93.875,93.875,0.000,93.875,93.875,93.875,93.875,1,µm^2,Surface,,,,114,
Area,94.322,94.322,94.322,0.000,94.322,94.322,94.322,94.322,1,µm^2,Surface,,,,115,
Area,92.380,92.380,92.380,0.000,92.380,92.380,92.380,92.380,1,µm^2,Surface,,,,116,
Area,91.142,91.142,91.142,0.000,91.142,91.142,91.142,91.142,1,µm^2,Surface,,,,117,
Area,93.241,93.241,93.241,0.000,93.241,93.241,93.241,93.241,1,µm^2,Surface,,,,118,
Area,91.708,91.708,91.708,0.000,91.708,91.708,91.708,91.708,1,µm^2,Surface,,,,119,
Area,91.633,91.633,91.633,0.000,91.633,91.633,91.633,91.633,1,µm^2,Surface,,,,120,
Area,92.595,92.595,92.595,0.000,92.595,92.595,92.595,92.595,1,µm^2,Surface,,,,121,
Area,90.193,90.193,90.193,0.000,90.193,90.193,90.193,90.193,1,µm^2,Surface,,,,122,
Area,92.350,92.350,92.350,0.000,92.350,92.350,92.350,92.350,1,µm^2,Surface,,,,123,
Area,93.137,93.137,93.137,0.000,93.137,93.137,93.137,93.137,1,µm^2,Surface,,,,124,
Area,94.461,94.461,94.461,0.000,94.461,94.461,94.461,94.461,1,µm^2,Surface,,,,125,
Area,94.879,94.879,94.879,0.000,94.879,94.879,94.879,94.879,1,µm^2,Surface,,,,126,
Area,90.116,90.116,90.116,0.000,90.116,90.116,90.116,90.116,1,µm^2,Surface,,,,127,
Area,94.312,94.312,94.312,0.000,94.312,94.312,94.312,94.312,1,µm^2,Surface,,,,128,
Area,88.392,88.392,88.392,0.000,88.392,88.392,88.392,88.392,1,µm^2,Surface,,,,129,
Area,89.898,89.898,89.898,0.000,89.898,89.898,89.898,89.898,1,µm^2,Surface,,,,130,
Area,100.140,100.140,100.140,0.000,100.140,100.140,100.140,100.140,1,µm^2,Surface,,,,131,
Area,94.790,94.790,94.790,0.000,94.790,94.790,94.790,94.790,1,µm^2,Surface,,,,132,
Area,92.842,92.842,92.842,0.000,92.842,92.842,92.842,92.842,1,µm^2,Surface,,,,133,
Area,94.508,94.508,94.508,0.000,94.508,94.508,94.508,94.508,1,µm^2,Surface,,,,134,
Area,91.381,91.381,91.381,0.000,91.381,91.381,91.381,91.381,1,µm^2,Surface,,,,135,
Area,98.915,98.915,98.915,0.000,98.915,98.915,98.915,98.915,1,µm^2,Surface,,,,136,
Area,89.481,89.481,89.481,0.000,89.481,89.481,89.481,89.481,1,µm^2,Surface,,,,137,
Area,98.177,98.177,98.177,0.000,98.177,98.177,98.177,98.177,1,µm^2,Surface,,,,138,
Area,92.342,92.342,92.342,0.000,92.342,92.342,92.342,92.342,1,µm^2,Surface,,,,139,
Area,92.842,92.842,92.842,0.000,92.842,92.842,92.842,92.842,1,µm^2,Surface,,,,140,
Area,98.024,98.024,98.024,0.000,98.024,98.024,98.024,98.024,1,µm^2,Surface,,,,141,
Area,102.982,102.982,102.982,0.000,102.982,102.982,102.982,102.982,1,µm^2,Surface,,,,142,
Area,97.834,97.834,97.834,0.000,97.834,97.834,97.834,97.834,1,µm^2,Surface,,,,143,
Area,96.296,96.296,96.296,0.000,96.296,96.296,96.296,96.296,1,µm^2,Surface,,,,144,
Area,101.668,101.668,101.668,0.000,101.668,101.668,101.668,101.668,1,µm^2,Surface,,,,145,
Area,103.407,103.407,103.407,0.000,103.407,103.407,103.407,103.407,1,µm^2,Surface,,,,146,
Area,96.827,96.827,96.827,0.000,96.827,96.827,96.827,96.827,1,µm^2,Surface,,,,147,
Area,97.023,97.023,97.023,0.000,97.023,97.023,97.023,97.023,1,µm^2,Surface,,,,148,
Area,103.881,103.881,103.881,0.000,103.881,103.881,103.881,103.881,1,µm^2,Surface,,,,149,
Area,103.475,103.475,103.475,0.000,103.475,103.475,103.475,103.475,1,µm^2,Surface,,,,150,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,46,
Displacement Delta Length,1.075,1.075,1.075,0.000,1.075,1.075,1.075,1.075,1,µm,Surface,,,,47,
Displacement Delta Length,0.403,0.403,0.403,0.000,0.403,0.403,0.403,0.403,1,µm,Surface,,,,48,
Displacement Delta Length,0.615,0.615,0.615,0.000,0.615,0.615,0.615,0.615,1,µm,Surface,,,,49,
Displacement Delta Length,0.371,0.371,0.371,0.000,0.371,0.371,0.371,0.371,1,µm,Surface,,,,50,
Displacement Delta Length,0.529,0.529,0.529,0.000,0.529,0.529,0.529,0.529,1,µm,Surface,,,,51,
Displacement Delta Length,0.898,0.898,0.898,0.000,0.898,0.898,0.898,0.898,1,µm,Surface,,,,52,
Displacement Delta Length,1.634,1.634,1.634,0.000,1.634,1.634,1.634,1.634,1,µm,Surface,,,,53,
Displacement Delta Length,1.971,1.971,1.971,0.000,1.971,1.971,1.971,1.971,1,µm,Surface,,,,54,
Displacement Delta Length,2.785,2.785,2.785,0.000,2.785,2.785,2.785,2.785,1,µm,Surface,,,,55,
Displacement Delta Length,1.185,1.185,1.185,0.000,1.185,1.185,1.185,1.185,1,µm,Surface,,,,56,
Displacement Delta Length,0.924,0.924,0.924,0.000,0.924,0.924,0.924,0.924,1,µm,Surface,,,,57,
Displacement Delta Length,0.548,0.548,0.548,0.000,0.548,0.548,0.548,0.548,1,µm,Surface,,,,58,
Displacement Delta Length,0.355,0.355,0.355,0.000,0.355,0.355,0.355,0.355,1,µm,Surface,,,,59,
Displacement Delta Length,0.379,0.379,0.379,0.000,0.379,0.379,0.379,0.379,1,µm,Surface,,,,60,
Displacement Delta Length,0.453,0.453,0.453,0.000,0.453,0.453,0.453,0.453,1,µm,Surface,,,,61,
Displacement Delta Length,0.555,0.555,0.555,0.000,0.555,0.555,0.555,0.555,1,µm,Surface,,,,62,
Displacement Delta Length,0.336,0.336,0.336,0.000,0.336,0.336,0.336,0.336,1,µm,Surface,,,,63,
Displacement Delta Length,0.548,0.548,0.548,0.000,0.548,0.548,0.548,0.548,1,µm,Surface,,,,64,
Displacement Delta Length,0.362,0.362,0.362,0.000,0.362,0.362,0.362,0.362,1,µm,Surface,,,,65,
Displacement Delta Length,0.319,0.319,0.319,0.000,0.319,0.319,0.319,0.319,1,µm,Surface,,,,66,
Displacement Delta Length,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391,1,µm,Surface,,,,67,
Displacement Delta Length,0.176,0.176,0.176,0.000,0.176,0.176,0.176,0.176,1,µm,Surface,,,,68,
Displacement Delta Length,0.175,0.175,0.175,0.000,0.175,0.175,0.175,0.175,1,µm,Surface,,,,69,
Displacement Delta Length,0.399,0.399,0.399,0.000,0.399,0.399,0.399,0.399,1,µm,Surface,,,,70,
Displacement Delta Length,0.347,0.347,0.347,0.000,0.347,0.347,0.347,0.347,1,µm,Surface,,,,71,
Displacement Delta Length,0.276,0.276,0.276,0.000,0.276,0.276,0.276,0.276,1,µm,Surface,,,,72,
Displacement Delta Length,0.150,0.150,0.150,0.000,0.150,0.150,0.150,0.150,1,µm,Surface,,,,73,
Displacement Delta Length,0.377,0.377,0.377,0.000,0.377,0.377,0.377,0.377,1,µm,Surface,,,,74,
