
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,59.105,59.105,59.105,0.000,59.105,59.105,59.105,59.105,1,µm^2,Surface,,,,47,
Area,72.423,72.423,72.423,0.000,72.423,72.423,72.423,72.423,1,µm^2,Surface,,,,48,
Area,81.197,81.197,81.197,0.000,81.197,81.197,81.197,81.197,1,µm^2,Surface,,,,49,
Area,84.971,84.971,84.971,0.000,84.971,84.971,84.971,84.971,1,µm^2,Surface,,,,50,
Area,89.498,89.498,89.498,0.000,89.498,89.498,89.498,89.498,1,µm^2,Surface,,,,51,
Area,80.121,80.121,80.121,0.000,80.121,80.121,80.121,80.121,1,µm^2,Surface,,,,52,
Area,77.676,77.676,77.676,0.000,77.676,77.676,77.676,77.676,1,µm^2,Surface,,,,53,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,47,
Displacement Delta Length,0.862,0.862,0.862,0.000,0.862,0.862,0.862,0.862,1,µm,Surface,,,,48,
Displacement Delta Length,0.774,0.774,0.774,0.000,0.774,0.774,0.774,0.774,1,µm,Surface,,,,49,
Displacement Delta Length,0.767,0.767,0.767,0.000,0.767,0.767,0.767,0.767,1,µm,Surface,,,,50,
Displacement Delta Length,0.273,0.273,0.273,0.000,0.273,0.273,0.273,0.273,1,µm,Surface,,,,51,
Displacement Delta Length,0.520,0.520,0.520,0.000,0.520,0.520,0.520,0.520,1,µm,Surface,,,,52,
Displacement Delta Length,2.939,2.939,2.939,0.000,2.939,2.939,2.939,2.939,1,µm,Surface,,,,53,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,47,
Displacement Delta X,-0.111,-0.111,-0.111,0.000,-0.111,-0.111,-0.111,-0.111,1,µm,Surface,,Displacement Delta,,48,
Displacement Delta X,-0.714,-0.714,-0.714,0.000,-0.714,-0.714,-0.714,-0.714,1,µm,Surface,,Displacement Delta,,49,
Displacement Delta X,-0.371,-0.371,-0.371,0.000,-0.371,-0.371,-0.371,-0.371,1,µm,Surface,,Displacement Delta,,50,
Displacement Delta X,-0.254,-0.254,-0.254,0.000,-0.254,-0.254,-0.254,-0.254,1,µm,Surface,,Displacement Delta,,51,
Displacement Delta X,0.410,0.410,0.410,0.000,0.410,0.410,0.410,0.410,1,µm,Surface,,Displacement Delta,,52,
Displacement Delta X,1.629,1.629,1.629,0.000,1.629,1.629,1.629,1.629,1,µm,Surface,,Displacement Delta,,53,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,47,
Displacement Delta Y,-0.685,-0.685,-0.685,0.000,-0.685,-0.685,-0.685,-0.685,1,µm,Surface,,Displacement Delta,,48,
Displacement Delta Y,-0.147,-0.147,-0.147,0.000,-0.147,-0.147,-0.147,-0.147,1,µm,Surface,,Displacement Delta,,49,
Displacement Delta Y,-0.060,-0.060,-0.060,0.000,-0.060,-0.060,-0.060,-0.060,1,µm,Surface,,Displacement Delta,,50,
Displacement Delta Y,-0.099,-0.099,-0.099,0.000,-0.099,-0.099,-0.099,-0.099,1,µm,Surface,,Displacement Delta,,51,
Displacement Delta Y,-0.163,-0.163,-0.163,0.000,-0.163,-0.163,-0.163,-0.163,1,µm,Surface,,Displacement Delta,,52,
Displacement Delta Y,-0.489,-0.489,-0.489,0.000,-0.489,-0.489,-0.489,-0.489,1,µm,Surface,,Displacement Delta,,53,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,47,
Displacement Delta Z,0.511,0.511,0.511,0.000,0.511,0.511,0.511,0.511,1,µm,Surface,,Displacement Delta,,48,
Displacement Delta Z,0.259,0.259,0.259,0.000,0.259,0.259,0.259,0.259,1,µm,Surface,,Displacement Delta,,49,
Displacement Delta Z,0.669,0.669,0.669,0.000,0.669,0.669,0.669,0.669,1,µm,Surface,,Displacement Delta,,50,
Displacement Delta Z,-0.020,-0.020,-0.020,0.000,-0.020,-0.020,-0.020,-0.020,1,µm,Surface,,Displacement Delta,,51,
Displacement Delta Z,0.274,0.274,0.274,0.000,0.274,0.274,0.274,0.274,1,µm,Surface,,Displacement Delta,,52,
Displacement Delta Z,2.396,2.396,2.396,0.000,2.396,2.396,2.396,2.396,1,µm,Surface,,Displacement Delta,,53,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,47,
Displacement Length,0.862,0.862,0.862,0.000,0.862,0.862,0.862,0.862,1,µm,Surface,,,,48,
Displacement Length,1.402,1.402,1.402,0.000,1.402,1.402,1.402,1.402,1,µm,Surface,,,,49,
Displacement Length,2.073,2.073,2.073,0.000,2.073,2.073,2.073,2.073,1,µm,Surface,,,,50,
Displacement Length,2.258,2.258,2.258,0.000,2.258,2.258,2.258,2.258,1,µm,Surface,,,,51,
Displacement Length,2.299,2.299,2.299,0.000,2.299,2.299,2.299,2.299,1,µm,Surface,,,,52,
Displacement Length,4.447,4.447,4.447,0.000,4.447,4.447,4.447,4.447,1,µm,Surface,,,,53,
Distance from Origin,14390.481,14390.481,14390.481,0.000,14390.481,14390.481,14390.481,14390.481,1,µm,Surface,,Distance from Origin,,47,
Distance from Origin,14390.926,14390.926,14390.926,0.000,14390.926,14390.926,14390.926,14390.926,1,µm,Surface,,Distance from Origin,,48,
Distance from Origin,14391.655,14391.655,14391.655,0.000,14391.655,14391.655,14391.655,14391.655,1,µm,Surface,,Distance from Origin,,49,
Distance from Origin,14392.362,14392.362,14392.362,0.000,14392.362,14392.362,14392.362,14392.362,1,µm,Surface,,Distance from Origin,,50,
Distance from Origin,14392.556,14392.556,14392.556,0.000,14392.556,14392.556,14392.556,14392.556,1,µm,Surface,,Distance from Origin,,51,
Distance from Origin,14392.412,14392.412,14392.412,0.000,14392.412,14392.412,14392.412,14392.412,1,µm,Surface,,Distance from Origin,,52,
Distance from Origin,14392.635,14392.635,14392.635,0.000,14392.635,14392.635,14392.635,14392.635,1,µm,Surface,,Distance from Origin,,53,
Distance to Image Border XY,8.466,8.466,8.466,0.000,8.466,8.466,8.466,8.466,1,µm,Surface,,,Image 1,47,
Distance to Image Border XY,8.146,8.146,8.146,0.000,8.146,8.146,8.146,8.146,1,µm,Surface,,,Image 1,48,
Distance to Image Border XY,7.327,7.327,7.327,0.000,7.327,7.327,7.327,7.327,1,µm,Surface,,,Image 1,49,
Distance to Image Border XY,6.853,6.853,6.853,0.000,6.853,6.853,6.853,6.853,1,µm,Surface,,,Image 1,50,
Distance to Image Border XY,6.599,6.599,6.599,0.000,6.599,6.599,6.599,6.599,1,µm,Surface,,,Image 1,51,
Distance to Image Border XY,7.112,7.112,7.112,0.000,7.112,7.112,7.112,7.112,1,µm,Surface,,,Image 1,52,
Distance to Image Border XY,8.847,8.847,8.847,0.000,8.847,8.847,8.847,8.847,1,µm,Surface,,,Image 1,53,
Ellipticity (oblate),0.386,0.386,0.386,0.000,0.386,0.386,0.386,0.386,1,,Surface,,,,47,
Ellipticity (oblate),0.359,0.359,0.359,0.000,0.359,0.359,0.359,0.359,1,,Surface,,,,48,
Ellipticity (oblate),0.220,0.220,0.220,0.000,0.220,0.220,0.220,0.220,1,,Surface,,,,49,
Ellipticity (oblate),0.278,0.278,0.278,0.000,0.278,0.278,0.278,0.278,1,,Surface,,,,50,
Ellipticity (oblate),0.154,0.154,0.154,0.000,0.154,0.154,0.154,0.154,1,,Surface,,,,51,
Ellipticity (oblate),0.126,0.126,0.126,0.000,0.126,0.126,0.126,0.126,1,,Surface,,,,52,
Ellipticity (oblate),0.157,0.157,0.157,0.000,0.157,0.157,0.157,0.157,1,,Surface,,,,53,
Ellipticity (prolate),0.228,0.228,0.228,0.000,0.228,0.228,0.228,0.228,1,,Surface,,,,47,
Ellipticity (prolate),0.292,0.292,0.292,0.000,0.292,0.292,0.292,0.292,1,,Surface,,,,48,
Ellipticity (prolate),0.157,0.157,0.157,0.000,0.157,0.157,0.157,0.157,1,,Surface,,,,49,
Ellipticity (prolate),0.166,0.166,0.166,0.000,0.166,0.166,0.166,0.166,1,,Surface,,,,50,
Ellipticity (prolate),0.118,0.118,0.118,0.000,0.118,0.118,0.118,0.118,1,,Surface,,,,51,
Ellipticity (prolate),0.082,0.082,0.082,0.000,0.082,0.082,0.082,0.082,1,,Surface,,,,52,
Ellipticity (prolate),0.152,0.152,0.152,0.000,0.152,0.152,0.152,0.152,1,,Surface,,,,53,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,47,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,48,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,49,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,50,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,51,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,52,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,53,
Intensity Max,231.000,231.000,231.000,0.000,231.000,231.000,231.000,231.000,1,,Surface,1,,Image 1,47,
