
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,20.911,20.911,20.911,0.000,20.911,20.911,20.911,20.911,1,µm^2,Surface,,,,58,
Area,40.439,40.439,40.439,0.000,40.439,40.439,40.439,40.439,1,µm^2,Surface,,,,59,
Area,32.463,32.463,32.463,0.000,32.463,32.463,32.463,32.463,1,µm^2,Surface,,,,60,
Area,50.256,50.256,50.256,0.000,50.256,50.256,50.256,50.256,1,µm^2,Surface,,,,61,
Area,53.198,53.198,53.198,0.000,53.198,53.198,53.198,53.198,1,µm^2,Surface,,,,62,
Area,50.251,50.251,50.251,0.000,50.251,50.251,50.251,50.251,1,µm^2,Surface,,,,63,
Area,55.690,55.690,55.690,0.000,55.690,55.690,55.690,55.690,1,µm^2,Surface,,,,64,
Area,55.167,55.167,55.167,0.000,55.167,55.167,55.167,55.167,1,µm^2,Surface,,,,65,
Area,30.978,30.978,30.978,0.000,30.978,30.978,30.978,30.978,1,µm^2,Surface,,,,66,
Area,51.194,51.194,51.194,0.000,51.194,51.194,51.194,51.194,1,µm^2,Surface,,,,67,
Area,42.725,42.725,42.725,0.000,42.725,42.725,42.725,42.725,1,µm^2,Surface,,,,68,
Area,41.448,41.448,41.448,0.000,41.448,41.448,41.448,41.448,1,µm^2,Surface,,,,69,
Area,38.549,38.549,38.549,0.000,38.549,38.549,38.549,38.549,1,µm^2,Surface,,,,70,
Area,42.261,42.261,42.261,0.000,42.261,42.261,42.261,42.261,1,µm^2,Surface,,,,71,
Area,33.980,33.980,33.980,0.000,33.980,33.980,33.980,33.980,1,µm^2,Surface,,,,72,
Area,55.140,55.140,55.140,0.000,55.140,55.140,55.140,55.140,1,µm^2,Surface,,,,73,
Area,54.312,54.312,54.312,0.000,54.312,54.312,54.312,54.312,1,µm^2,Surface,,,,74,
Area,52.952,52.952,52.952,0.000,52.952,52.952,52.952,52.952,1,µm^2,Surface,,,,75,
Area,56.198,56.198,56.198,0.000,56.198,56.198,56.198,56.198,1,µm^2,Surface,,,,76,
Area,53.923,53.923,53.923,0.000,53.923,53.923,53.923,53.923,1,µm^2,Surface,,,,77,
Area,63.543,63.543,63.543,0.000,63.543,63.543,63.543,63.543,1,µm^2,Surface,,,,78,
Area,49.425,49.425,49.425,0.000,49.425,49.425,49.425,49.425,1,µm^2,Surface,,,,79,
Area,58.613,58.613,58.613,0.000,58.613,58.613,58.613,58.613,1,µm^2,Surface,,,,80,
Area,58.146,58.146,58.146,0.000,58.146,58.146,58.146,58.146,1,µm^2,Surface,,,,81,
Area,55.386,55.386,55.386,0.000,55.386,55.386,55.386,55.386,1,µm^2,Surface,,,,82,
Area,54.312,54.312,54.312,0.000,54.312,54.312,54.312,54.312,1,µm^2,Surface,,,,83,
Area,55.714,55.714,55.714,0.000,55.714,55.714,55.714,55.714,1,µm^2,Surface,,,,84,
Area,56.411,56.411,56.411,0.000,56.411,56.411,56.411,56.411,1,µm^2,Surface,,,,85,
Area,63.411,63.411,63.411,0.000,63.411,63.411,63.411,63.411,1,µm^2,Surface,,,,86,
Area,63.061,63.061,63.061,0.000,63.061,63.061,63.061,63.061,1,µm^2,Surface,,,,87,
Area,62.367,62.367,62.367,0.000,62.367,62.367,62.367,62.367,1,µm^2,Surface,,,,88,
Area,61.890,61.890,61.890,0.000,61.890,61.890,61.890,61.890,1,µm^2,Surface,,,,89,
Area,65.555,65.555,65.555,0.000,65.555,65.555,65.555,65.555,1,µm^2,Surface,,,,90,
Area,62.138,62.138,62.138,0.000,62.138,62.138,62.138,62.138,1,µm^2,Surface,,,,91,
Area,67.578,67.578,67.578,0.000,67.578,67.578,67.578,67.578,1,µm^2,Surface,,,,92,
Area,66.536,66.536,66.536,0.000,66.536,66.536,66.536,66.536,1,µm^2,Surface,,,,93,
Area,68.346,68.346,68.346,0.000,68.346,68.346,68.346,68.346,1,µm^2,Surface,,,,94,
Area,64.493,64.493,64.493,0.000,64.493,64.493,64.493,64.493,1,µm^2,Surface,,,,95,
Area,73.956,73.956,73.956,0.000,73.956,73.956,73.956,73.956,1,µm^2,Surface,,,,96,
Area,71.954,71.954,71.954,0.000,71.954,71.954,71.954,71.954,1,µm^2,Surface,,,,97,
Area,76.705,76.705,76.705,0.000,76.705,76.705,76.705,76.705,1,µm^2,Surface,,,,98,
Area,75.105,75.105,75.105,0.000,75.105,75.105,75.105,75.105,1,µm^2,Surface,,,,99,
Area,73.927,73.927,73.927,0.000,73.927,73.927,73.927,73.927,1,µm^2,Surface,,,,100,
Area,74.633,74.633,74.633,0.000,74.633,74.633,74.633,74.633,1,µm^2,Surface,,,,101,
Area,89.748,89.748,89.748,0.000,89.748,89.748,89.748,89.748,1,µm^2,Surface,,,,102,
Area,90.955,90.955,90.955,0.000,90.955,90.955,90.955,90.955,1,µm^2,Surface,,,,103,
Area,91.866,91.866,91.866,0.000,91.866,91.866,91.866,91.866,1,µm^2,Surface,,,,104,
Area,88.573,88.573,88.573,0.000,88.573,88.573,88.573,88.573,1,µm^2,Surface,,,,105,
Area,91.244,91.244,91.244,0.000,91.244,91.244,91.244,91.244,1,µm^2,Surface,,,,106,
Area,89.752,89.752,89.752,0.000,89.752,89.752,89.752,89.752,1,µm^2,Surface,,,,107,
Area,88.788,88.788,88.788,0.000,88.788,88.788,88.788,88.788,1,µm^2,Surface,,,,108,
Area,93.742,93.742,93.742,0.000,93.742,93.742,93.742,93.742,1,µm^2,Surface,,,,109,
Area,94.955,94.955,94.955,0.000,94.955,94.955,94.955,94.955,1,µm^2,Surface,,,,110,
Area,88.542,88.542,88.542,0.000,88.542,88.542,88.542,88.542,1,µm^2,Surface,,,,111,
Area,91.100,91.100,91.100,0.000,91.100,91.100,91.100,91.100,1,µm^2,Surface,,,,112,
Area,90.155,90.155,90.155,0.000,90.155,90.155,90.155,90.155,1,µm^2,Surface,,,,113,
Area,90.019,90.019,90.019,0.000,90.019,90.019,90.019,90.019,1,µm^2,Surface,,,,114,
Area,92.129,92.129,92.129,0.000,92.129,92.129,92.129,92.129,1,µm^2,Surface,,,,115,
Area,89.860,89.860,89.860,0.000,89.860,89.860,89.860,89.860,1,µm^2,Surface,,,,116,
Area,90.416,90.416,90.416,0.000,90.416,90.416,90.416,90.416,1,µm^2,Surface,,,,117,
Area,88.192,88.192,88.192,0.000,88.192,88.192,88.192,88.192,1,µm^2,Surface,,,,118,
Area,87.564,87.564,87.564,0.000,87.564,87.564,87.564,87.564,1,µm^2,Surface,,,,119,
Area,88.675,88.675,88.675,0.000,88.675,88.675,88.675,88.675,1,µm^2,Surface,,,,120,
Area,90.235,90.235,90.235,0.000,90.235,90.235,90.235,90.235,1,µm^2,Surface,,,,121,
Area,89.028,89.028,89.028,0.000,89.028,89.028,89.028,89.028,1,µm^2,Surface,,,,122,
Area,87.883,87.883,87.883,0.000,87.883,87.883,87.883,87.883,1,µm^2,Surface,,,,123,
Area,89.091,89.091,89.091,0.000,89.091,89.091,89.091,89.091,1,µm^2,Surface,,,,124,
Area,89.861,89.861,89.861,0.000,89.861,89.861,89.861,89.861,1,µm^2,Surface,,,,125,
Area,90.405,90.405,90.405,0.000,90.405,90.405,90.405,90.405,1,µm^2,Surface,,,,126,
Area,89.693,89.693,89.693,0.000,89.693,89.693,89.693,89.693,1,µm^2,Surface,,,,127,
Area,91.871,91.871,91.871,0.000,91.871,91.871,91.871,91.871,1,µm^2,Surface,,,,128,
Area,89.796,89.796,89.796,0.000,89.796,89.796,89.796,89.796,1,µm^2,Surface,,,,129,
Area,89.128,89.128,89.128,0.000,89.128,89.128,89.128,89.128,1,µm^2,Surface,,,,130,
Area,97.053,97.053,97.053,0.000,97.053,97.053,97.053,97.053,1,µm^2,Surface,,,,131,
Area,91.003,91.003,91.003,0.000,91.003,91.003,91.003,91.003,1,µm^2,Surface,,,,132,
Area,91.373,91.373,91.373,0.000,91.373,91.373,91.373,91.373,1,µm^2,Surface,,,,133,
Area,92.765,92.765,92.765,0.000,92.765,92.765,92.765,92.765,1,µm^2,Surface,,,,134,
Area,90.540,90.540,90.540,0.000,90.540,90.540,90.540,90.540,1,µm^2,Surface,,,,135,
Area,93.738,93.738,93.738,0.000,93.738,93.738,93.738,93.738,1,µm^2,Surface,,,,136,
Area,96.001,96.001,96.001,0.000,96.001,96.001,96.001,96.001,1,µm^2,Surface,,,,137,
Area,94.473,94.473,94.473,0.000,94.473,94.473,94.473,94.473,1,µm^2,Surface,,,,138,
Area,95.452,95.452,95.452,0.000,95.452,95.452,95.452,95.452,1,µm^2,Surface,,,,139,
Area,97.868,97.868,97.868,0.000,97.868,97.868,97.868,97.868,1,µm^2,Surface,,,,140,
Area,100.364,100.364,100.364,0.000,100.364,100.364,100.364,100.364,1,µm^2,Surface,,,,141,
Area,100.610,100.610,100.610,0.000,100.610,100.610,100.610,100.610,1,µm^2,Surface,,,,142,
Area,100.413,100.413,100.413,0.000,100.413,100.413,100.413,100.413,1,µm^2,Surface,,,,143,
Area,97.621,97.621,97.621,0.000,97.621,97.621,97.621,97.621,1,µm^2,Surface,,,,144,
Area,95.695,95.695,95.695,0.000,95.695,95.695,95.695,95.695,1,µm^2,Surface,,,,145,
Area,100.543,100.543,100.543,0.000,100.543,100.543,100.543,100.543,1,µm^2,Surface,,,,146,
Area,99.149,99.149,99.149,0.000,99.149,99.149,99.149,99.149,1,µm^2,Surface,,,,147,
Area,97.753,97.753,97.753,0.000,97.753,97.753,97.753,97.753,1,µm^2,Surface,,,,148,
Area,100.488,100.488,100.488,0.000,100.488,100.488,100.488,100.488,1,µm^2,Surface,,,,149,
Area,99.332,99.332,99.332,0.000,99.332,99.332,99.332,99.332,1,µm^2,Surface,,,,150,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,58,
Displacement Delta Length,0.332,0.332,0.332,0.000,0.332,0.332,0.332,0.332,1,µm,Surface,,,,59,
Displacement Delta Length,0.623,0.623,0.623,0.000,0.623,0.623,0.623,0.623,1,µm,Surface,,,,60,
Displacement Delta Length,0.464,0.464,0.464,0.000,0.464,0.464,0.464,0.464,1,µm,Surface,,,,61,
Displacement Delta Length,0.409,0.409,0.409,0.000,0.409,0.409,0.409,0.409,1,µm,Surface,,,,62,
Displacement Delta Length,0.085,0.085,0.085,0.000,0.085,0.085,0.085,0.085,1,µm,Surface,,,,63,
Displacement Delta Length,0.407,0.407,0.407,0.000,0.407,0.407,0.407,0.407,1,µm,Surface,,,,64,
