nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,Unnamed: 18,Unnamed: 17
AB,Intensity Max,233.0,233.0,233.0,0.0,233.0,233.0,233.0,233.0,1,,Surface,1.0,,,Image 1,,7.0,,
AB,Intensity Max,298.0,298.0,298.0,0.0,298.0,298.0,298.0,298.0,1,,Surface,1.0,,,Image 1,,8.0,,
AB,Intensity Max,334.0,334.0,334.0,0.0,334.0,334.0,334.0,334.0,1,,Surface,1.0,,,Image 1,,9.0,,
AB,Intensity Max,356.0,356.0,356.0,0.0,356.0,356.0,356.0,356.0,1,,Surface,1.0,,,Image 1,,10.0,,
AB,Intensity Max,347.0,347.0,347.0,0.0,347.0,347.0,347.0,347.0,1,,Surface,1.0,,,Image 1,,11.0,,
AB,Intensity Max,428.0,428.0,428.0,0.0,428.0,428.0,428.0,428.0,1,,Surface,1.0,,,Image 1,,12.0,,
AB,Intensity Max,385.0,385.0,385.0,0.0,385.0,385.0,385.0,385.0,1,,Surface,1.0,,,Image 1,,13.0,,
AB,Intensity Max,335.0,335.0,335.0,0.0,335.0,335.0,335.0,335.0,1,,Surface,1.0,,,Image 1,,14.0,,
AB,Intensity Max,288.0,288.0,288.0,0.0,288.0,288.0,288.0,288.0,1,,Surface,1.0,,,Image 1,,15.0,,
AB,Intensity Max,290.0,290.0,290.0,0.0,290.0,290.0,290.0,290.0,1,,Surface,1.0,,,Image 1,,16.0,,
AB,Intensity Max,219.0,219.0,219.0,0.0,219.0,219.0,219.0,219.0,1,,Surface,1.0,,,Image 1,,17.0,,
P1,Intensity Max,236.0,236.0,236.0,0.0,236.0,236.0,236.0,236.0,1,,Surface,1.0,,,Image 1,,7.0,,
P1,Intensity Max,261.0,261.0,261.0,0.0,261.0,261.0,261.0,261.0,1,,Surface,1.0,,,Image 1,,8.0,,
P1,Intensity Max,315.0,315.0,315.0,0.0,315.0,315.0,315.0,315.0,1,,Surface,1.0,,,Image 1,,9.0,,
P1,Intensity Max,288.0,288.0,288.0,0.0,288.0,288.0,288.0,288.0,1,,Surface,1.0,,,Image 1,,10.0,,
P1,Intensity Max,292.0,292.0,292.0,0.0,292.0,292.0,292.0,292.0,1,,Surface,1.0,,,Image 1,,11.0,,
P1,Intensity Max,290.0,290.0,290.0,0.0,290.0,290.0,290.0,290.0,1,,Surface,1.0,,,Image 1,,12.0,,
P1,Intensity Max,274.0,274.0,274.0,0.0,274.0,274.0,274.0,274.0,1,,Surface,1.0,,,Image 1,,13.0,,
P1,Intensity Max,270.0,270.0,270.0,0.0,270.0,270.0,270.0,270.0,1,,Surface,1.0,,,Image 1,,14.0,,
P1,Intensity Max,323.0,323.0,323.0,0.0,323.0,323.0,323.0,323.0,1,,Surface,1.0,,,Image 1,,15.0,,
P1,Intensity Max,297.0,297.0,297.0,0.0,297.0,297.0,297.0,297.0,1,,Surface,1.0,,,Image 1,,16.0,,
P1,Intensity Max,330.0,330.0,330.0,0.0,330.0,330.0,330.0,330.0,1,,Surface,1.0,,,Image 1,,17.0,,
P1,Intensity Max,259.0,259.0,259.0,0.0,259.0,259.0,259.0,259.0,1,,Surface,1.0,,,Image 1,,18.0,,
P1,Intensity Max,280.0,280.0,280.0,0.0,280.0,280.0,280.0,280.0,1,,Surface,1.0,,,Image 1,,19.0,,
ABa,Intensity Max,254.0,254.0,254.0,0.0,254.0,254.0,254.0,254.0,1,,Surface,1.0,,,Image 1,,21.0,,
ABa,Intensity Max,269.0,269.0,269.0,0.0,269.0,269.0,269.0,269.0,1,,Surface,1.0,,,Image 1,,22.0,,
ABa,Intensity Max,265.0,265.0,265.0,0.0,265.0,265.0,265.0,265.0,1,,Surface,1.0,,,Image 1,,23.0,,
ABa,Intensity Max,272.0,272.0,272.0,0.0,272.0,272.0,272.0,272.0,1,,Surface,1.0,,,Image 1,,24.0,,
ABa,Intensity Max,314.0,314.0,314.0,0.0,314.0,314.0,314.0,314.0,1,,Surface,1.0,,,Image 1,,25.0,,
