
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,29.914,29.914,29.914,0.000,29.914,29.914,29.914,29.914,1,µm^2,Surface,,,,,,7,
Area,72.237,72.237,72.237,0.000,72.237,72.237,72.237,72.237,1,µm^2,Surface,,,,,,8,
Area,121.211,121.211,121.211,0.000,121.211,121.211,121.211,121.211,1,µm^2,Surface,,,,,,9,
Area,152.851,152.851,152.851,0.000,152.851,152.851,152.851,152.851,1,µm^2,Surface,,,,,,10,
Area,179.628,179.628,179.628,0.000,179.628,179.628,179.628,179.628,1,µm^2,Surface,,,,,,11,
Area,211.653,211.653,211.653,0.000,211.653,211.653,211.653,211.653,1,µm^2,Surface,,,,,,12,
Area,246.357,246.357,246.357,0.000,246.357,246.357,246.357,246.357,1,µm^2,Surface,,,,,,13,
Area,239.534,239.534,239.534,0.000,239.534,239.534,239.534,239.534,1,µm^2,Surface,,,,,,14,
Area,228.222,228.222,228.222,0.000,228.222,228.222,228.222,228.222,1,µm^2,Surface,,,,,,15,
Area,237.901,237.901,237.901,0.000,237.901,237.901,237.901,237.901,1,µm^2,Surface,,,,,,16,
Area,124.203,124.203,124.203,0.000,124.203,124.203,124.203,124.203,1,µm^2,Surface,,,,,,17,
Class Duration,59.944,59.944,59.944,0.000,59.944,59.944,59.944,59.944,1,s,Surface,,Set 1::Class A,,,,7,
Class Duration,59.944,59.944,59.944,0.000,59.944,59.944,59.944,59.944,1,s,Surface,,Set 1::Class A,,,,8,
Class Duration,120.049,120.049,120.049,0.000,120.049,120.049,120.049,120.049,1,s,Surface,,Set 1::Class B,,,,9,
Class Duration,120.049,120.049,120.049,0.000,120.049,120.049,120.049,120.049,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,120.049,120.049,120.049,0.000,120.049,120.049,120.049,120.049,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,12,
Class Duration,59.952,59.952,59.952,0.000,59.952,59.952,59.952,59.952,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,59.952,59.952,59.952,0.000,59.952,59.952,59.952,59.952,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,16,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,17,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,7,
Displacement Delta Length,0.819,0.819,0.819,0.000,0.819,0.819,0.819,0.819,1,µm,Surface,,,,,,8,
Displacement Delta Length,1.235,1.235,1.235,0.000,1.235,1.235,1.235,1.235,1,µm,Surface,,,,,,9,
Displacement Delta Length,1.588,1.588,1.588,0.000,1.588,1.588,1.588,1.588,1,µm,Surface,,,,,,10,
Displacement Delta Length,1.553,1.553,1.553,0.000,1.553,1.553,1.553,1.553,1,µm,Surface,,,,,,11,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,12,
Displacement Delta Length,2.222,2.222,2.222,0.000,2.222,2.222,2.222,2.222,1,µm,Surface,,,,,,14,
Displacement Delta Length,2.181,2.181,2.181,0.000,2.181,2.181,2.181,2.181,1,µm,Surface,,,,,,15,
Displacement Delta Length,0.497,0.497,0.497,0.000,0.497,0.497,0.497,0.497,1,µm,Surface,,,,,,16,
Displacement Delta Length,1.702,1.702,1.702,0.000,1.702,1.702,1.702,1.702,1,µm,Surface,,,,,,17,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta X,-0.502,-0.502,-0.502,0.000,-0.502,-0.502,-0.502,-0.502,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta X,-0.408,-0.408,-0.408,0.000,-0.408,-0.408,-0.408,-0.408,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta X,-0.818,-0.818,-0.818,0.000,-0.818,-0.818,-0.818,-0.818,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta X,-0.061,-0.061,-0.061,0.000,-0.061,-0.061,-0.061,-0.061,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta X,-1.527,-1.527,-1.527,0.000,-1.527,-1.527,-1.527,-1.527,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta X,-0.372,-0.372,-0.372,0.000,-0.372,-0.372,-0.372,-0.372,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta X,-0.355,-0.355,-0.355,0.000,-0.355,-0.355,-0.355,-0.355,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta X,0.312,0.312,0.312,0.000,0.312,0.312,0.312,0.312,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta Y,-0.398,-0.398,-0.398,0.000,-0.398,-0.398,-0.398,-0.398,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta Y,0.287,0.287,0.287,0.000,0.287,0.287,0.287,0.287,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Y,1.098,1.098,1.098,0.000,1.098,1.098,1.098,1.098,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta Y,1.545,1.545,1.545,0.000,1.545,1.545,1.545,1.545,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta Y,0.322,0.322,0.322,0.000,0.322,0.322,0.322,0.322,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Y,1.043,1.043,1.043,0.000,1.043,1.043,1.043,1.043,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Y,-0.199,-0.199,-0.199,0.000,-0.199,-0.199,-0.199,-0.199,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Y,0.214,0.214,0.214,0.000,0.214,0.214,0.214,0.214,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta Z,0.510,0.510,0.510,0.000,0.510,0.510,0.510,0.510,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta Z,-1.130,-1.130,-1.130,0.000,-1.130,-1.130,-1.130,-1.130,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Z,0.806,0.806,0.806,0.000,0.806,0.806,0.806,0.806,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta Z,0.145,0.145,0.145,0.000,0.145,0.145,0.145,0.145,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta Z,1.582,1.582,1.582,0.000,1.582,1.582,1.582,1.582,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Z,1.879,1.879,1.879,0.000,1.879,1.879,1.879,1.879,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Z,-0.285,-0.285,-0.285,0.000,-0.285,-0.285,-0.285,-0.285,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Z,-1.659,-1.659,-1.659,0.000,-1.659,-1.659,-1.659,-1.659,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,7,
Displacement Length,0.819,0.819,0.819,0.000,0.819,0.819,0.819,0.819,1,µm,Surface,,,,,,8,
Displacement Length,1.107,1.107,1.107,0.000,1.107,1.107,1.107,1.107,1,µm,Surface,,,,,,9,
Displacement Length,1.999,1.999,1.999,0.000,1.999,1.999,1.999,1.999,1,µm,Surface,,,,,,10,
Displacement Length,3.118,3.118,3.118,0.000,3.118,3.118,3.118,3.118,1,µm,Surface,,,,,,11,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,12,
Displacement Length,2.222,2.222,2.222,0.000,2.222,2.222,2.222,2.222,1,µm,Surface,,,,,,14,
Displacement Length,4.177,4.177,4.177,0.000,4.177,4.177,4.177,4.177,1,µm,Surface,,,,,,15,
Displacement Length,4.065,4.065,4.065,0.000,4.065,4.065,4.065,4.065,1,µm,Surface,,,,,,16,
Displacement Length,2.824,2.824,2.824,0.000,2.824,2.824,2.824,2.824,1,µm,Surface,,,,,,17,
Distance from Origin,9064.397,9064.397,9064.397,0.000,9064.397,9064.397,9064.397,9064.397,1,µm,Surface,,,Distance from Origin,,,7,
Distance from Origin,9064.823,9064.823,9064.823,0.000,9064.823,9064.823,9064.823,9064.823,1,µm,Surface,,,Distance from Origin,,,8,
Distance from Origin,9063.755,9063.755,9063.755,0.000,9063.755,9063.755,9063.755,9063.755,1,µm,Surface,,,Distance from Origin,,,9,
Distance from Origin,9064.728,9064.728,9064.728,0.000,9064.728,9064.728,9064.728,9064.728,1,µm,Surface,,,Distance from Origin,,,10,
Distance from Origin,9065.136,9065.136,9065.136,0.000,9065.136,9065.136,9065.136,9065.136,1,µm,Surface,,,Distance from Origin,,,11,
Distance from Origin,9063.422,9063.422,9063.422,0.000,9063.422,9063.422,9063.422,9063.422,1,µm,Surface,,,Distance from Origin,,,12,
Distance from Origin,9062.028,9062.028,9062.028,0.000,9062.028,9062.028,9062.028,9062.028,1,µm,Surface,,,Distance from Origin,,,13,
Distance from Origin,9065.015,9065.015,9065.015,0.000,9065.015,9065.015,9065.015,9065.015,1,µm,Surface,,,Distance from Origin,,,14,
Distance from Origin,9067.041,9067.041,9067.041,0.000,9067.041,9067.041,9067.041,9067.041,1,µm,Surface,,,Distance from Origin,,,15,
Distance from Origin,9066.721,9066.721,9066.721,0.000,9066.721,9066.721,9066.721,9066.721,1,µm,Surface,,,Distance from Origin,,,16,
Distance from Origin,9065.128,9065.128,9065.128,0.000,9065.128,9065.128,9065.128,9065.128,1,µm,Surface,,,Distance from Origin,,,17,
Distance to Image Border XY,23.508,23.508,23.508,0.000,23.508,23.508,23.508,23.508,1,µm,Surface,,,,Image 1,,7,
Distance to Image Border XY,23.176,23.176,23.176,0.000,23.176,23.176,23.176,23.176,1,µm,Surface,,,,Image 1,,8,
Distance to Image Border XY,22.054,22.054,22.054,0.000,22.054,22.054,22.054,22.054,1,µm,Surface,,,,Image 1,,9,
Distance to Image Border XY,20.748,20.748,20.748,0.000,20.748,20.748,20.748,20.748,1,µm,Surface,,,,Image 1,,10,
Distance to Image Border XY,18.890,18.890,18.890,0.000,18.890,18.890,18.890,18.890,1,µm,Surface,,,,Image 1,,11,
Distance to Image Border XY,18.429,18.429,18.429,0.000,18.429,18.429,18.429,18.429,1,µm,Surface,,,,Image 1,,12,
Distance to Image Border XY,18.050,18.050,18.050,0.000,18.050,18.050,18.050,18.050,1,µm,Surface,,,,Image 1,,13,
Distance to Image Border XY,17.899,17.899,17.899,0.000,17.899,17.899,17.899,17.899,1,µm,Surface,,,,Image 1,,14,
Distance to Image Border XY,17.169,17.169,17.169,0.000,17.169,17.169,17.169,17.169,1,µm,Surface,,,,Image 1,,15,
Distance to Image Border XY,17.159,17.159,17.159,0.000,17.159,17.159,17.159,17.159,1,µm,Surface,,,,Image 1,,16,
Distance to Image Border XY,17.467,17.467,17.467,0.000,17.467,17.467,17.467,17.467,1,µm,Surface,,,,Image 1,,17,
Ellipticity (oblate),0.280,0.280,0.280,0.000,0.280,0.280,0.280,0.280,1,,Surface,,,,,,7,
Ellipticity (oblate),0.281,0.281,0.281,0.000,0.281,0.281,0.281,0.281,1,,Surface,,,,,,8,
Ellipticity (oblate),0.309,0.309,0.309,0.000,0.309,0.309,0.309,0.309,1,,Surface,,,,,,9,
Ellipticity (oblate),0.119,0.119,0.119,0.000,0.119,0.119,0.119,0.119,1,,Surface,,,,,,10,
Ellipticity (oblate),0.085,0.085,0.085,0.000,0.085,0.085,0.085,0.085,1,,Surface,,,,,,11,
Ellipticity (oblate),0.189,0.189,0.189,0.000,0.189,0.189,0.189,0.189,1,,Surface,,,,,,12,
Ellipticity (oblate),0.147,0.147,0.147,0.000,0.147,0.147,0.147,0.147,1,,Surface,,,,,,13,
Ellipticity (oblate),0.144,0.144,0.144,0.000,0.144,0.144,0.144,0.144,1,,Surface,,,,,,14,
Ellipticity (oblate),0.097,0.097,0.097,0.000,0.097,0.097,0.097,0.097,1,,Surface,,,,,,15,
Ellipticity (oblate),0.166,0.166,0.166,0.000,0.166,0.166,0.166,0.166,1,,Surface,,,,,,16,
Ellipticity (oblate),0.556,0.556,0.556,0.000,0.556,0.556,0.556,0.556,1,,Surface,,,,,,17,
Ellipticity (prolate),0.513,0.513,0.513,0.000,0.513,0.513,0.513,0.513,1,,Surface,,,,,,7,
Ellipticity (prolate),0.176,0.176,0.176,0.000,0.176,0.176,0.176,0.176,1,,Surface,,,,,,8,
Ellipticity (prolate),0.254,0.254,0.254,0.000,0.254,0.254,0.254,0.254,1,,Surface,,,,,,9,
