
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,54.357,54.357,54.357,0.000,54.357,54.357,54.357,54.357,1,µm^2,Surface,,,,,37,
Area,80.880,80.880,80.880,0.000,80.880,80.880,80.880,80.880,1,µm^2,Surface,,,,,38,
Area,97.554,97.554,97.554,0.000,97.554,97.554,97.554,97.554,1,µm^2,Surface,,,,,39,
Area,115.358,115.358,115.358,0.000,115.358,115.358,115.358,115.358,1,µm^2,Surface,,,,,40,
Area,125.867,125.867,125.867,0.000,125.867,125.867,125.867,125.867,1,µm^2,Surface,,,,,41,
Area,134.806,134.806,134.806,0.000,134.806,134.806,134.806,134.806,1,µm^2,Surface,,,,,42,
Area,142.568,142.568,142.568,0.000,142.568,142.568,142.568,142.568,1,µm^2,Surface,,,,,43,
Area,141.322,141.322,141.322,0.000,141.322,141.322,141.322,141.322,1,µm^2,Surface,,,,,44,
Area,143.074,143.074,143.074,0.000,143.074,143.074,143.074,143.074,1,µm^2,Surface,,,,,45,
Area,148.380,148.380,148.380,0.000,148.380,148.380,148.380,148.380,1,µm^2,Surface,,,,,46,
Area,152.956,152.956,152.956,0.000,152.956,152.956,152.956,152.956,1,µm^2,Surface,,,,,47,
Area,159.470,159.470,159.470,0.000,159.470,159.470,159.470,159.470,1,µm^2,Surface,,,,,48,
Area,149.883,149.883,149.883,0.000,149.883,149.883,149.883,149.883,1,µm^2,Surface,,,,,49,
Area,148.680,148.680,148.680,0.000,148.680,148.680,148.680,148.680,1,µm^2,Surface,,,,,50,
Area,154.147,154.147,154.147,0.000,154.147,154.147,154.147,154.147,1,µm^2,Surface,,,,,51,
Area,154.194,154.194,154.194,0.000,154.194,154.194,154.194,154.194,1,µm^2,Surface,,,,,52,
Area,155.109,155.109,155.109,0.000,155.109,155.109,155.109,155.109,1,µm^2,Surface,,,,,53,
Area,156.481,156.481,156.481,0.000,156.481,156.481,156.481,156.481,1,µm^2,Surface,,,,,54,
Area,150.415,150.415,150.415,0.000,150.415,150.415,150.415,150.415,1,µm^2,Surface,,,,,55,
Area,150.841,150.841,150.841,0.000,150.841,150.841,150.841,150.841,1,µm^2,Surface,,,,,56,
Area,150.989,150.989,150.989,0.000,150.989,150.989,150.989,150.989,1,µm^2,Surface,,,,,57,
Area,151.207,151.207,151.207,0.000,151.207,151.207,151.207,151.207,1,µm^2,Surface,,,,,58,
Area,145.544,145.544,145.544,0.000,145.544,145.544,145.544,145.544,1,µm^2,Surface,,,,,59,
Area,137.651,137.651,137.651,0.000,137.651,137.651,137.651,137.651,1,µm^2,Surface,,,,,60,
Area,150.300,150.300,150.300,0.000,150.300,150.300,150.300,150.300,1,µm^2,Surface,,,,,61,
Area,147.719,147.719,147.719,0.000,147.719,147.719,147.719,147.719,1,µm^2,Surface,,,,,62,
Area,134.519,134.519,134.519,0.000,134.519,134.519,134.519,134.519,1,µm^2,Surface,,,,,63,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,37,
Displacement Delta Length,0.175,0.175,0.175,0.000,0.175,0.175,0.175,0.175,1,µm,Surface,,,,,38,
Displacement Delta Length,0.462,0.462,0.462,0.000,0.462,0.462,0.462,0.462,1,µm,Surface,,,,,39,
Displacement Delta Length,1.569,1.569,1.569,0.000,1.569,1.569,1.569,1.569,1,µm,Surface,,,,,40,
Displacement Delta Length,0.980,0.980,0.980,0.000,0.980,0.980,0.980,0.980,1,µm,Surface,,,,,41,
Displacement Delta Length,1.126,1.126,1.126,0.000,1.126,1.126,1.126,1.126,1,µm,Surface,,,,,42,
Displacement Delta Length,1.072,1.072,1.072,0.000,1.072,1.072,1.072,1.072,1,µm,Surface,,,,,43,
Displacement Delta Length,1.945,1.945,1.945,0.000,1.945,1.945,1.945,1.945,1,µm,Surface,,,,,44,
Displacement Delta Length,1.297,1.297,1.297,0.000,1.297,1.297,1.297,1.297,1,µm,Surface,,,,,45,
Displacement Delta Length,0.249,0.249,0.249,0.000,0.249,0.249,0.249,0.249,1,µm,Surface,,,,,46,
Displacement Delta Length,0.831,0.831,0.831,0.000,0.831,0.831,0.831,0.831,1,µm,Surface,,,,,47,
Displacement Delta Length,0.703,0.703,0.703,0.000,0.703,0.703,0.703,0.703,1,µm,Surface,,,,,48,
Displacement Delta Length,0.085,0.085,0.085,0.000,0.085,0.085,0.085,0.085,1,µm,Surface,,,,,49,
Displacement Delta Length,0.746,0.746,0.746,0.000,0.746,0.746,0.746,0.746,1,µm,Surface,,,,,50,
Displacement Delta Length,0.308,0.308,0.308,0.000,0.308,0.308,0.308,0.308,1,µm,Surface,,,,,51,
Displacement Delta Length,0.693,0.693,0.693,0.000,0.693,0.693,0.693,0.693,1,µm,Surface,,,,,52,
Displacement Delta Length,0.372,0.372,0.372,0.000,0.372,0.372,0.372,0.372,1,µm,Surface,,,,,53,
Displacement Delta Length,0.384,0.384,0.384,0.000,0.384,0.384,0.384,0.384,1,µm,Surface,,,,,54,
Displacement Delta Length,0.385,0.385,0.385,0.000,0.385,0.385,0.385,0.385,1,µm,Surface,,,,,55,
Displacement Delta Length,0.273,0.273,0.273,0.000,0.273,0.273,0.273,0.273,1,µm,Surface,,,,,56,
Displacement Delta Length,0.286,0.286,0.286,0.000,0.286,0.286,0.286,0.286,1,µm,Surface,,,,,57,
Displacement Delta Length,0.487,0.487,0.487,0.000,0.487,0.487,0.487,0.487,1,µm,Surface,,,,,58,
Displacement Delta Length,1.006,1.006,1.006,0.000,1.006,1.006,1.006,1.006,1,µm,Surface,,,,,59,
Displacement Delta Length,0.693,0.693,0.693,0.000,0.693,0.693,0.693,0.693,1,µm,Surface,,,,,60,
Displacement Delta Length,0.328,0.328,0.328,0.000,0.328,0.328,0.328,0.328,1,µm,Surface,,,,,61,
Displacement Delta Length,0.352,0.352,0.352,0.000,0.352,0.352,0.352,0.352,1,µm,Surface,,,,,62,
Displacement Delta Length,0.322,0.322,0.322,0.000,0.322,0.322,0.322,0.322,1,µm,Surface,,,,,63,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,-0.047,-0.047,-0.047,0.000,-0.047,-0.047,-0.047,-0.047,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta X,-0.399,-0.399,-0.399,0.000,-0.399,-0.399,-0.399,-0.399,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta X,-1.002,-1.002,-1.002,0.000,-1.002,-1.002,-1.002,-1.002,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta X,0.199,0.199,0.199,0.000,0.199,0.199,0.199,0.199,1,µm,Surface,,Displacement Delta,,,41,
Displacement Delta X,0.907,0.907,0.907,0.000,0.907,0.907,0.907,0.907,1,µm,Surface,,Displacement Delta,,,42,
Displacement Delta X,1.066,1.066,1.066,0.000,1.066,1.066,1.066,1.066,1,µm,Surface,,Displacement Delta,,,43,
Displacement Delta X,1.831,1.831,1.831,0.000,1.831,1.831,1.831,1.831,1,µm,Surface,,Displacement Delta,,,44,
Displacement Delta X,1.249,1.249,1.249,0.000,1.249,1.249,1.249,1.249,1,µm,Surface,,Displacement Delta,,,45,
Displacement Delta X,0.224,0.224,0.224,0.000,0.224,0.224,0.224,0.224,1,µm,Surface,,Displacement Delta,,,46,
Displacement Delta X,-0.113,-0.113,-0.113,0.000,-0.113,-0.113,-0.113,-0.113,1,µm,Surface,,Displacement Delta,,,47,
Displacement Delta X,0.373,0.373,0.373,0.000,0.373,0.373,0.373,0.373,1,µm,Surface,,Displacement Delta,,,48,
Displacement Delta X,-0.033,-0.033,-0.033,0.000,-0.033,-0.033,-0.033,-0.033,1,µm,Surface,,Displacement Delta,,,49,
Displacement Delta X,0.722,0.722,0.722,0.000,0.722,0.722,0.722,0.722,1,µm,Surface,,Displacement Delta,,,50,
Displacement Delta X,0.138,0.138,0.138,0.000,0.138,0.138,0.138,0.138,1,µm,Surface,,Displacement Delta,,,51,
Displacement Delta X,-0.383,-0.383,-0.383,0.000,-0.383,-0.383,-0.383,-0.383,1,µm,Surface,,Displacement Delta,,,52,
Displacement Delta X,0.366,0.366,0.366,0.000,0.366,0.366,0.366,0.366,1,µm,Surface,,Displacement Delta,,,53,
Displacement Delta X,0.219,0.219,0.219,0.000,0.219,0.219,0.219,0.219,1,µm,Surface,,Displacement Delta,,,54,
