
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,14.565,14.565,14.565,0.000,14.565,14.565,14.565,14.565,1,µm^2,Surface,,,,,,41,
Area,13.042,41.980,27.511,14.469,27.511,20.273,34.742,55.021,2,µm^2,Surface,,,,,,42,
Area,30.085,57.906,43.996,13.910,43.996,37.039,50.945,87.992,2,µm^2,Surface,,,,,,43,
Area,29.270,69.468,49.369,20.099,49.369,39.312,59.406,98.738,2,µm^2,Surface,,,,,,44,
Area,47.249,77.782,62.515,15.266,62.515,54.879,70.152,125.031,2,µm^2,Surface,,,,,,45,
Area,59.329,87.662,73.496,14.167,73.496,66.418,80.582,146.991,2,µm^2,Surface,,,,,,46,
Area,62.117,92.794,77.455,15.339,77.455,69.785,85.121,154.911,2,µm^2,Surface,,,,,,47,
Area,62.867,92.520,77.693,14.826,77.693,70.281,85.109,155.387,2,µm^2,Surface,,,,,,48,
Area,63.610,95.688,79.649,16.039,79.649,71.633,87.680,159.298,2,µm^2,Surface,,,,,,49,
Area,61.808,95.543,78.676,16.867,78.676,70.234,87.109,157.351,2,µm^2,Surface,,,,,,50,
Area,66.748,97.479,82.113,15.365,82.113,74.426,89.793,164.227,2,µm^2,Surface,,,,,,51,
Area,62.555,98.414,80.484,17.930,80.484,71.516,89.453,160.969,2,µm^2,Surface,,,,,,52,
Area,67.572,67.572,67.572,0.000,67.572,67.572,67.572,67.572,1,µm^2,Surface,,,,,,53,
Area,70.186,70.186,70.186,0.000,70.186,70.186,70.186,70.186,1,µm^2,Surface,,,,,,54,
Area,60.813,102.788,81.800,20.988,81.800,71.320,92.305,163.601,2,µm^2,Surface,,,,,,55,
Area,45.102,106.699,75.900,30.798,75.900,60.508,91.305,151.801,2,µm^2,Surface,,,,,,56,
Area,46.864,107.986,77.425,30.561,77.425,62.141,92.703,154.850,2,µm^2,Surface,,,,,,57,
Area,49.622,107.809,78.716,29.094,78.716,64.156,93.250,157.431,2,µm^2,Surface,,,,,,58,
Area,52.071,109.047,80.559,28.488,80.559,66.320,94.805,161.118,2,µm^2,Surface,,,,,,59,
Area,47.543,108.871,78.207,30.664,78.207,62.875,93.531,156.413,2,µm^2,Surface,,,,,,60,
Area,52.078,106.152,79.115,27.037,79.115,65.594,92.625,158.230,2,µm^2,Surface,,,,,,61,
Area,109.861,109.861,109.861,0.000,109.861,109.861,109.861,109.861,1,µm^2,Surface,,,,,,62,
Area,108.955,108.955,108.955,0.000,108.955,108.955,108.955,108.955,1,µm^2,Surface,,,,,,63,
Area,20.186,105.356,62.771,42.585,62.771,41.453,84.047,125.542,2,µm^2,Surface,,,,,,64,
Area,110.483,110.483,110.483,0.000,110.483,110.483,110.483,110.483,1,µm^2,Surface,,,,,,65,
Area,117.743,117.743,117.743,0.000,117.743,117.743,117.743,117.743,1,µm^2,Surface,,,,,,66,
Area,23.225,124.257,73.741,50.516,73.741,48.484,99.016,147.482,2,µm^2,Surface,,,,,,67,
Area,117.077,117.077,117.077,0.000,117.077,117.077,117.077,117.077,1,µm^2,Surface,,,,,,68,
Area,116.442,116.442,116.442,0.000,116.442,116.442,116.442,116.442,1,µm^2,Surface,,,,,,69,
Area,115.955,115.955,115.955,0.000,115.955,115.955,115.955,115.955,1,µm^2,Surface,,,,,,70,
Area,114.578,114.578,114.578,0.000,114.578,114.578,114.578,114.578,1,µm^2,Surface,,,,,,71,
Area,116.539,116.539,116.539,0.000,116.539,116.539,116.539,116.539,1,µm^2,Surface,,,,,,72,
Area,111.729,111.729,111.729,0.000,111.729,111.729,111.729,111.729,1,µm^2,Surface,,,,,,73,
Area,112.701,112.701,112.701,0.000,112.701,112.701,112.701,112.701,1,µm^2,Surface,,,,,,74,
Area,115.556,115.556,115.556,0.000,115.556,115.556,115.556,115.556,1,µm^2,Surface,,,,,,75,
Area,120.614,120.614,120.614,0.000,120.614,120.614,120.614,120.614,1,µm^2,Surface,,,,,,76,
Area,117.871,117.871,117.871,0.000,117.871,117.871,117.871,117.871,1,µm^2,Surface,,,,,,77,
Area,118.114,118.114,118.114,0.000,118.114,118.114,118.114,118.114,1,µm^2,Surface,,,,,,78,
Area,109.593,109.593,109.593,0.000,109.593,109.593,109.593,109.593,1,µm^2,Surface,,,,,,79,
Area,106.842,106.842,106.842,0.000,106.842,106.842,106.842,106.842,1,µm^2,Surface,,,,,,80,
Area,105.819,105.819,105.819,0.000,105.819,105.819,105.819,105.819,1,µm^2,Surface,,,,,,81,
Area,103.806,103.806,103.806,0.000,103.806,103.806,103.806,103.806,1,µm^2,Surface,,,,,,82,
Area,108.884,108.884,108.884,0.000,108.884,108.884,108.884,108.884,1,µm^2,Surface,,,,,,83,
Area,110.055,110.055,110.055,0.000,110.055,110.055,110.055,110.055,1,µm^2,Surface,,,,,,84,
Area,110.547,110.547,110.547,0.000,110.547,110.547,110.547,110.547,1,µm^2,Surface,,,,,,85,
Area,110.240,110.240,110.240,0.000,110.240,110.240,110.240,110.240,1,µm^2,Surface,,,,,,86,
Area,109.090,109.090,109.090,0.000,109.090,109.090,109.090,109.090,1,µm^2,Surface,,,,,,87,
Area,114.241,114.241,114.241,0.000,114.241,114.241,114.241,114.241,1,µm^2,Surface,,,,,,88,
Area,113.090,113.090,113.090,0.000,113.090,113.090,113.090,113.090,1,µm^2,Surface,,,,,,89,
Area,112.982,112.982,112.982,0.000,112.982,112.982,112.982,112.982,1,µm^2,Surface,,,,,,90,
Area,111.092,111.092,111.092,0.000,111.092,111.092,111.092,111.092,1,µm^2,Surface,,,,,,91,
Area,111.208,111.208,111.208,0.000,111.208,111.208,111.208,111.208,1,µm^2,Surface,,,,,,92,
Area,111.497,111.497,111.497,0.000,111.497,111.497,111.497,111.497,1,µm^2,Surface,,,,,,93,
Area,110.943,110.943,110.943,0.000,110.943,110.943,110.943,110.943,1,µm^2,Surface,,,,,,94,
Area,112.654,112.654,112.654,0.000,112.654,112.654,112.654,112.654,1,µm^2,Surface,,,,,,95,
Area,114.131,114.131,114.131,0.000,114.131,114.131,114.131,114.131,1,µm^2,Surface,,,,,,96,
Area,114.726,114.726,114.726,0.000,114.726,114.726,114.726,114.726,1,µm^2,Surface,,,,,,97,
Area,111.480,111.480,111.480,0.000,111.480,111.480,111.480,111.480,1,µm^2,Surface,,,,,,98,
Area,110.689,110.689,110.689,0.000,110.689,110.689,110.689,110.689,1,µm^2,Surface,,,,,,99,
Area,112.840,112.840,112.840,0.000,112.840,112.840,112.840,112.840,1,µm^2,Surface,,,,,,100,
Area,110.622,110.622,110.622,0.000,110.622,110.622,110.622,110.622,1,µm^2,Surface,,,,,,101,
Area,109.721,109.721,109.721,0.000,109.721,109.721,109.721,109.721,1,µm^2,Surface,,,,,,102,
Area,110.037,110.037,110.037,0.000,110.037,110.037,110.037,110.037,1,µm^2,Surface,,,,,,103,
Area,113.784,113.784,113.784,0.000,113.784,113.784,113.784,113.784,1,µm^2,Surface,,,,,,104,
Area,113.287,113.287,113.287,0.000,113.287,113.287,113.287,113.287,1,µm^2,Surface,,,,,,105,
Area,112.818,112.818,112.818,0.000,112.818,112.818,112.818,112.818,1,µm^2,Surface,,,,,,106,
Area,111.858,111.858,111.858,0.000,111.858,111.858,111.858,111.858,1,µm^2,Surface,,,,,,107,
Area,111.797,111.797,111.797,0.000,111.797,111.797,111.797,111.797,1,µm^2,Surface,,,,,,108,
