
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,37.300,37.300,37.300,0.000,37.300,37.300,37.300,37.300,1,µm^2,Surface,,,,,,7,
Area,76.579,76.579,76.579,0.000,76.579,76.579,76.579,76.579,1,µm^2,Surface,,,,,,8,
Area,122.222,122.222,122.222,0.000,122.222,122.222,122.222,122.222,1,µm^2,Surface,,,,,,9,
Area,143.358,143.358,143.358,0.000,143.358,143.358,143.358,143.358,1,µm^2,Surface,,,,,,10,
Area,163.211,163.211,163.211,0.000,163.211,163.211,163.211,163.211,1,µm^2,Surface,,,,,,11,
Area,157.620,157.620,157.620,0.000,157.620,157.620,157.620,157.620,1,µm^2,Surface,,,,,,12,
Area,175.772,175.772,175.772,0.000,175.772,175.772,175.772,175.772,1,µm^2,Surface,,,,,,13,
Area,182.337,182.337,182.337,0.000,182.337,182.337,182.337,182.337,1,µm^2,Surface,,,,,,14,
Area,187.886,187.886,187.886,0.000,187.886,187.886,187.886,187.886,1,µm^2,Surface,,,,,,15,
Area,200.701,200.701,200.701,0.000,200.701,200.701,200.701,200.701,1,µm^2,Surface,,,,,,16,
Area,184.498,184.498,184.498,0.000,184.498,184.498,184.498,184.498,1,µm^2,Surface,,,,,,17,
Area,190.019,190.019,190.019,0.000,190.019,190.019,190.019,190.019,1,µm^2,Surface,,,,,,18,
Area,193.746,193.746,193.746,0.000,193.746,193.746,193.746,193.746,1,µm^2,Surface,,,,,,19,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,7,
Class Duration,300.034,300.034,300.034,0.000,300.034,300.034,300.034,300.034,1,s,Surface,,Set 1::Class B,,,,8,
Class Duration,300.034,300.034,300.034,0.000,300.034,300.034,300.034,300.034,1,s,Surface,,Set 1::Class B,,,,9,
Class Duration,300.034,300.034,300.034,0.000,300.034,300.034,300.034,300.034,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,300.034,300.034,300.034,0.000,300.034,300.034,300.034,300.034,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,300.034,300.034,300.034,0.000,300.034,300.034,300.034,300.034,1,s,Surface,,Set 1::Class B,,,,12,
Class Duration,300.034,300.034,300.034,0.000,300.034,300.034,300.034,300.034,1,s,Surface,,Set 1::Class B,,,,13,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,14,
Class Duration,120.023,120.023,120.023,0.000,120.023,120.023,120.023,120.023,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,120.023,120.023,120.023,0.000,120.023,120.023,120.023,120.023,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,120.023,120.023,120.023,0.000,120.023,120.023,120.023,120.023,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,59.942,59.942,59.942,0.000,59.942,59.942,59.942,59.942,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,59.942,59.942,59.942,0.000,59.942,59.942,59.942,59.942,1,s,Surface,,Set 1::Class A,,,,19,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,7,
Displacement Delta Length,1.529,1.529,1.529,0.000,1.529,1.529,1.529,1.529,1,µm,Surface,,,,,,8,
Displacement Delta Length,2.094,2.094,2.094,0.000,2.094,2.094,2.094,2.094,1,µm,Surface,,,,,,9,
Displacement Delta Length,1.818,1.818,1.818,0.000,1.818,1.818,1.818,1.818,1,µm,Surface,,,,,,10,
Displacement Delta Length,1.319,1.319,1.319,0.000,1.319,1.319,1.319,1.319,1,µm,Surface,,,,,,11,
Displacement Delta Length,1.489,1.489,1.489,0.000,1.489,1.489,1.489,1.489,1,µm,Surface,,,,,,12,
Displacement Delta Length,1.156,1.156,1.156,0.000,1.156,1.156,1.156,1.156,1,µm,Surface,,,,,,13,
Displacement Delta Length,0.810,0.810,0.810,0.000,0.810,0.810,0.810,0.810,1,µm,Surface,,,,,,14,
Displacement Delta Length,1.130,1.130,1.130,0.000,1.130,1.130,1.130,1.130,1,µm,Surface,,,,,,15,
Displacement Delta Length,1.639,1.639,1.639,0.000,1.639,1.639,1.639,1.639,1,µm,Surface,,,,,,16,
Displacement Delta Length,2.271,2.271,2.271,0.000,2.271,2.271,2.271,2.271,1,µm,Surface,,,,,,17,
Displacement Delta Length,0.565,0.565,0.565,0.000,0.565,0.565,0.565,0.565,1,µm,Surface,,,,,,18,
Displacement Delta Length,0.812,0.812,0.812,0.000,0.812,0.812,0.812,0.812,1,µm,Surface,,,,,,19,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta X,1.333,1.333,1.333,0.000,1.333,1.333,1.333,1.333,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta X,1.275,1.275,1.275,0.000,1.275,1.275,1.275,1.275,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta X,1.409,1.409,1.409,0.000,1.409,1.409,1.409,1.409,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta X,0.691,0.691,0.691,0.000,0.691,0.691,0.691,0.691,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta X,0.776,0.776,0.776,0.000,0.776,0.776,0.776,0.776,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta X,0.959,0.959,0.959,0.000,0.959,0.959,0.959,0.959,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta X,0.595,0.595,0.595,0.000,0.595,0.595,0.595,0.595,1,µm,Surface,,,Displacement Delta,,,14,
