
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,27.824,27.824,27.824,0.000,27.824,27.824,27.824,27.824,1,µm^2,Surface,,,,,49,
Area,38.511,38.511,38.511,0.000,38.511,38.511,38.511,38.511,1,µm^2,Surface,,,,,50,
Area,51.002,51.002,51.002,0.000,51.002,51.002,51.002,51.002,1,µm^2,Surface,,,,,51,
Area,54.446,54.446,54.446,0.000,54.446,54.446,54.446,54.446,1,µm^2,Surface,,,,,52,
Area,58.765,58.765,58.765,0.000,58.765,58.765,58.765,58.765,1,µm^2,Surface,,,,,53,
Area,60.065,60.065,60.065,0.000,60.065,60.065,60.065,60.065,1,µm^2,Surface,,,,,54,
Area,63.290,63.290,63.290,0.000,63.290,63.290,63.290,63.290,1,µm^2,Surface,,,,,55,
Area,62.990,62.990,62.990,0.000,62.990,62.990,62.990,62.990,1,µm^2,Surface,,,,,56,
Area,64.383,64.383,64.383,0.000,64.383,64.383,64.383,64.383,1,µm^2,Surface,,,,,57,
Area,66.055,66.055,66.055,0.000,66.055,66.055,66.055,66.055,1,µm^2,Surface,,,,,58,
Area,69.057,69.057,69.057,0.000,69.057,69.057,69.057,69.057,1,µm^2,Surface,,,,,59,
Area,66.956,66.956,66.956,0.000,66.956,66.956,66.956,66.956,1,µm^2,Surface,,,,,60,
Area,69.493,69.493,69.493,0.000,69.493,69.493,69.493,69.493,1,µm^2,Surface,,,,,61,
Area,67.472,67.472,67.472,0.000,67.472,67.472,67.472,67.472,1,µm^2,Surface,,,,,62,
Area,64.223,64.223,64.223,0.000,64.223,64.223,64.223,64.223,1,µm^2,Surface,,,,,63,
Area,62.798,62.798,62.798,0.000,62.798,62.798,62.798,62.798,1,µm^2,Surface,,,,,64,
Area,66.217,66.217,66.217,0.000,66.217,66.217,66.217,66.217,1,µm^2,Surface,,,,,65,
Area,62.857,62.857,62.857,0.000,62.857,62.857,62.857,62.857,1,µm^2,Surface,,,,,66,
Area,62.702,62.702,62.702,0.000,62.702,62.702,62.702,62.702,1,µm^2,Surface,,,,,67,
Area,64.647,64.647,64.647,0.000,64.647,64.647,64.647,64.647,1,µm^2,Surface,,,,,68,
Area,66.220,66.220,66.220,0.000,66.220,66.220,66.220,66.220,1,µm^2,Surface,,,,,69,
Area,66.239,66.239,66.239,0.000,66.239,66.239,66.239,66.239,1,µm^2,Surface,,,,,70,
Area,66.119,66.119,66.119,0.000,66.119,66.119,66.119,66.119,1,µm^2,Surface,,,,,71,
