nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
P1,Intensity Max,284,284,284,0,284,284,284,284,1,,Surface,1,,Image 1,,1,
P1,Intensity Max,294,294,294,0,294,294,294,294,1,,Surface,1,,Image 1,,2,
P1,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,1,,Image 1,,3,
ABa,Intensity Max,272,272,272,0,272,272,272,272,1,,Surface,1,,Image 1,,5,
ABa,Intensity Max,373,373,373,0,373,373,373,373,1,,Surface,1,,Image 1,,6,
ABa,Intensity Max,370,370,370,0,370,370,370,370,1,,Surface,1,,Image 1,,7,
ABa,Intensity Max,612,612,612,0,612,612,612,612,1,,Surface,1,,Image 1,,8,
ABa,Intensity Max,1550,1550,1550,0,1550,1550,1550,1550,1,,Surface,1,,Image 1,,9,
ABa,Intensity Max,883,883,883,0,883,883,883,883,1,,Surface,1,,Image 1,,10,
ABa,Intensity Max,355,355,355,0,355,355,355,355,1,,Surface,1,,Image 1,,11,
ABa,Intensity Max,319,319,319,0,319,319,319,319,1,,Surface,1,,Image 1,,12,
ABa,Intensity Max,305,305,305,0,305,305,305,305,1,,Surface,1,,Image 1,,13,
ABa,Intensity Max,311,311,311,0,311,311,311,311,1,,Surface,1,,Image 1,,14,
ABp,Intensity Max,264,264,264,0,264,264,264,264,1,,Surface,1,,Image 1,,5,
ABp,Intensity Max,273,273,273,0,273,273,273,273,1,,Surface,1,,Image 1,,6,
ABp,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,1,,Image 1,,7,
ABp,Intensity Max,268,268,268,0,268,268,268,268,1,,Surface,1,,Image 1,,8,
ABp,Intensity Max,275,275,275,0,275,275,275,275,1,,Surface,1,,Image 1,,9,
ABp,Intensity Max,255,255,255,0,255,255,255,255,1,,Surface,1,,Image 1,,10,
ABp,Intensity Max,323,323,323,0,323,323,323,323,1,,Surface,1,,Image 1,,11,
ABp,Intensity Max,372,372,372,0,372,372,372,372,1,,Surface,1,,Image 1,,12,
ABp,Intensity Max,378,378,378,0,378,378,378,378,1,,Surface,1,,Image 1,,13,
ABp,Intensity Max,321,321,321,0,321,321,321,321,1,,Surface,1,,Image 1,,14,
EMS,Intensity Max,265,265,265,0,265,265,265,265,1,,Surface,1,,Image 1,,7,
EMS,Intensity Max,293,293,293,0,293,293,293,293,1,,Surface,1,,Image 1,,8,
EMS,Intensity Max,292,292,292,0,292,292,292,292,1,,Surface,1,,Image 1,,9,
EMS,Intensity Max,339,339,339,0,339,339,339,339,1,,Surface,1,,Image 1,,10,
EMS,Intensity Max,1037,1037,1037,0,1037,1037,1037,1037,1,,Surface,1,,Image 1,,11,
EMS,Intensity Max,1861,1861,1861,0,1861,1861,1861,1861,1,,Surface,1,,Image 1,,12,
EMS,Intensity Max,1563,1563,1563,0,1563,1563,1563,1563,1,,Surface,1,,Image 1,,13,
EMS,Intensity Max,1447,1447,1447,0,1447,1447,1447,1447,1,,Surface,1,,Image 1,,14,
EMS,Intensity Max,522,522,522,0,522,522,522,522,1,,Surface,1,,Image 1,,15,
EMS,Intensity Max,294,294,294,0,294,294,294,294,1,,Surface,1,,Image 1,,16,
EMS,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,1,,Image 1,,17,
EMS,Intensity Max,244,244,244,0,244,244,244,244,1,,Surface,1,,Image 1,,18,
P2,Intensity Max,252,252,252,0,252,252,252,252,1,,Surface,1,,Image 1,,7,
P2,Intensity Max,242,242,242,0,242,242,242,242,1,,Surface,1,,Image 1,,8,
P2,Intensity Max,279,279,279,0,279,279,279,279,1,,Surface,1,,Image 1,,9,
P2,Intensity Max,270,270,270,0,270,270,270,270,1,,Surface,1,,Image 1,,10,
P2,Intensity Max,289,289,289,0,289,289,289,289,1,,Surface,1,,Image 1,,11,
P2,Intensity Max,275,275,275,0,275,275,275,275,1,,Surface,1,,Image 1,,12,
P2,Intensity Max,343,343,343,0,343,343,343,343,1,,Surface,1,,Image 1,,13,
P2,Intensity Max,372,372,372,0,372,372,372,372,1,,Surface,1,,Image 1,,14,
P2,Intensity Max,248,248,248,0,248,248,248,248,1,,Surface,1,,Image 1,,15,
P2,Intensity Max,289,289,289,0,289,289,289,289,1,,Surface,1,,Image 1,,16,
P2,Intensity Max,283,283,283,0,283,283,283,283,1,,Surface,1,,Image 1,,17,
P2,Intensity Max,315,315,315,0,315,315,315,315,1,,Surface,1,,Image 1,,18,
P2,Intensity Max,329,329,329,0,329,329,329,329,1,,Surface,1,,Image 1,,19,
P2,Intensity Max,292,292,292,0,292,292,292,292,1,,Surface,1,,Image 1,,20,
P2,Intensity Max,284,284,284,0,284,284,284,284,1,,Surface,1,,Image 1,,21,
P2,Intensity Max,255,255,255,0,255,255,255,255,1,,Surface,1,,Image 1,,22,
ABal,Intensity Max,281,281,281,0,281,281,281,281,1,,Surface,1,,Image 1,,18,
ABal,Intensity Max,300,300,300,0,300,300,300,300,1,,Surface,1,,Image 1,,19,
ABal,Intensity Max,311,311,311,0,311,311,311,311,1,,Surface,1,,Image 1,,20,
ABal,Intensity Max,604,604,604,0,604,604,604,604,1,,Surface,1,,Image 1,,21,
ABal,Intensity Max,3396,3396,3396,0,3396,3396,3396,3396,1,,Surface,1,,Image 1,,22,
ABal,Intensity Max,3371,3371,3371,0,3371,3371,3371,3371,1,,Surface,1,,Image 1,,23,
ABal,Intensity Max,3121,3121,3121,0,3121,3121,3121,3121,1,,Surface,1,,Image 1,,24,
ABal,Intensity Max,4986,4986,4986,0,4986,4986,4986,4986,1,,Surface,1,,Image 1,,25,
ABal,Intensity Max,3319,3319,3319,0,3319,3319,3319,3319,1,,Surface,1,,Image 1,,26,
ABal,Intensity Max,2899,2899,2899,0,2899,2899,2899,2899,1,,Surface,1,,Image 1,,27,
ABal,Intensity Max,1224,1224,1224,0,1224,1224,1224,1224,1,,Surface,1,,Image 1,,28,
ABal,Intensity Max,421,421,421,0,421,421,421,421,1,,Surface,1,,Image 1,,29,
ABal,Intensity Max,327,327,327,0,327,327,327,327,1,,Surface,1,,Image 1,,30,
