
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,5825.806,5825.806,5825.806,0.000,5825.806,5825.806,5825.806,5825.806,1,µm^2,Surface,,,,,5,
Area,11883.996,11883.996,11883.996,0.000,11883.996,11883.996,11883.996,11883.996,1,µm^2,Surface,,,,,6,
Area,13586.401,13586.401,13586.401,0.000,13586.401,13586.401,13586.401,13586.401,1,µm^2,Surface,,,,,7,
Area,14471.522,14471.522,14471.522,0.000,14471.522,14471.522,14471.522,14471.522,1,µm^2,Surface,,,,,8,
Area,15009.771,15009.771,15009.771,0.000,15009.771,15009.771,15009.771,15009.771,1,µm^2,Surface,,,,,9,
Area,14613.764,14613.764,14613.764,0.000,14613.764,14613.764,14613.764,14613.764,1,µm^2,Surface,,,,,10,
Area,13518.730,13518.730,13518.730,0.000,13518.730,13518.730,13518.730,13518.730,1,µm^2,Surface,,,,,11,
Area,12157.739,12157.739,12157.739,0.000,12157.739,12157.739,12157.739,12157.739,1,µm^2,Surface,,,,,12,
Area,11513.303,11513.303,11513.303,0.000,11513.303,11513.303,11513.303,11513.303,1,µm^2,Surface,,,,,13,
Area,12169.057,12169.057,12169.057,0.000,12169.057,12169.057,12169.057,12169.057,1,µm^2,Surface,,,,,14,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,5,
Displacement Delta Length,7.528,7.528,7.528,0.000,7.528,7.528,7.528,7.528,1,µm,Surface,,,,,6,
Displacement Delta Length,15.616,15.616,15.616,0.000,15.616,15.616,15.616,15.616,1,µm,Surface,,,,,7,
Displacement Delta Length,20.266,20.266,20.266,0.000,20.266,20.266,20.266,20.266,1,µm,Surface,,,,,8,
Displacement Delta Length,16.664,16.664,16.664,0.000,16.664,16.664,16.664,16.664,1,µm,Surface,,,,,9,
Displacement Delta Length,13.434,13.434,13.434,0.000,13.434,13.434,13.434,13.434,1,µm,Surface,,,,,10,
Displacement Delta Length,4.698,4.698,4.698,0.000,4.698,4.698,4.698,4.698,1,µm,Surface,,,,,11,
Displacement Delta Length,14.503,14.503,14.503,0.000,14.503,14.503,14.503,14.503,1,µm,Surface,,,,,12,
Displacement Delta Length,10.767,10.767,10.767,0.000,10.767,10.767,10.767,10.767,1,µm,Surface,,,,,13,
