
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,3942.754,3942.754,3942.754,0.000,3942.754,3942.754,3942.754,3942.754,1,µm^2,Surface,,,,,18,
Area,7115.139,7115.139,7115.139,0.000,7115.139,7115.139,7115.139,7115.139,1,µm^2,Surface,,,,,19,
Area,8102.096,8102.096,8102.096,0.000,8102.096,8102.096,8102.096,8102.096,1,µm^2,Surface,,,,,20,
Area,9593.366,9593.366,9593.366,0.000,9593.366,9593.366,9593.366,9593.366,1,µm^2,Surface,,,,,21,
Area,10646.419,10646.419,10646.419,0.000,10646.419,10646.419,10646.419,10646.419,1,µm^2,Surface,,,,,22,
Area,11944.642,11944.642,11944.642,0.000,11944.642,11944.642,11944.642,11944.642,1,µm^2,Surface,,,,,23,
Area,11689.383,11689.383,11689.383,0.000,11689.383,11689.383,11689.383,11689.383,1,µm^2,Surface,,,,,24,
Area,11303.896,11303.896,11303.896,0.000,11303.896,11303.896,11303.896,11303.896,1,µm^2,Surface,,,,,25,
Area,10707.682,10707.682,10707.682,0.000,10707.682,10707.682,10707.682,10707.682,1,µm^2,Surface,,,,,26,
Area,10347.587,10347.587,10347.587,0.000,10347.587,10347.587,10347.587,10347.587,1,µm^2,Surface,,,,,27,
Area,9148.079,9148.079,9148.079,0.000,9148.079,9148.079,9148.079,9148.079,1,µm^2,Surface,,,,,28,
Area,8508.988,8508.988,8508.988,0.000,8508.988,8508.988,8508.988,8508.988,1,µm^2,Surface,,,,,29,
Area,8520.338,8520.338,8520.338,0.000,8520.338,8520.338,8520.338,8520.338,1,µm^2,Surface,,,,,30,
Area,8353.546,8353.546,8353.546,0.000,8353.546,8353.546,8353.546,8353.546,1,µm^2,Surface,,,,,31,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,18,
Displacement Delta Length,12.162,12.162,12.162,0.000,12.162,12.162,12.162,12.162,1,µm,Surface,,,,,19,
Displacement Delta Length,8.358,8.358,8.358,0.000,8.358,8.358,8.358,8.358,1,µm,Surface,,,,,20,
Displacement Delta Length,14.134,14.134,14.134,0.000,14.134,14.134,14.134,14.134,1,µm,Surface,,,,,21,
Displacement Delta Length,15.016,15.016,15.016,0.000,15.016,15.016,15.016,15.016,1,µm,Surface,,,,,22,
Displacement Delta Length,22.056,22.056,22.056,0.000,22.056,22.056,22.056,22.056,1,µm,Surface,,,,,23,
Displacement Delta Length,10.896,10.896,10.896,0.000,10.896,10.896,10.896,10.896,1,µm,Surface,,,,,24,
Displacement Delta Length,8.835,8.835,8.835,0.000,8.835,8.835,8.835,8.835,1,µm,Surface,,,,,25,
Displacement Delta Length,2.736,2.736,2.736,0.000,2.736,2.736,2.736,2.736,1,µm,Surface,,,,,26,
Displacement Delta Length,4.363,4.363,4.363,0.000,4.363,4.363,4.363,4.363,1,µm,Surface,,,,,27,
Displacement Delta Length,6.415,6.415,6.415,0.000,6.415,6.415,6.415,6.415,1,µm,Surface,,,,,28,
Displacement Delta Length,5.846,5.846,5.846,0.000,5.846,5.846,5.846,5.846,1,µm,Surface,,,,,29,
Displacement Delta Length,10.912,10.912,10.912,0.000,10.912,10.912,10.912,10.912,1,µm,Surface,,,,,30,
Displacement Delta Length,14.738,14.738,14.738,0.000,14.738,14.738,14.738,14.738,1,µm,Surface,,,,,31,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,1.353,1.353,1.353,0.000,1.353,1.353,1.353,1.353,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,5.366,5.366,5.366,0.000,5.366,5.366,5.366,5.366,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,-12.382,-12.382,-12.382,0.000,-12.382,-12.382,-12.382,-12.382,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,-13.630,-13.630,-13.630,0.000,-13.630,-13.630,-13.630,-13.630,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,-19.954,-19.954,-19.954,0.000,-19.954,-19.954,-19.954,-19.954,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,-7.241,-7.241,-7.241,0.000,-7.241,-7.241,-7.241,-7.241,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,-3.476,-3.476,-3.476,0.000,-3.476,-3.476,-3.476,-3.476,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,-2.055,-2.055,-2.055,0.000,-2.055,-2.055,-2.055,-2.055,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,-0.300,-0.300,-0.300,0.000,-0.300,-0.300,-0.300,-0.300,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,5.972,5.972,5.972,0.000,5.972,5.972,5.972,5.972,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,5.193,5.193,5.193,0.000,5.193,5.193,5.193,5.193,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,10.100,10.100,10.100,0.000,10.100,10.100,10.100,10.100,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,11.047,11.047,11.047,0.000,11.047,11.047,11.047,11.047,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,12.073,12.073,12.073,0.000,12.073,12.073,12.073,12.073,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,6.407,6.407,6.407,0.000,6.407,6.407,6.407,6.407,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,6.803,6.803,6.803,0.000,6.803,6.803,6.803,6.803,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,6.281,6.281,6.281,0.000,6.281,6.281,6.281,6.281,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,-9.397,-9.397,-9.397,0.000,-9.397,-9.397,-9.397,-9.397,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,-8.136,-8.136,-8.136,0.000,-8.136,-8.136,-8.136,-8.136,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,8.120,8.120,8.120,0.000,8.120,8.120,8.120,8.120,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-1.805,-1.805,-1.805,0.000,-1.805,-1.805,-1.805,-1.805,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,4.353,4.353,4.353,0.000,4.353,4.353,4.353,4.353,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-2.229,-2.229,-2.229,0.000,-2.229,-2.229,-2.229,-2.229,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,2.669,2.669,2.669,0.000,2.669,2.669,2.669,2.669,1,µm,Surface,,Displacement Delta,,,29,
