
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,6979.736,6979.736,6979.736,0.000,6979.736,6979.736,6979.736,6979.736,1,µm^2,Surface,,,,,5,
Area,9466.114,9466.114,9466.114,0.000,9466.114,9466.114,9466.114,9466.114,1,µm^2,Surface,,,,,6,
Area,10338.354,10338.354,10338.354,0.000,10338.354,10338.354,10338.354,10338.354,1,µm^2,Surface,,,,,7,
Area,9222.266,9222.266,9222.266,0.000,9222.266,9222.266,9222.266,9222.266,1,µm^2,Surface,,,,,8,
Area,9074.498,9074.498,9074.498,0.000,9074.498,9074.498,9074.498,9074.498,1,µm^2,Surface,,,,,9,
Area,9739.151,9739.151,9739.151,0.000,9739.151,9739.151,9739.151,9739.151,1,µm^2,Surface,,,,,10,
Area,11336.053,11336.053,11336.053,0.000,11336.053,11336.053,11336.053,11336.053,1,µm^2,Surface,,,,,11,
Area,12300.694,12300.694,12300.694,0.000,12300.694,12300.694,12300.694,12300.694,1,µm^2,Surface,,,,,12,
Area,12875.158,12875.158,12875.158,0.000,12875.158,12875.158,12875.158,12875.158,1,µm^2,Surface,,,,,13,
Area,12705.680,12705.680,12705.680,0.000,12705.680,12705.680,12705.680,12705.680,1,µm^2,Surface,,,,,14,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,8,
Displacement Delta Length,9.731,9.731,9.731,0.000,9.731,9.731,9.731,9.731,1,µm,Surface,,,,,9,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,10,
Displacement Delta Length,3.708,3.708,3.708,0.000,3.708,3.708,3.708,3.708,1,µm,Surface,,,,,11,
Displacement Delta Length,13.712,13.712,13.712,0.000,13.712,13.712,13.712,13.712,1,µm,Surface,,,,,12,
Displacement Delta Length,7.029,7.029,7.029,0.000,7.029,7.029,7.029,7.029,1,µm,Surface,,,,,13,
Displacement Delta Length,8.823,8.823,8.823,0.000,8.823,8.823,8.823,8.823,1,µm,Surface,,,,,14,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,0.685,0.685,0.685,0.000,0.685,0.685,0.685,0.685,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta X,2.469,2.469,2.469,0.000,2.469,2.469,2.469,2.469,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta X,13.283,13.283,13.283,0.000,13.283,13.283,13.283,13.283,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,-6.034,-6.034,-6.034,0.000,-6.034,-6.034,-6.034,-6.034,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,8.595,8.595,8.595,0.000,8.595,8.595,8.595,8.595,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,8,
