
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,4486.536,4486.536,4486.536,0.000,4486.536,4486.536,4486.536,4486.536,1,µm^2,Surface,,,,,18,
Area,9141.736,9141.736,9141.736,0.000,9141.736,9141.736,9141.736,9141.736,1,µm^2,Surface,,,,,19,
Area,11461.396,11461.396,11461.396,0.000,11461.396,11461.396,11461.396,11461.396,1,µm^2,Surface,,,,,20,
Area,12951.658,12951.658,12951.658,0.000,12951.658,12951.658,12951.658,12951.658,1,µm^2,Surface,,,,,21,
Area,12919.823,12919.823,12919.823,0.000,12919.823,12919.823,12919.823,12919.823,1,µm^2,Surface,,,,,22,
Area,12739.064,12739.064,12739.064,0.000,12739.064,12739.064,12739.064,12739.064,1,µm^2,Surface,,,,,23,
Area,12658.345,12658.345,12658.345,0.000,12658.345,12658.345,12658.345,12658.345,1,µm^2,Surface,,,,,24,
Area,12651.748,12651.748,12651.748,0.000,12651.748,12651.748,12651.748,12651.748,1,µm^2,Surface,,,,,25,
Area,12530.995,12530.995,12530.995,0.000,12530.995,12530.995,12530.995,12530.995,1,µm^2,Surface,,,,,26,
Area,11891.912,11891.912,11891.912,0.000,11891.912,11891.912,11891.912,11891.912,1,µm^2,Surface,,,,,27,
Area,11574.999,11574.999,11574.999,0.000,11574.999,11574.999,11574.999,11574.999,1,µm^2,Surface,,,,,28,
Area,11163.071,11163.071,11163.071,0.000,11163.071,11163.071,11163.071,11163.071,1,µm^2,Surface,,,,,29,
Area,10980.140,10980.140,10980.140,0.000,10980.140,10980.140,10980.140,10980.140,1,µm^2,Surface,,,,,30,
Area,10639.938,10639.938,10639.938,0.000,10639.938,10639.938,10639.938,10639.938,1,µm^2,Surface,,,,,31,
Area,8445.968,8445.968,8445.968,0.000,8445.968,8445.968,8445.968,8445.968,1,µm^2,Surface,,,,,32,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,18,
Displacement Delta Length,2.984,2.984,2.984,0.000,2.984,2.984,2.984,2.984,1,µm,Surface,,,,,19,
Displacement Delta Length,9.079,9.079,9.079,0.000,9.079,9.079,9.079,9.079,1,µm,Surface,,,,,20,
Displacement Delta Length,13.369,13.369,13.369,0.000,13.369,13.369,13.369,13.369,1,µm,Surface,,,,,21,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,22,
Displacement Delta Length,14.392,14.392,14.392,0.000,14.392,14.392,14.392,14.392,1,µm,Surface,,,,,23,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,24,
Displacement Delta Length,12.590,12.590,12.590,0.000,12.590,12.590,12.590,12.590,1,µm,Surface,,,,,25,
