
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,2126.369,2126.369,2126.369,0.000,2126.369,2126.369,2126.369,2126.369,1,µm^2,Surface,,,,,19,
Area,3782.018,3782.018,3782.018,0.000,3782.018,3782.018,3782.018,3782.018,1,µm^2,Surface,,,,,20,
Area,3568.991,3568.991,3568.991,0.000,3568.991,3568.991,3568.991,3568.991,1,µm^2,Surface,,,,,21,
Area,4164.666,4164.666,4164.666,0.000,4164.666,4164.666,4164.666,4164.666,1,µm^2,Surface,,,,,22,
Area,3060.761,3060.761,3060.761,0.000,3060.761,3060.761,3060.761,3060.761,1,µm^2,Surface,,,,,23,
Area,3087.239,3087.239,3087.239,0.000,3087.239,3087.239,3087.239,3087.239,1,µm^2,Surface,,,,,24,
Area,3358.181,3358.181,3358.181,0.000,3358.181,3358.181,3358.181,3358.181,1,µm^2,Surface,,,,,25,
Area,3060.632,3060.632,3060.632,0.000,3060.632,3060.632,3060.632,3060.632,1,µm^2,Surface,,,,,26,
Area,1847.004,1847.004,1847.004,0.000,1847.004,1847.004,1847.004,1847.004,1,µm^2,Surface,,,,,27,
Area,944.736,944.736,944.736,0.000,944.736,944.736,944.736,944.736,1,µm^2,Surface,,,,,28,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,19,
Displacement Delta Length,7.219,7.219,7.219,0.000,7.219,7.219,7.219,7.219,1,µm,Surface,,,,,20,
Displacement Delta Length,2.834,2.834,2.834,0.000,2.834,2.834,2.834,2.834,1,µm,Surface,,,,,21,
Displacement Delta Length,12.867,12.867,12.867,0.000,12.867,12.867,12.867,12.867,1,µm,Surface,,,,,22,
Displacement Delta Length,19.038,19.038,19.038,0.000,19.038,19.038,19.038,19.038,1,µm,Surface,,,,,23,
Displacement Delta Length,28.288,28.288,28.288,0.000,28.288,28.288,28.288,28.288,1,µm,Surface,,,,,24,
Displacement Delta Length,7.719,7.719,7.719,0.000,7.719,7.719,7.719,7.719,1,µm,Surface,,,,,25,
Displacement Delta Length,18.580,18.580,18.580,0.000,18.580,18.580,18.580,18.580,1,µm,Surface,,,,,26,
Displacement Delta Length,19.895,19.895,19.895,0.000,19.895,19.895,19.895,19.895,1,µm,Surface,,,,,27,
Displacement Delta Length,4.720,4.720,4.720,0.000,4.720,4.720,4.720,4.720,1,µm,Surface,,,,,28,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,1.145,1.145,1.145,0.000,1.145,1.145,1.145,1.145,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,-0.765,-0.765,-0.765,0.000,-0.765,-0.765,-0.765,-0.765,1,µm,Surface,,Displacement Delta,,,21,
