
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,3249.881,3249.881,3249.881,0.000,3249.881,3249.881,3249.881,3249.881,1,µm^2,Surface,,,,,26,
Area,4263.256,4263.256,4263.256,0.000,4263.256,4263.256,4263.256,4263.256,1,µm^2,Surface,,,,,27,
Area,4916.276,4916.276,4916.276,0.000,4916.276,4916.276,4916.276,4916.276,1,µm^2,Surface,,,,,28,
Area,5364.725,5364.725,5364.725,0.000,5364.725,5364.725,5364.725,5364.725,1,µm^2,Surface,,,,,29,
Area,5927.464,5927.464,5927.464,0.000,5927.464,5927.464,5927.464,5927.464,1,µm^2,Surface,,,,,30,
Area,5461.920,5461.920,5461.920,0.000,5461.920,5461.920,5461.920,5461.920,1,µm^2,Surface,,,,,31,
Area,6161.201,6161.201,6161.201,0.000,6161.201,6161.201,6161.201,6161.201,1,µm^2,Surface,,,,,32,
Area,7061.007,7061.007,7061.007,0.000,7061.007,7061.007,7061.007,7061.007,1,µm^2,Surface,,,,,33,
Area,7100.628,7100.628,7100.628,0.000,7100.628,7100.628,7100.628,7100.628,1,µm^2,Surface,,,,,34,
Area,7265.666,7265.666,7265.666,0.000,7265.666,7265.666,7265.666,7265.666,1,µm^2,Surface,,,,,35,
Area,8504.788,8504.788,8504.788,0.000,8504.788,8504.788,8504.788,8504.788,1,µm^2,Surface,,,,,36,
Area,8520.821,8520.821,8520.821,0.000,8520.821,8520.821,8520.821,8520.821,1,µm^2,Surface,,,,,37,
Area,8394.692,8394.692,8394.692,0.000,8394.692,8394.692,8394.692,8394.692,1,µm^2,Surface,,,,,38,
Area,9089.063,9089.063,9089.063,0.000,9089.063,9089.063,9089.063,9089.063,1,µm^2,Surface,,,,,39,
Area,8951.164,8951.164,8951.164,0.000,8951.164,8951.164,8951.164,8951.164,1,µm^2,Surface,,,,,40,
Area,8992.541,8992.541,8992.541,0.000,8992.541,8992.541,8992.541,8992.541,1,µm^2,Surface,,,,,41,
Area,8968.630,8968.630,8968.630,0.000,8968.630,8968.630,8968.630,8968.630,1,µm^2,Surface,,,,,42,
Area,8822.909,8822.909,8822.909,0.000,8822.909,8822.909,8822.909,8822.909,1,µm^2,Surface,,,,,43,
Area,9084.810,9084.810,9084.810,0.000,9084.810,9084.810,9084.810,9084.810,1,µm^2,Surface,,,,,44,
Area,9046.129,9046.129,9046.129,0.000,9046.129,9046.129,9046.129,9046.129,1,µm^2,Surface,,,,,45,
Area,8005.142,8005.142,8005.142,0.000,8005.142,8005.142,8005.142,8005.142,1,µm^2,Surface,,,,,46,
Area,8158.260,8158.260,8158.260,0.000,8158.260,8158.260,8158.260,8158.260,1,µm^2,Surface,,,,,47,
Area,7664.737,7664.737,7664.737,0.000,7664.737,7664.737,7664.737,7664.737,1,µm^2,Surface,,,,,48,
Area,3226.637,3226.637,3226.637,0.000,3226.637,3226.637,3226.637,3226.637,1,µm^2,Surface,,,,,49,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,26,
Displacement Delta Length,10.800,10.800,10.800,0.000,10.800,10.800,10.800,10.800,1,µm,Surface,,,,,27,
Displacement Delta Length,22.937,22.937,22.937,0.000,22.937,22.937,22.937,22.937,1,µm,Surface,,,,,28,
Displacement Delta Length,13.124,13.124,13.124,0.000,13.124,13.124,13.124,13.124,1,µm,Surface,,,,,29,
Displacement Delta Length,15.647,15.647,15.647,0.000,15.647,15.647,15.647,15.647,1,µm,Surface,,,,,30,
Displacement Delta Length,12.823,12.823,12.823,0.000,12.823,12.823,12.823,12.823,1,µm,Surface,,,,,31,
Displacement Delta Length,7.420,7.420,7.420,0.000,7.420,7.420,7.420,7.420,1,µm,Surface,,,,,32,
Displacement Delta Length,8.254,8.254,8.254,0.000,8.254,8.254,8.254,8.254,1,µm,Surface,,,,,33,
Displacement Delta Length,2.342,2.342,2.342,0.000,2.342,2.342,2.342,2.342,1,µm,Surface,,,,,34,
Displacement Delta Length,20.166,20.166,20.166,0.000,20.166,20.166,20.166,20.166,1,µm,Surface,,,,,35,
Displacement Delta Length,10.154,10.154,10.154,0.000,10.154,10.154,10.154,10.154,1,µm,Surface,,,,,36,
Displacement Delta Length,6.425,6.425,6.425,0.000,6.425,6.425,6.425,6.425,1,µm,Surface,,,,,37,
