
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,4465.789,4465.789,4465.789,0.000,4465.789,4465.789,4465.789,4465.789,1,µm^2,Surface,,,,,7,
Area,6594.281,6594.281,6594.281,0.000,6594.281,6594.281,6594.281,6594.281,1,µm^2,Surface,,,,,8,
Area,7150.230,7150.230,7150.230,0.000,7150.230,7150.230,7150.230,7150.230,1,µm^2,Surface,,,,,9,
Area,8087.091,8087.091,8087.091,0.000,8087.091,8087.091,8087.091,8087.091,1,µm^2,Surface,,,,,10,
Area,8344.960,8344.960,8344.960,0.000,8344.960,8344.960,8344.960,8344.960,1,µm^2,Surface,,,,,11,
Area,9587.761,9587.761,9587.761,0.000,9587.761,9587.761,9587.761,9587.761,1,µm^2,Surface,,,,,12,
Area,9517.774,9517.774,9517.774,0.000,9517.774,9517.774,9517.774,9517.774,1,µm^2,Surface,,,,,13,
Area,10073.222,10073.222,10073.222,0.000,10073.222,10073.222,10073.222,10073.222,1,µm^2,Surface,,,,,14,
Area,15201.462,15201.462,15201.462,0.000,15201.462,15201.462,15201.462,15201.462,1,µm^2,Surface,,,,,15,
Area,15288.533,15288.533,15288.533,0.000,15288.533,15288.533,15288.533,15288.533,1,µm^2,Surface,,,,,16,
Area,16082.326,16082.326,16082.326,0.000,16082.326,16082.326,16082.326,16082.326,1,µm^2,Surface,,,,,17,
Area,10230.919,10230.919,10230.919,0.000,10230.919,10230.919,10230.919,10230.919,1,µm^2,Surface,,,,,18,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,7,
Displacement Delta Length,8.582,8.582,8.582,0.000,8.582,8.582,8.582,8.582,1,µm,Surface,,,,,8,
Displacement Delta Length,10.954,10.954,10.954,0.000,10.954,10.954,10.954,10.954,1,µm,Surface,,,,,9,
Displacement Delta Length,12.808,12.808,12.808,0.000,12.808,12.808,12.808,12.808,1,µm,Surface,,,,,10,
Displacement Delta Length,3.305,3.305,3.305,0.000,3.305,3.305,3.305,3.305,1,µm,Surface,,,,,11,
Displacement Delta Length,12.445,12.445,12.445,0.000,12.445,12.445,12.445,12.445,1,µm,Surface,,,,,12,
Displacement Delta Length,13.854,13.854,13.854,0.000,13.854,13.854,13.854,13.854,1,µm,Surface,,,,,13,
Displacement Delta Length,9.396,9.396,9.396,0.000,9.396,9.396,9.396,9.396,1,µm,Surface,,,,,14,
Displacement Delta Length,4.905,4.905,4.905,0.000,4.905,4.905,4.905,4.905,1,µm,Surface,,,,,15,
Displacement Delta Length,8.530,8.530,8.530,0.000,8.530,8.530,8.530,8.530,1,µm,Surface,,,,,16,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,17,
Displacement Delta Length,13.443,13.443,13.443,0.000,13.443,13.443,13.443,13.443,1,µm,Surface,,,,,18,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta X,-8.570,-8.570,-8.570,0.000,-8.570,-8.570,-8.570,-8.570,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,-6.025,-6.025,-6.025,0.000,-6.025,-6.025,-6.025,-6.025,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta X,-3.472,-3.472,-3.472,0.000,-3.472,-3.472,-3.472,-3.472,1,µm,Surface,,Displacement Delta,,,10,
