
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,2214.230,2214.230,2214.230,0.000,2214.230,2214.230,2214.230,2214.230,1,µm^2,Surface,,,,,21,
Area,4336.873,4336.873,4336.873,0.000,4336.873,4336.873,4336.873,4336.873,1,µm^2,Surface,,,,,22,
Area,5673.410,5673.410,5673.410,0.000,5673.410,5673.410,5673.410,5673.410,1,µm^2,Surface,,,,,23,
Area,6247.755,6247.755,6247.755,0.000,6247.755,6247.755,6247.755,6247.755,1,µm^2,Surface,,,,,24,
Area,6759.058,6759.058,6759.058,0.000,6759.058,6759.058,6759.058,6759.058,1,µm^2,Surface,,,,,25,
Area,6652.675,6652.675,6652.675,0.000,6652.675,6652.675,6652.675,6652.675,1,µm^2,Surface,,,,,26,
Area,6723.892,6723.892,6723.892,0.000,6723.892,6723.892,6723.892,6723.892,1,µm^2,Surface,,,,,27,
Area,7861.223,7861.223,7861.223,0.000,7861.223,7861.223,7861.223,7861.223,1,µm^2,Surface,,,,,28,
Area,8527.427,8527.427,8527.427,0.000,8527.427,8527.427,8527.427,8527.427,1,µm^2,Surface,,,,,29,
Area,8756.045,8756.045,8756.045,0.000,8756.045,8756.045,8756.045,8756.045,1,µm^2,Surface,,,,,30,
Area,9656.343,9656.343,9656.343,0.000,9656.343,9656.343,9656.343,9656.343,1,µm^2,Surface,,,,,31,
Area,10771.779,10771.779,10771.779,0.000,10771.779,10771.779,10771.779,10771.779,1,µm^2,Surface,,,,,32,
Area,11720.061,11720.061,11720.061,0.000,11720.061,11720.061,11720.061,11720.061,1,µm^2,Surface,,,,,33,
Area,12032.164,12032.164,12032.164,0.000,12032.164,12032.164,12032.164,12032.164,1,µm^2,Surface,,,,,34,
Area,12666.343,12666.343,12666.343,0.000,12666.343,12666.343,12666.343,12666.343,1,µm^2,Surface,,,,,35,
Area,12289.025,12289.025,12289.025,0.000,12289.025,12289.025,12289.025,12289.025,1,µm^2,Surface,,,,,36,
Area,11137.767,11137.767,11137.767,0.000,11137.767,11137.767,11137.767,11137.767,1,µm^2,Surface,,,,,37,
Area,9837.299,9837.299,9837.299,0.000,9837.299,9837.299,9837.299,9837.299,1,µm^2,Surface,,,,,38,
Area,9093.002,9093.002,9093.002,0.000,9093.002,9093.002,9093.002,9093.002,1,µm^2,Surface,,,,,39,
Area,8475.687,8475.687,8475.687,0.000,8475.687,8475.687,8475.687,8475.687,1,µm^2,Surface,,,,,40,
Area,6257.930,6257.930,6257.930,0.000,6257.930,6257.930,6257.930,6257.930,1,µm^2,Surface,,,,,41,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,21,
Displacement Delta Length,13.676,13.676,13.676,0.000,13.676,13.676,13.676,13.676,1,µm,Surface,,,,,22,
Displacement Delta Length,10.082,10.082,10.082,0.000,10.082,10.082,10.082,10.082,1,µm,Surface,,,,,23,
Displacement Delta Length,8.913,8.913,8.913,0.000,8.913,8.913,8.913,8.913,1,µm,Surface,,,,,24,
Displacement Delta Length,9.393,9.393,9.393,0.000,9.393,9.393,9.393,9.393,1,µm,Surface,,,,,25,
Displacement Delta Length,5.347,5.347,5.347,0.000,5.347,5.347,5.347,5.347,1,µm,Surface,,,,,26,
Displacement Delta Length,9.810,9.810,9.810,0.000,9.810,9.810,9.810,9.810,1,µm,Surface,,,,,27,
Displacement Delta Length,14.158,14.158,14.158,0.000,14.158,14.158,14.158,14.158,1,µm,Surface,,,,,28,
Displacement Delta Length,9.400,9.400,9.400,0.000,9.400,9.400,9.400,9.400,1,µm,Surface,,,,,29,
Displacement Delta Length,1.484,1.484,1.484,0.000,1.484,1.484,1.484,1.484,1,µm,Surface,,,,,30,
Displacement Delta Length,4.206,4.206,4.206,0.000,4.206,4.206,4.206,4.206,1,µm,Surface,,,,,31,
Displacement Delta Length,8.050,8.050,8.050,0.000,8.050,8.050,8.050,8.050,1,µm,Surface,,,,,32,
Displacement Delta Length,7.802,7.802,7.802,0.000,7.802,7.802,7.802,7.802,1,µm,Surface,,,,,33,
Displacement Delta Length,3.672,3.672,3.672,0.000,3.672,3.672,3.672,3.672,1,µm,Surface,,,,,34,
Displacement Delta Length,14.238,14.238,14.238,0.000,14.238,14.238,14.238,14.238,1,µm,Surface,,,,,35,
Displacement Delta Length,15.514,15.514,15.514,0.000,15.514,15.514,15.514,15.514,1,µm,Surface,,,,,36,
Displacement Delta Length,3.407,3.407,3.407,0.000,3.407,3.407,3.407,3.407,1,µm,Surface,,,,,37,
Displacement Delta Length,6.985,6.985,6.985,0.000,6.985,6.985,6.985,6.985,1,µm,Surface,,,,,38,
Displacement Delta Length,3.142,3.142,3.142,0.000,3.142,3.142,3.142,3.142,1,µm,Surface,,,,,39,
Displacement Delta Length,0.687,0.687,0.687,0.000,0.687,0.687,0.687,0.687,1,µm,Surface,,,,,40,
Displacement Delta Length,8.515,8.515,8.515,0.000,8.515,8.515,8.515,8.515,1,µm,Surface,,,,,41,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,10.141,10.141,10.141,0.000,10.141,10.141,10.141,10.141,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,2.734,2.734,2.734,0.000,2.734,2.734,2.734,2.734,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,8.868,8.868,8.868,0.000,8.868,8.868,8.868,8.868,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,-9.353,-9.353,-9.353,0.000,-9.353,-9.353,-9.353,-9.353,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,-1.897,-1.897,-1.897,0.000,-1.897,-1.897,-1.897,-1.897,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,7.465,7.465,7.465,0.000,7.465,7.465,7.465,7.465,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,11.622,11.622,11.622,0.000,11.622,11.622,11.622,11.622,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,5.078,5.078,5.078,0.000,5.078,5.078,5.078,5.078,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,-1.275,-1.275,-1.275,0.000,-1.275,-1.275,-1.275,-1.275,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,-3.557,-3.557,-3.557,0.000,-3.557,-3.557,-3.557,-3.557,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,-7.474,-7.474,-7.474,0.000,-7.474,-7.474,-7.474,-7.474,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,-7.593,-7.593,-7.593,0.000,-7.593,-7.593,-7.593,-7.593,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,1.594,1.594,1.594,0.000,1.594,1.594,1.594,1.594,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,6.533,6.533,6.533,0.000,6.533,6.533,6.533,6.533,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,2.578,2.578,2.578,0.000,2.578,2.578,2.578,2.578,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,1.153,1.153,1.153,0.000,1.153,1.153,1.153,1.153,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,2.562,2.562,2.562,0.000,2.562,2.562,2.562,2.562,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta X,-3.097,-3.097,-3.097,0.000,-3.097,-3.097,-3.097,-3.097,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta X,-0.600,-0.600,-0.600,0.000,-0.600,-0.600,-0.600,-0.600,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta X,-3.308,-3.308,-3.308,0.000,-3.308,-3.308,-3.308,-3.308,1,µm,Surface,,Displacement Delta,,,41,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,-9.143,-9.143,-9.143,0.000,-9.143,-9.143,-9.143,-9.143,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,-9.696,-9.696,-9.696,0.000,-9.696,-9.696,-9.696,-9.696,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,-0.886,-0.886,-0.886,0.000,-0.886,-0.886,-0.886,-0.886,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,0.775,0.775,0.775,0.000,0.775,0.775,0.775,0.775,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-4.989,-4.989,-4.989,0.000,-4.989,-4.989,-4.989,-4.989,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,-6.350,-6.350,-6.350,0.000,-6.350,-6.350,-6.350,-6.350,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-8.048,-8.048,-8.048,0.000,-8.048,-8.048,-8.048,-8.048,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,-7.910,-7.910,-7.910,0.000,-7.910,-7.910,-7.910,-7.910,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,-0.750,-0.750,-0.750,0.000,-0.750,-0.750,-0.750,-0.750,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,-2.238,-2.238,-2.238,0.000,-2.238,-2.238,-2.238,-2.238,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,2.989,2.989,2.989,0.000,2.989,2.989,2.989,2.989,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,1.786,1.786,1.786,0.000,1.786,1.786,1.786,1.786,1,µm,Surface,,Displacement Delta,,,33,
