
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,2730.686,2730.686,2730.686,0.000,2730.686,2730.686,2730.686,2730.686,1,µm^2,Surface,,,,,22,
Area,3858.078,3858.078,3858.078,0.000,3858.078,3858.078,3858.078,3858.078,1,µm^2,Surface,,,,,23,
Area,5563.533,5563.533,5563.533,0.000,5563.533,5563.533,5563.533,5563.533,1,µm^2,Surface,,,,,24,
Area,6068.432,6068.432,6068.432,0.000,6068.432,6068.432,6068.432,6068.432,1,µm^2,Surface,,,,,25,
Area,6425.416,6425.416,6425.416,0.000,6425.416,6425.416,6425.416,6425.416,1,µm^2,Surface,,,,,26,
Area,6597.452,6597.452,6597.452,0.000,6597.452,6597.452,6597.452,6597.452,1,µm^2,Surface,,,,,27,
Area,7584.499,7584.499,7584.499,0.000,7584.499,7584.499,7584.499,7584.499,1,µm^2,Surface,,,,,28,
Area,7817.001,7817.001,7817.001,0.000,7817.001,7817.001,7817.001,7817.001,1,µm^2,Surface,,,,,29,
Area,7585.938,7585.938,7585.938,0.000,7585.938,7585.938,7585.938,7585.938,1,µm^2,Surface,,,,,30,
Area,8758.182,8758.182,8758.182,0.000,8758.182,8758.182,8758.182,8758.182,1,µm^2,Surface,,,,,31,
Area,11065.424,11065.424,11065.424,0.000,11065.424,11065.424,11065.424,11065.424,1,µm^2,Surface,,,,,32,
Area,12084.438,12084.438,12084.438,0.000,12084.438,12084.438,12084.438,12084.438,1,µm^2,Surface,,,,,33,
Area,12740.976,12740.976,12740.976,0.000,12740.976,12740.976,12740.976,12740.976,1,µm^2,Surface,,,,,34,
Area,11626.645,11626.645,11626.645,0.000,11626.645,11626.645,11626.645,11626.645,1,µm^2,Surface,,,,,35,
Area,9573.865,9573.865,9573.865,0.000,9573.865,9573.865,9573.865,9573.865,1,µm^2,Surface,,,,,36,
Area,7623.711,7623.711,7623.711,0.000,7623.711,7623.711,7623.711,7623.711,1,µm^2,Surface,,,,,37,
Area,6300.925,6300.925,6300.925,0.000,6300.925,6300.925,6300.925,6300.925,1,µm^2,Surface,,,,,38,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,24,
Displacement Delta Length,9.121,9.121,9.121,0.000,9.121,9.121,9.121,9.121,1,µm,Surface,,,,,25,
Displacement Delta Length,9.044,9.044,9.044,0.000,9.044,9.044,9.044,9.044,1,µm,Surface,,,,,26,
Displacement Delta Length,7.893,7.893,7.893,0.000,7.893,7.893,7.893,7.893,1,µm,Surface,,,,,27,
Displacement Delta Length,14.860,14.860,14.860,0.000,14.860,14.860,14.860,14.860,1,µm,Surface,,,,,28,
Displacement Delta Length,6.538,6.538,6.538,0.000,6.538,6.538,6.538,6.538,1,µm,Surface,,,,,29,
Displacement Delta Length,11.684,11.684,11.684,0.000,11.684,11.684,11.684,11.684,1,µm,Surface,,,,,30,
Displacement Delta Length,20.432,20.432,20.432,0.000,20.432,20.432,20.432,20.432,1,µm,Surface,,,,,31,
Displacement Delta Length,6.238,6.238,6.238,0.000,6.238,6.238,6.238,6.238,1,µm,Surface,,,,,32,
Displacement Delta Length,11.359,11.359,11.359,0.000,11.359,11.359,11.359,11.359,1,µm,Surface,,,,,33,
Displacement Delta Length,7.696,7.696,7.696,0.000,7.696,7.696,7.696,7.696,1,µm,Surface,,,,,34,
Displacement Delta Length,4.782,4.782,4.782,0.000,4.782,4.782,4.782,4.782,1,µm,Surface,,,,,35,
Displacement Delta Length,6.834,6.834,6.834,0.000,6.834,6.834,6.834,6.834,1,µm,Surface,,,,,36,
Displacement Delta Length,13.861,13.861,13.861,0.000,13.861,13.861,13.861,13.861,1,µm,Surface,,,,,37,
Displacement Delta Length,3.794,3.794,3.794,0.000,3.794,3.794,3.794,3.794,1,µm,Surface,,,,,38,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,-9.065,-9.065,-9.065,0.000,-9.065,-9.065,-9.065,-9.065,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,-7.538,-7.538,-7.538,0.000,-7.538,-7.538,-7.538,-7.538,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,6.814,6.814,6.814,0.000,6.814,6.814,6.814,6.814,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,12.984,12.984,12.984,0.000,12.984,12.984,12.984,12.984,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,4.843,4.843,4.843,0.000,4.843,4.843,4.843,4.843,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,-0.161,-0.161,-0.161,0.000,-0.161,-0.161,-0.161,-0.161,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,20.139,20.139,20.139,0.000,20.139,20.139,20.139,20.139,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,-6.109,-6.109,-6.109,0.000,-6.109,-6.109,-6.109,-6.109,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,11.031,11.031,11.031,0.000,11.031,11.031,11.031,11.031,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,-7.652,-7.652,-7.652,0.000,-7.652,-7.652,-7.652,-7.652,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,-2.342,-2.342,-2.342,0.000,-2.342,-2.342,-2.342,-2.342,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,-3.953,-3.953,-3.953,0.000,-3.953,-3.953,-3.953,-3.953,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,-2.031,-2.031,-2.031,0.000,-2.031,-2.031,-2.031,-2.031,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,2.862,2.862,2.862,0.000,2.862,2.862,2.862,2.862,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,1.001,1.001,1.001,0.000,1.001,1.001,1.001,1.001,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,4.827,4.827,4.827,0.000,4.827,4.827,4.827,4.827,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,-3.065,-3.065,-3.065,0.000,-3.065,-3.065,-3.065,-3.065,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-7.092,-7.092,-7.092,0.000,-7.092,-7.092,-7.092,-7.092,1,µm,Surface,,Displacement Delta,,,28,
