
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,3131.534,3131.534,3131.534,0.000,3131.534,3131.534,3131.534,3131.534,1,µm^2,Surface,,,,,26,
Area,3790.969,3790.969,3790.969,0.000,3790.969,3790.969,3790.969,3790.969,1,µm^2,Surface,,,,,27,
Area,4280.689,4280.689,4280.689,0.000,4280.689,4280.689,4280.689,4280.689,1,µm^2,Surface,,,,,28,
Area,4453.507,4453.507,4453.507,0.000,4453.507,4453.507,4453.507,4453.507,1,µm^2,Surface,,,,,29,
Area,4739.968,4739.968,4739.968,0.000,4739.968,4739.968,4739.968,4739.968,1,µm^2,Surface,,,,,30,
Area,4563.783,4563.783,4563.783,0.000,4563.783,4563.783,4563.783,4563.783,1,µm^2,Surface,,,,,31,
Area,5116.327,5116.327,5116.327,0.000,5116.327,5116.327,5116.327,5116.327,1,µm^2,Surface,,,,,32,
Area,5468.647,5468.647,5468.647,0.000,5468.647,5468.647,5468.647,5468.647,1,µm^2,Surface,,,,,33,
Area,5645.700,5645.700,5645.700,0.000,5645.700,5645.700,5645.700,5645.700,1,µm^2,Surface,,,,,34,
Area,5612.441,5612.441,5612.441,0.000,5612.441,5612.441,5612.441,5612.441,1,µm^2,Surface,,,,,35,
Area,5176.885,5176.885,5176.885,0.000,5176.885,5176.885,5176.885,5176.885,1,µm^2,Surface,,,,,36,
Area,4650.364,4650.364,4650.364,0.000,4650.364,4650.364,4650.364,4650.364,1,µm^2,Surface,,,,,37,
Area,4342.717,4342.717,4342.717,0.000,4342.717,4342.717,4342.717,4342.717,1,µm^2,Surface,,,,,38,
Area,4753.179,4753.179,4753.179,0.000,4753.179,4753.179,4753.179,4753.179,1,µm^2,Surface,,,,,39,
Area,4551.898,4551.898,4551.898,0.000,4551.898,4551.898,4551.898,4551.898,1,µm^2,Surface,,,,,40,
Area,4887.180,4887.180,4887.180,0.000,4887.180,4887.180,4887.180,4887.180,1,µm^2,Surface,,,,,41,
Area,5101.615,5101.615,5101.615,0.000,5101.615,5101.615,5101.615,5101.615,1,µm^2,Surface,,,,,42,
Area,5015.168,5015.168,5015.168,0.000,5015.168,5015.168,5015.168,5015.168,1,µm^2,Surface,,,,,43,
Area,4887.529,4887.529,4887.529,0.000,4887.529,4887.529,4887.529,4887.529,1,µm^2,Surface,,,,,44,
Area,4876.470,4876.470,4876.470,0.000,4876.470,4876.470,4876.470,4876.470,1,µm^2,Surface,,,,,45,
Area,4320.622,4320.622,4320.622,0.000,4320.622,4320.622,4320.622,4320.622,1,µm^2,Surface,,,,,46,
Area,3884.125,3884.125,3884.125,0.000,3884.125,3884.125,3884.125,3884.125,1,µm^2,Surface,,,,,47,
Area,3672.150,3672.150,3672.150,0.000,3672.150,3672.150,3672.150,3672.150,1,µm^2,Surface,,,,,48,
Area,4057.326,4057.326,4057.326,0.000,4057.326,4057.326,4057.326,4057.326,1,µm^2,Surface,,,,,49,
Area,3983.235,3983.235,3983.235,0.000,3983.235,3983.235,3983.235,3983.235,1,µm^2,Surface,,,,,50,
Area,4163.854,4163.854,4163.854,0.000,4163.854,4163.854,4163.854,4163.854,1,µm^2,Surface,,,,,51,
Area,4190.543,4190.543,4190.543,0.000,4190.543,4190.543,4190.543,4190.543,1,µm^2,Surface,,,,,52,
Area,4408.711,4408.711,4408.711,0.000,4408.711,4408.711,4408.711,4408.711,1,µm^2,Surface,,,,,53,
Area,4343.606,4343.606,4343.606,0.000,4343.606,4343.606,4343.606,4343.606,1,µm^2,Surface,,,,,54,
Area,4199.159,4199.159,4199.159,0.000,4199.159,4199.159,4199.159,4199.159,1,µm^2,Surface,,,,,55,
Area,4516.354,4516.354,4516.354,0.000,4516.354,4516.354,4516.354,4516.354,1,µm^2,Surface,,,,,56,
Area,4547.311,4547.311,4547.311,0.000,4547.311,4547.311,4547.311,4547.311,1,µm^2,Surface,,,,,57,
Area,4644.084,4644.084,4644.084,0.000,4644.084,4644.084,4644.084,4644.084,1,µm^2,Surface,,,,,58,
Area,4555.630,4555.630,4555.630,0.000,4555.630,4555.630,4555.630,4555.630,1,µm^2,Surface,,,,,59,
Area,4536.208,4536.208,4536.208,0.000,4536.208,4536.208,4536.208,4536.208,1,µm^2,Surface,,,,,60,
Area,4544.841,4544.841,4544.841,0.000,4544.841,4544.841,4544.841,4544.841,1,µm^2,Surface,,,,,61,
Area,4580.436,4580.436,4580.436,0.000,4580.436,4580.436,4580.436,4580.436,1,µm^2,Surface,,,,,62,
Area,4545.577,4545.577,4545.577,0.000,4545.577,4545.577,4545.577,4545.577,1,µm^2,Surface,,,,,63,
Area,4568.448,4568.448,4568.448,0.000,4568.448,4568.448,4568.448,4568.448,1,µm^2,Surface,,,,,64,
Area,4505.237,4505.237,4505.237,0.000,4505.237,4505.237,4505.237,4505.237,1,µm^2,Surface,,,,,65,
Area,4496.860,4496.860,4496.860,0.000,4496.860,4496.860,4496.860,4496.860,1,µm^2,Surface,,,,,66,
Area,4369.624,4369.624,4369.624,0.000,4369.624,4369.624,4369.624,4369.624,1,µm^2,Surface,,,,,67,
Area,4186.686,4186.686,4186.686,0.000,4186.686,4186.686,4186.686,4186.686,1,µm^2,Surface,,,,,68,
Area,3954.232,3954.232,3954.232,0.000,3954.232,3954.232,3954.232,3954.232,1,µm^2,Surface,,,,,69,
Area,4019.742,4019.742,4019.742,0.000,4019.742,4019.742,4019.742,4019.742,1,µm^2,Surface,,,,,70,
Area,4050.624,4050.624,4050.624,0.000,4050.624,4050.624,4050.624,4050.624,1,µm^2,Surface,,,,,71,
Area,3971.546,3971.546,3971.546,0.000,3971.546,3971.546,3971.546,3971.546,1,µm^2,Surface,,,,,72,
Area,3949.458,3949.458,3949.458,0.000,3949.458,3949.458,3949.458,3949.458,1,µm^2,Surface,,,,,73,
Area,3925.375,3925.375,3925.375,0.000,3925.375,3925.375,3925.375,3925.375,1,µm^2,Surface,,,,,74,
Area,3784.997,3784.997,3784.997,0.000,3784.997,3784.997,3784.997,3784.997,1,µm^2,Surface,,,,,75,
Area,3881.450,3881.450,3881.450,0.000,3881.450,3881.450,3881.450,3881.450,1,µm^2,Surface,,,,,76,
Area,3931.459,3931.459,3931.459,0.000,3931.459,3931.459,3931.459,3931.459,1,µm^2,Surface,,,,,77,
Area,3981.789,3981.789,3981.789,0.000,3981.789,3981.789,3981.789,3981.789,1,µm^2,Surface,,,,,78,
Area,3776.073,3776.073,3776.073,0.000,3776.073,3776.073,3776.073,3776.073,1,µm^2,Surface,,,,,79,
Area,3908.171,3908.171,3908.171,0.000,3908.171,3908.171,3908.171,3908.171,1,µm^2,Surface,,,,,80,
Area,3720.194,3720.194,3720.194,0.000,3720.194,3720.194,3720.194,3720.194,1,µm^2,Surface,,,,,81,
Area,3699.622,3699.622,3699.622,0.000,3699.622,3699.622,3699.622,3699.622,1,µm^2,Surface,,,,,82,
Area,3672.949,3672.949,3672.949,0.000,3672.949,3672.949,3672.949,3672.949,1,µm^2,Surface,,,,,83,
Area,3781.675,3781.675,3781.675,0.000,3781.675,3781.675,3781.675,3781.675,1,µm^2,Surface,,,,,84,
Area,3708.713,3708.713,3708.713,0.000,3708.713,3708.713,3708.713,3708.713,1,µm^2,Surface,,,,,85,
Area,3812.246,3812.246,3812.246,0.000,3812.246,3812.246,3812.246,3812.246,1,µm^2,Surface,,,,,86,
Area,3921.798,3921.798,3921.798,0.000,3921.798,3921.798,3921.798,3921.798,1,µm^2,Surface,,,,,87,
Area,3903.194,3903.194,3903.194,0.000,3903.194,3903.194,3903.194,3903.194,1,µm^2,Surface,,,,,88,
Area,3888.408,3888.408,3888.408,0.000,3888.408,3888.408,3888.408,3888.408,1,µm^2,Surface,,,,,89,
Area,3913.753,3913.753,3913.753,0.000,3913.753,3913.753,3913.753,3913.753,1,µm^2,Surface,,,,,90,
Area,3914.230,3914.230,3914.230,0.000,3914.230,3914.230,3914.230,3914.230,1,µm^2,Surface,,,,,91,
Area,3968.128,3968.128,3968.128,0.000,3968.128,3968.128,3968.128,3968.128,1,µm^2,Surface,,,,,92,
