Time [s],Min,Max,Median,Percentile 25%,Percentile 75%,Sum,Mean,StdDev,Count,Time
0,31.1301,31.1301,31.1301,31.1301,31.1301,31.1301,31.1301,0,1,1
58.380745,26.4703,26.4703,26.4703,26.4703,26.4703,26.4703,26.4703,0,1,2
178.32309,60.9856,92.0368,76.5112,68.7539,84.2773,153.022,76.5112,15.5256,2,3
238.311981,101.645,134.746,118.195,109.914,126.461,236.391,118.195,16.5506,2,4
298.371826,120.915,167.081,130.351,125.641,148.719,418.348,139.449,19.9149,3,5
358.311829,147.251,185.893,175.14,161.203,180.516,508.284,169.428,16.2846,3,6
418.373322,212.405,358.243,285.324,248.875,321.75,570.648,285.324,72.9189,2,7
478.394592,179.959,241.081,214.142,197.047,227.609,635.182,211.727,25.0113,3,8
538.355469,187.856,261.343,229.054,208.438,245.188,678.253,226.084,30.0741,3,9
598.349915,195.155,268.474,240.122,217.625,254.281,703.75,234.583,30.1874,3,10
658.364014,199.616,279.307,244.645,222.125,261.969,723.568,241.189,32.6254,3,11
718.397644,201.097,294.428,244.385,222.75,269.406,739.91,246.637,38.1355,3,12
778.328308,147.139,297.772,250.945,199.062,274.375,695.856,231.952,62.9451,3,13
838.364807,302.266,302.266,302.266,302.266,302.266,302.266,302.266,0,1,14
898.392151,300.933,300.933,300.933,300.933,300.933,300.933,300.933,0,1,15
958.349731,303.284,303.284,303.284,303.284,303.284,303.284,303.284,0,1,16
1018.373413,54.3078,311.95,183.129,118.75,247.5,366.258,183.129,128.821,2,17
1078.401978,42.234,319.632,75.5538,67.0625,136.813,512.973,128.243,111.332,4,18
1138.384033,84.9318,249.599,102.336,93.5625,143.531,539.202,134.801,66.7896,4,19
1198.343506,109.283,131.059,118.473,113.883,124.766,358.815,119.605,8.92613,3,20
1258.413086,29.8052,145.939,124.17,96.4844,133.734,424.084,106.021,45.0581,4,21
1318.487183,41.234,152.124,133.253,106.188,142.016,459.865,114.966,43.4307,4,22
1378.342773,68.8658,154.988,128.435,85.3438,146.531,584.173,116.835,33.9573,5,23
1438.346924,91.9252,172.542,145.17,113.781,147.969,671.38,134.276,28.223,5,24
1498.421875,98.7538,178.057,145.342,126.344,155.844,704.318,140.864,26.8788,5,25
1558.407593,97.6679,161.404,136.339,125.969,143.312,531.75,132.937,22.7991,4,26
1618.340454,97.8663,169.791,139.412,139.219,168.094,714.369,142.874,26.1221,5,27
1678.393433,98.7808,159.78,142.646,138.328,155.172,694.703,138.941,21.5607,5,28
1738.406738,105.94,158.084,147.35,146.766,147.578,705.702,141.141,18.0977,5,29
1798.420532,83.5513,159.995,146.044,114.781,153,389.59,129.863,33.2391,3,30
1858.369507,146.36,152.161,149.261,147.812,150.712,298.522,149.261,2.90044,2,31
1918.412964,37.8139,146.566,111.576,67.2344,146.266,407.533,101.883,46.5811,4,32
1978.428711,74.3668,147.879,111.123,92.7344,129.516,222.245,111.123,36.7559,2,33
2038.364746,27.5746,135.809,68.1699,47.875,101.969,231.553,77.1845,44.6439,3,34
2098.39209,28.0597,139.271,53.2579,46.0312,61.0938,327.737,65.5474,38.4503,5,35
2158.428955,33.9688,99.9081,80.5112,67.7656,86.4531,294.899,73.7248,24.3032,4,36
2218.44458,38.173,98.906,56.0266,39.7969,82.4531,570.583,63.3981,23.8849,9,37
2278.405029,36.1556,107.382,83.5057,71.3906,99.9688,643.434,80.4293,23.4074,8,38
2338.431152,67.682,110.671,96.8436,86.6406,108.828,666.122,95.1603,14.8203,7,39
2398.447998,62.1546,115.083,105.441,99.4844,111.906,599.696,99.9493,17.841,6,40
2458.375488,98.0864,148.275,113.901,108.609,118.148,700.583,116.764,15.5851,6,41
2518.449707,96.0489,142.635,116.271,110.992,121.375,703.545,117.258,14.1025,6,42
2578.525635,94.737,146.748,118.712,113.734,125.789,719.119,119.853,15.7192,6,43
2638.384766,84.7339,156.66,121.78,117.125,130.375,733.748,122.291,21.381,6,44
2698.409912,45.8122,136.65,118.883,96.2812,127.219,639.022,106.504,30.9685,6,45
2758.469238,83.6278,138.72,124.898,124.141,128.484,599.864,119.973,18.9017,5,46
2818.457275,44.517,143.221,130.275,89,132.281,656.466,109.411,36.2642,6,47
2878.391113,35.6774,139.442,128.941,98.4844,132.906,655.614,109.269,36.8555,6,48
2938.414551,38.8794,137.901,129.815,98.5469,131.922,657.13,109.522,35.5834,6,49
2998.467285,50.8485,139.709,128.443,98.8906,132.672,670.562,111.76,31.5846,6,50
3058.401855,44.786,138.09,110.621,61.9844,130.906,784.282,98.0352,36.3285,8,51
3118.408691,46.3341,137.944,112.822,76.9844,128.25,802.438,100.305,34.6742,8,52
3178.48584,45.0363,139.809,97.2562,62.0156,121.75,559.533,93.2554,35.1618,6,53
3238.454346,40.2043,137.802,94.9759,65.3281,125.172,558.63,93.105,35.8171,6,54
3298.4021,63.6534,139.384,104.57,81.7812,130.656,520.055,104.011,28.5816,5,55
3358.445068,70.3932,144.11,106.854,84.5938,128.406,534.341,106.868,27.1247,5,56
3418.477295,75.7067,140.658,105.911,86.7188,130.281,539.27,107.854,24.7598,5,57
3478.401855,81.616,142.524,105.3,92.1719,133.859,555.47,111.094,23.5216,5,58
3538.449463,28.3765,142.225,91.8181,37.7812,112.078,667.731,83.4664,41.607,8,59
3598.487549,33.3845,142.081,83.0919,50.1562,104.406,750.617,83.4019,37.5362,9,60
3658.469727,38.1321,140.377,88.7829,56.8438,111.469,777.846,86.4274,35.0867,9,61
3718.418701,40.3855,132.991,69.1693,59.1875,91.3125,619.87,77.4837,27.9541,8,62
3778.526367,43.8248,134.725,98.1443,70.3594,120,563.237,93.8729,32.1992,6,63
3838.557129,46.1339,135.695,97.9873,73.7656,121.75,573.184,95.5307,31.684,6,64
3898.412842,49.1467,128.783,90.1144,73.5938,95.6875,523.774,87.2956,24.7048,6,65
3958.456055,50.0217,132.604,85.0369,68.3438,98.7188,434.748,86.9497,28.0614,5,66
4018.485107,48.9391,138.341,92.0089,65.2812,100.281,444.874,88.9748,30.7825,5,67
4078.488037,51.2933,140.548,93.8892,67.0938,98.9688,451.77,90.354,30.5755,5,68
4138.419434,52.5137,99.5417,71.0668,63.8516,91.2344,453.586,75.5977,17.3478,6,69
4198.441895,50.1732,140.446,94.4078,60.9062,98.0938,444.019,88.8038,31.8023,5,70
4258.479492,48.3854,143.764,95.1427,58.2812,99.2188,444.797,88.9594,33.8699,5,71
4318.42334,41.575,144.345,57.2964,47,97.1875,531.615,75.945,35.4908,7,72
