
Overall
 ==================== 
Variable,Value,Unit,Class,Time,ID,
Number of Disconnected Components per Time Point,2.000,,,4,,
Number of Disconnected Components per Time Point,2.000,,,5,,
Number of Disconnected Components per Time Point,2.000,,,6,,
Number of Disconnected Components per Time Point,2.000,,,7,,
Number of Disconnected Components per Time Point,2.000,,,8,,
Number of Disconnected Components per Time Point,2.000,,,9,,
Number of Disconnected Components per Time Point,2.000,,,10,,
Number of Disconnected Components per Time Point,2.000,,,11,,
Number of Disconnected Components per Time Point,1.000,,,12,,
Number of Disconnected Components per Time Point,1.000,,,13,,
Number of Disconnected Components per Time Point,2.000,,,19,,
Number of Disconnected Components per Time Point,2.000,,,20,,
Number of Disconnected Components per Time Point,2.000,,,21,,
Number of Disconnected Components per Time Point,4.000,,,22,,
Number of Disconnected Components per Time Point,3.000,,,23,,
Number of Disconnected Components per Time Point,4.000,,,24,,
Number of Disconnected Components per Time Point,4.000,,,25,,
Number of Disconnected Components per Time Point,2.000,,,26,,
Number of Disconnected Components per Time Point,2.000,,,27,,
Number of Disconnected Components per Time Point,2.000,,,28,,
Number of Disconnected Components per Time Point,2.000,,,29,,
Number of Disconnected Components per Time Point,2.000,,,30,,
Number of Disconnected Components per Time Point,2.000,,,31,,
Number of Disconnected Components per Time Point,2.000,,,32,,
Number of Disconnected Components per Time Point,1.000,,,33,,
Number of Disconnected Components per Time Point,4.000,,,34,,
Number of Disconnected Components per Time Point,4.000,,,35,,
Number of Disconnected Components per Time Point,5.000,,,36,,
Number of Disconnected Components per Time Point,5.000,,,37,,
Number of Disconnected Components per Time Point,5.000,,,38,,
Number of Disconnected Components per Time Point,3.000,,,39,,
Number of Disconnected Components per Time Point,3.000,,,40,,
Number of Disconnected Components per Time Point,4.000,,,41,,
Number of Disconnected Components per Time Point,5.000,,,42,,
Number of Disconnected Components per Time Point,5.000,,,43,,
Number of Disconnected Components per Time Point,4.000,,,44,,
Number of Disconnected Components per Time Point,3.000,,,45,,
Number of Disconnected Components per Time Point,2.000,,,46,,
Number of Disconnected Components per Time Point,2.000,,,47,,
Number of Disconnected Components per Time Point,2.000,,,48,,
Number of Disconnected Components per Time Point,2.000,,,49,,
Number of Disconnected Components per Time Point,2.000,,,51,,
Number of Disconnected Components per Time Point,1.000,,,52,,
Number of Disconnected Components per Time Point,1.000,,,53,,
Number of Disconnected Components per Time Point,1.000,,,54,,
Number of Disconnected Components per Time Point,2.000,,,55,,
Number of Disconnected Components per Time Point,1.000,,,56,,
Number of Disconnected Components per Time Point,1.000,,,57,,
Number of Disconnected Components per Time Point,2.000,,,58,,
Number of Disconnected Components per Time Point,2.000,,,59,,
Number of Disconnected Components per Time Point,2.000,,,60,,
Number of Disconnected Components per Time Point,2.000,,,61,,
Number of Disconnected Components per Time Point,3.000,,,62,,
Number of Disconnected Components per Time Point,3.000,,,63,,
Number of Disconnected Components per Time Point,4.000,,,64,,
Number of Disconnected Components per Time Point,5.000,,,65,,
Number of Disconnected Components per Time Point,5.000,,,66,,
Number of Disconnected Components per Time Point,5.000,,,67,,
Number of Disconnected Components per Time Point,5.000,,,68,,
Number of Disconnected Components per Time Point,5.000,,,69,,
Number of Disconnected Components per Time Point,6.000,,,70,,
Number of Disconnected Components per Time Point,7.000,,,71,,
Number of Disconnected Components per Time Point,5.000,,,72,,
Number of Disconnected Components per Time Point,5.000,,,73,,
Number of Disconnected Components per Time Point,4.000,,,74,,
Number of Disconnected Components per Time Point,4.000,,,75,,
Number of Disconnected Components per Time Point,4.000,,,76,,
Number of Disconnected Components per Time Point,4.000,,,77,,
Number of Disconnected Components per Time Point,4.000,,,78,,
Number of Disconnected Components per Time Point,4.000,,,79,,
Number of Disconnected Components per Time Point,4.000,,,80,,
Number of Disconnected Components per Time Point,4.000,,,81,,
Number of Disconnected Components per Time Point,4.000,,,82,,
Number of Disconnected Components per Time Point,4.000,,,83,,
Number of Disconnected Components per Time Point,4.000,,,84,,
Number of Disconnected Components per Time Point,4.000,,,85,,
Number of Disconnected Components per Time Point,3.000,,,86,,
Number of Disconnected Components per Time Point,3.000,,,87,,
Number of Disconnected Components per Time Point,4.000,,,88,,
Number of Disconnected Components per Time Point,4.000,,,89,,
Number of Disconnected Components per Time Point,4.000,,,90,,
Number of Disconnected Components per Time Point,4.000,,,91,,
Number of Disconnected Components per Time Point,4.000,,,92,,
Number of Disconnected Components per Time Point,4.000,,,93,,
Number of Disconnected Components per Time Point,4.000,,,94,,
Number of Disconnected Components per Time Point,4.000,,,95,,
Number of Disconnected Components per Time Point,4.000,,,96,,
Number of Disconnected Components per Time Point,4.000,,,97,,
Number of Disconnected Components per Time Point,5.000,,,98,,
Number of Disconnected Components per Time Point,5.000,,,99,,
Number of Disconnected Components per Time Point,6.000,,,100,,
Number of Disconnected Components per Time Point,6.000,,,101,,
Number of Disconnected Components per Time Point,6.000,,,102,,
Number of Disconnected Components per Time Point,6.000,,,103,,
Number of Disconnected Components per Time Point,6.000,,,104,,
Number of Disconnected Components per Time Point,6.000,,,105,,
Number of Disconnected Components per Time Point,6.000,,,106,,
