
Number of Disconnected Components per Time Point
 ==================== 
Time [s],Number of Disconnected Components per Time Point,
178.334686,2,
238.242844,2,
298.277985,2,
358.314240,2,
418.254761,2,
478.273743,2,
538.268250,2,
598.315491,2,
658.256348,1,
718.322876,1,
1078.271240,2,
1138.297607,2,
1198.328979,2,
1258.334961,4,
1318.285645,3,
1378.360474,4,
1438.388184,4,
1498.275024,2,
1558.281250,2,
1618.349121,2,
1678.405884,2,
1738.294556,2,
1798.330322,2,
1858.352295,2,
1918.291748,1,
1978.334229,4,
2038.413574,4,
2098.370850,5,
2158.295898,5,
2218.332520,5,
2278.368164,3,
2338.292480,3,
2398.351074,4,
2458.415283,5,
2518.371582,5,
2578.329346,4,
2638.350586,3,
2698.370850,2,
2758.312744,2,
2818.348389,2,
2878.415771,2,
2998.313477,2,
3058.366211,1,
3118.394531,1,
3178.367676,1,
3238.351807,2,
3298.420166,1,
3358.409424,1,
3418.334473,2,
3478.403320,2,
3538.393066,2,
3598.338135,2,
3658.401367,3,
3718.454102,3,
3778.416504,4,
3838.359863,5,
3898.374512,5,
3958.402344,5,
4018.337402,5,
4078.373291,5,
4138.441895,6,
4198.416504,7,
4258.341797,5,
4318.378906,5,
4378.417480,4,
4438.437988,4,
4498.416504,4,
4558.396973,4,
4618.433105,4,
4678.356934,4,
4738.379395,4,
4798.431152,4,
4858.426270,4,
4918.378418,4,
4978.415039,4,
5038.437988,4,
5098.370605,3,
5158.407715,3,
5218.411621,4,
5278.464355,4,
5338.368164,4,
5398.421875,4,
5458.444336,4,
5518.400391,4,
5578.422852,4,
5638.513672,4,
5698.455078,4,
5758.406738,4,
5818.443359,5,
5878.450684,5,
5938.424316,6,
5998.417480,6,
6058.433594,6,
6118.455566,6,
6178.401367,6,
6238.432617,6,
6298.458984,6,
6358.411133,6,
6418.436523,6,
6478.444336,6,
6538.473633,6,
6598.402344,6,
6658.437012,6,
6718.495117,6,
6778.420410,6,
6838.453125,6,
6898.504883,6,
6958.510742,6,
7018.440918,6,
7078.439941,6,
7138.478516,6,
7198.420410,6,
7258.457031,6,
7318.460938,6,
7378.480957,6,
7438.454102,6,
7498.538086,6,
7558.527832,5,
7618.452637,6,
7678.487793,6,
7738.466309,6,
7798.498535,5,
7858.440430,5,
7918.534180,5,
7978.492188,5,
8038.466797,5,
8098.474609,5,
8158.459473,5,
8218.542969,5,
8278.437500,5,
8338.491211,5,
8398.519531,5,
8458.517578,5,
8518.466797,5,
8578.449219,5,
8638.525391,5,
8698.458984,5,
8758.479492,5,
8818.525391,5,
8878.479492,5,
